#{"t_start": 1581981064.6045687, "env_id": null}
r,l,t
437.670449,1000,27.804602
806.076415,1000,52.676509
530.428125,1000,76.13304
320.163525,1000,100.107834
291.222253,1000,126.486449
210.856449,1000,160.850698
296.077806,1000,191.050508
445.863049,1000,220.699541
1182.445164,1000,246.354353
1591.781698,1000,273.060438
2351.357976,1000,296.82722
974.709374,1000,322.91855
2362.675172,1000,346.334665
2529.912262,1000,369.724402
2838.245066,1000,392.317012
4648.475174,1000,415.195069
5574.635048,1000,438.011654
5185.36373,1000,461.996474
5180.87062,1000,484.691829
4545.593182,1000,508.165189
5535.548074,1000,531.644716
6526.111565,1000,555.50156
7763.08799,1000,579.287454
7233.61518,1000,602.846733
8081.461427,1000,625.874343
8531.339196,1000,648.133045
9726.90935,1000,670.876787
10895.417203,1000,694.591223
10892.093837,1000,717.102185
10484.469925,1000,740.009728
10924.860534,1000,763.18564
11263.842414,1000,786.15371
10531.141538,1000,808.620104
11441.055999,1000,831.409479
10570.592591,1000,854.453138
10585.735874,1000,877.723691
10956.248359,1000,900.205627
9344.026565,1000,923.600818
11627.080155,1000,946.953379
11835.642414,1000,970.043417
11432.33346,1000,993.216158
10946.803459,1000,1016.422993
9820.851462,1000,1039.096272
11313.182486,1000,1062.641434
11252.125759,1000,1085.863058
10529.020729,1000,1109.834554
12221.133537,1000,1132.94915
11164.388451,1000,1155.102261
12016.370434,1000,1177.943517
10937.011491,1000,1201.093659
12209.460969,1000,1224.999362
11907.038544,1000,1247.752056
12660.814917,1000,1271.292868
12197.035471,1000,1293.36463
11784.78251,1000,1316.246335
10980.205229,1000,1339.208914
11611.070036,1000,1362.302747
12463.417598,1000,1385.207582
13248.594239,1000,1408.289429
12008.202006,1000,1430.914336
13371.57662,1000,1453.718458
13138.11168,1000,1476.385234
11219.403233,1000,1499.457043
12114.731138,1000,1522.628587
13679.303492,1000,1546.054753
12460.207589,1000,1569.036536
12146.333656,1000,1591.917159
12529.525934,1000,1614.600468
10940.883087,1000,1637.231259
12802.50256,1000,1660.285223
10869.501689,1000,1683.301642
11965.495257,1000,1706.422639
11456.295265,1000,1729.489133
12519.105379,1000,1752.903318
14051.702657,1000,1776.226156
12365.022246,1000,1799.388455
12402.774283,1000,1823.779965
11935.393609,1000,1847.723978
15285.078673,1000,1870.678815
23961.044498,1000,1893.422188
19384.472054,1000,1916.741966
25551.432703,1000,1939.150698
30286.711314,1000,1962.508584
28469.80389,1000,1985.941542
1369.257427,1000,2009.49951
5312.037737,1000,2032.685349
18144.74964,1000,2056.169954
22850.185903,1000,2078.917395
40311.894267,1000,2102.383768
36801.478205,1000,2125.64984
42267.425585,1000,2148.51739
48593.5596,1000,2172.057382
47508.20406,1000,2194.945071
58881.506171,1000,2218.281638
59117.272494,1000,2241.652039
67565.358692,1000,2265.06253
61815.26472,1000,2288.406382
76868.452762,1000,2311.246292
80910.926083,1000,2333.999459
70633.63851,1000,2357.608257
73711.756224,1000,2380.830909
62448.947973,1000,2404.597865
40444.145134,1000,2428.171459
36858.632005,1000,2451.581259
74606.065373,1000,2475.804664
56054.684628,1000,2499.358662
65940.278816,1000,2522.931149
72639.363832,1000,2546.552538
64277.712463,1000,2569.158209
70844.941212,1000,2593.217943
85321.045252,1000,2617.177575
52792.958851,1000,2640.583068
65006.402869,1000,2664.003905
64003.267073,1000,2687.180411
73285.502191,1000,2710.926048
39935.17408,1000,2734.857435
60300.523031,1000,2758.559259
39773.275258,1000,2782.148846
47413.047981,1000,2805.974604
55181.396746,1000,2828.934276
25335.326098,1000,2852.616831
42169.730221,1000,2876.656579
48688.484069,1000,2900.005008
59867.255804,1000,2924.230656
61672.168825,1000,2947.236115
52550.436129,1000,2970.423752
67592.072286,1000,2994.382031
64591.354233,1000,3019.046375
34356.660653,1000,3043.075118
55404.517858,1000,3066.823005
52352.67484,1000,3091.668201
52092.390127,1000,3115.132988
65602.548636,1000,3138.720126
67453.571412,1000,3162.535285
49943.684509,1000,3185.521327
61736.126456,1000,3209.399518
16212.550501,1000,3232.071672
27212.46094,1000,3254.877474
19384.938504,1000,3277.57945
36396.953222,1000,3300.397008
56242.918643,1000,3323.74398
35124.472091,1000,3346.981734
