#{"env_id": "my_panda_free_space_traj", "t_start": 1582826394.9427786}
r,l,t
107.460141,300,17.532914
117.100804,300,30.093794
156.437479,300,42.535083
154.549967,300,54.88112
266.086907,300,67.496579
156.004496,300,79.964243
137.215829,300,92.887725
144.228026,300,104.788676
104.158142,300,117.038286
79.484412,300,129.170422
119.980424,300,142.053298
94.983864,300,154.603898
114.911837,300,166.993058
117.475409,300,179.203302
95.695909,300,191.73114
125.341064,300,203.630118
150.373884,300,216.596765
167.392298,300,228.62731
244.548619,300,240.75166
66.094382,300,252.637467
75.699397,300,264.638969
69.901682,300,276.57579
521.597412,300,288.004753
397.808955,300,299.047331
732.558155,300,310.357836
741.972052,300,321.648395
1136.825583,300,333.09217
908.869074,300,344.099068
779.373914,300,355.306749
980.876324,300,366.428814
673.438457,300,377.945575
762.229152,300,389.424878
736.434317,300,400.761342
1102.344146,300,412.515571
915.202492,300,424.010986
1247.212454,300,435.142045
1238.915911,300,446.396947
1202.993664,300,457.055666
1059.33063,300,468.39739
1368.703042,300,479.620194
862.130845,300,490.597488
1164.195544,300,502.116667
1229.862874,300,513.386593
1449.36163,300,524.54247
1627.923226,300,535.733732
1247.509688,300,547.135277
1463.518658,300,558.612107
1354.976982,300,569.135668
1297.361703,300,580.203621
1637.902822,300,591.366371
1716.901119,300,602.358367
1463.400872,300,613.854725
1673.778941,300,625.103982
1870.655969,300,636.645038
2017.674769,300,647.846044
1756.768575,300,659.250319
1708.286597,300,670.073625
1809.308288,300,681.426039
2182.643566,300,692.37089
2219.803678,300,703.741764
2232.276924,300,715.316258
1705.23304,300,726.822606
1943.094489,300,738.153274
2207.363549,300,749.152115
2260.075018,300,760.362493
2190.738088,300,771.613986
2438.38023,300,782.5593
2829.923192,300,793.312826
2649.649028,300,805.135098
2791.993498,300,816.23811
2957.490922,300,827.424658
2562.817823,300,838.904399
2894.827259,300,850.322483
2720.275279,300,862.01108
2450.05677,300,872.922579
2248.99564,300,883.895986
2796.430756,300,895.132334
2856.182956,300,906.722462
3083.69092,300,918.05367
2862.4612,300,928.770627
2798.286791,300,940.119188
2362.548154,300,950.627219
2816.80389,300,961.449987
3106.195181,300,972.519203
2774.160791,300,983.51459
2733.747598,300,994.812203
3214.885701,300,1006.076116
2954.324978,300,1017.37482
2907.66582,300,1028.54334
3251.137529,300,1040.317354
2757.643215,300,1051.375729
2870.679516,300,1062.981986
2994.030954,300,1074.57972
2948.821258,300,1085.558078
3017.682878,300,1096.752955
2948.920419,300,1107.783864
2957.102199,300,1118.484087
3033.254605,300,1129.670075
3017.736127,300,1140.995458
2642.751021,300,1152.512203
2837.609242,300,1164.09618
2818.964229,300,1175.170623
2704.984953,300,1186.82743
2594.506175,300,1198.599561
2647.033689,300,1210.348669
2704.616901,300,1222.413887
2903.610694,300,1234.347406
2771.587169,300,1246.214068
2286.506552,300,1258.58883
2784.666178,300,1270.704775
2580.998849,300,1282.809883
3091.134073,300,1294.885817
3170.070545,300,1306.651863
2943.007425,300,1318.653646
2863.299332,300,1330.565437
2558.276,300,1342.161338
2928.302828,300,1353.578084
2835.417753,300,1364.866338
2832.334271,300,1376.070693
2554.976626,300,1387.092895
2747.068729,300,1398.5417
2725.87684,300,1410.30658
2741.128011,300,1421.465545
2790.422137,300,1433.102225
2850.276521,300,1444.733616
2814.540345,300,1456.200987
2630.814718,300,1467.71595
2657.189742,300,1478.644993
2572.43485,300,1489.898769
2925.893353,300,1501.127858
2615.13309,300,1512.897799
2697.853855,300,1525.216258
2590.361542,300,1537.360261
2312.137681,300,1549.035679
2504.965445,300,1561.016075
2701.07478,300,1572.415732
2673.36909,300,1583.827019
2382.002706,300,1595.698696
2512.472108,300,1607.527196
2505.941948,300,1619.214202
2726.514954,300,1630.732292
2438.853004,300,1641.941592
2369.996316,300,1652.968743
2563.868701,300,1664.444316
2287.827794,300,1676.265065
2461.675257,300,1687.6342
2428.709003,300,1699.107118
2304.09517,300,1710.490785
2375.353739,300,1721.958189
2420.948351,300,1733.326732
2409.489412,300,1744.821131
2293.445956,300,1755.878608
2267.54979,300,1766.946173
2291.314805,300,1778.611401
2472.483138,300,1789.91987
2134.290405,300,1801.466616
2234.657095,300,1812.740005
2438.255471,300,1823.900108
2039.284697,300,1835.27904
2200.66264,300,1846.611665
2291.816641,300,1857.935518
1897.330292,300,1869.37249
2024.079938,300,1880.892599
2084.518045,300,1892.44251
1843.573727,300,1903.637299
1908.810434,300,1915.261992
2202.378988,300,1926.841516
1976.846924,300,1938.469395
1732.467929,300,1950.415857
1598.83055,300,1962.154502
1842.434477,300,1973.199035
1890.713945,300,1984.659717
2349.513286,300,1995.656108
1892.147262,300,2007.003566
2105.46708,300,2018.370742
2219.437276,300,2029.698769
2110.684244,300,2041.48508
1825.610329,300,2052.622677
1555.716849,300,2063.882474
1623.646864,300,2075.536253
2043.322121,300,2087.108709
1665.302289,300,2099.147827
1926.636801,300,2111.082452
1527.214877,300,2122.871121
1644.435762,300,2134.662343
1467.069128,300,2146.318783
1718.670493,300,2158.117024
1480.233962,300,2169.588743
1717.519197,300,2180.99254
1409.449395,300,2192.809484
1608.482048,300,2204.677676
1530.163634,300,2216.5922
1444.534923,300,2228.307544
1432.999236,300,2240.128849
1380.722644,300,2251.791345
1330.597189,300,2263.227818
1251.109072,300,2274.874978
1411.645405,300,2286.866097
1448.326824,300,2298.876254
1444.831863,300,2310.601269
1435.471791,300,2322.384475
1325.954219,300,2333.674466
1150.713731,300,2345.44951
1334.392887,300,2357.492327
1044.997307,300,2369.579009
1197.068648,300,2381.12219
1243.225042,300,2393.103535
1292.630396,300,2404.952241
1059.089613,300,2416.231188
1189.988913,300,2427.444819
1315.550062,300,2439.155879
925.712708,300,2450.461436
971.055571,300,2462.144641
1101.583405,300,2473.945698
1001.016075,300,2485.452871
1202.573308,300,2497.746741
1250.215159,300,2509.373639
1259.686178,300,2521.534632
804.238457,300,2533.342909
700.807155,300,2545.20847
880.123262,300,2557.219751
862.679212,300,2569.253713
1044.649081,300,2581.259913
1186.414531,300,2592.810687
714.75429,300,2604.254504
779.438094,300,2616.088324
886.226417,300,2628.076181
633.39097,300,2640.126121
717.371717,300,2652.490086
514.446521,300,2664.903084
607.296109,300,2676.892371
470.374002,300,2689.03552
576.87862,300,2701.487771
816.044088,300,2713.745209
659.893601,300,2725.436477
567.93568,300,2737.541212
640.573914,300,2749.859493
855.169728,300,2761.881532
