#{"t_start": 1582060683.3174822, "env_id": null}
r,l,t
620.24978,1000,29.351954
891.18796,1000,53.956616
364.930071,1000,78.121207
145.882802,1000,102.676637
355.945785,1000,126.352425
638.407275,1000,153.340828
715.946271,1000,177.949007
564.417081,1000,204.168959
892.140885,1000,229.710798
1949.343642,1000,254.333399
2833.898025,1000,278.981565
1886.557149,1000,303.430585
5529.662477,1000,327.027799
5160.235655,1000,350.081771
5645.107519,1000,374.283292
5998.301833,1000,399.457935
7512.060472,1000,423.452479
12208.925245,1000,448.96756
12216.282981,1000,473.478953
16532.430508,1000,498.22304
15539.169507,1000,521.915764
22667.527661,1000,545.367497
21324.562736,1000,568.51979
22911.456895,1000,592.606026
20405.587685,1000,616.892935
25444.16081,1000,640.898819
19520.73035,1000,664.951694
24650.137717,1000,688.643262
27743.730066,1000,713.058439
27587.686975,1000,736.597461
30140.793811,1000,760.592
25084.497845,1000,783.795415
31684.720398,1000,807.864551
28756.770253,1000,831.212175
29915.633514,1000,855.201257
33699.248483,1000,879.992723
32187.258783,1000,903.911132
36578.625138,1000,928.212886
32257.99451,1000,952.448501
32286.305489,1000,976.144178
42817.945576,1000,1000.243159
28858.704585,1000,1023.948416
20127.235123,1000,1048.438859
20412.990036,1000,1073.115571
9523.151741,1000,1097.310272
23733.38905,1000,1121.435938
35141.077543,1000,1145.708678
22732.802999,1000,1169.25718
28984.411141,1000,1193.481131
25783.629998,1000,1217.509956
44584.510413,1000,1241.256613
21942.374021,1000,1266.329494
45624.937456,1000,1290.523402
29255.215702,1000,1314.714582
9896.162836,1000,1339.473513
7429.843027,1000,1363.492005
19753.713391,1000,1388.102778
42284.514517,1000,1412.717975
24462.347651,1000,1437.213592
38931.915138,1000,1461.698684
23986.568513,1000,1486.196794
35651.897942,1000,1509.664494
40017.607532,1000,1532.76854
46347.173062,1000,1556.489183
48235.012567,1000,1579.940244
59195.535983,1000,1603.457121
41008.457057,1000,1627.6491
23651.719817,1000,1652.141681
31555.205494,1000,1676.496505
6258.821525,1000,1700.481302
14129.486489,1000,1724.095953
4950.326498,1000,1747.697412
11195.427407,1000,1770.727643
4629.884596,1000,1793.96187
18498.532394,1000,1818.64016
7750.817493,1000,1842.823094
6034.661909,1000,1866.584314
571.926745,1000,1890.074431
151.331809,1000,1912.99586
2060.737206,1000,1936.297505
3216.466033,1000,1960.246629
42.901622,1000,1983.710655
40.057018,1000,2005.843552
37.886305,1000,2028.120679
39.162309,1000,2050.964211
39.318592,1000,2074.932879
29.550725,1000,2097.519972
349.651845,1000,2121.066147
884.816045,1000,2143.763957
868.654734,1000,2167.239925
1297.325596,1000,2191.380809
1467.555895,1000,2215.227332
1497.018489,1000,2238.529285
4025.615399,1000,2261.835964
1375.327185,1000,2284.812126
2181.683125,1000,2308.844762
456.44006,1000,2335.37002
4059.115407,1000,2359.313126
8279.89034,1000,2382.348088
11905.969646,1000,2405.158471
2543.662281,1000,2430.273497
2052.22122,1000,2454.106781
2334.985936,1000,2477.17051
3447.176185,1000,2499.913762
2916.297712,1000,2522.859703
663.486505,1000,2547.580785
505.695164,1000,2576.950623
1227.578821,1000,2606.132179
2537.929761,1000,2634.990783
532.783249,1000,2664.007242
1601.858028,1000,2692.578363
2522.994043,1000,2721.054743
1698.752156,1000,2749.399638
2892.84397,1000,2777.340709
1366.960063,1000,2804.614929
1098.583804,1000,2833.496047
6142.053628,1000,2861.33277
461.705593,1000,2889.440245
7834.627766,1000,2917.29032
3906.425567,1000,2943.227167
3859.734962,1000,2969.589675
562.834336,1000,2996.711353
2922.808618,1000,3024.419715
5821.381167,1000,3051.159021
6222.916797,1000,3076.482187
4632.691098,1000,3103.500139
11673.061796,1000,3127.627922
7261.639751,1000,3151.249117
3780.672984,1000,3173.908609
439.42067,1000,3199.17619
4501.732013,1000,3227.7515
8493.44153,1000,3257.092223
1848.017858,1000,3286.528626
1490.54474,1000,3316.695745
2023.979617,1000,3346.70174
448.098555,1000,3375.323241
1915.253839,1000,3404.852288
2442.40787,1000,3434.382633
2668.9758,1000,3464.192183
2182.398748,1000,3494.259709
1013.676606,1000,3522.53162
3166.501865,1000,3551.899326
