nupdates,policy_entropy,fps,total_timesteps,value_loss,explained_variance,ep_len_mean,ep_reward_mean
1,12.77044677734375,101,35,9.999736785888672,0.010091900825500488,,
100,12.772324562072754,438,3500,0.21187162399291992,0.4093286991119385,,
200,12.772465705871582,320,7000,1.3473244905471802,-0.18247783184051514,1000.0,181.32664114285714
300,12.773502349853516,353,10500,9.062947273254395,0.009748399257659912,1000.0,181.32664114285714
400,12.778993606567383,325,14000,2.1970102787017822,-0.19585740566253662,1000.0,173.25694399999995
500,12.770345687866211,339,17500,154.15792846679688,0.02827167510986328,1000.0,173.25694399999995
600,12.749604225158691,319,21000,565.0966796875,0.013416945934295654,1000.0,582.8135253809525
700,12.720677375793457,324,24500,214.5264892578125,-0.017151474952697754,1000.0,582.8135253809525
800,12.701082229614258,305,28000,134.47396850585938,0.03702598810195923,1000.0,831.6355680714286
900,12.665193557739258,306,31500,150.51541137695312,0.00878065824508667,1000.0,831.6355680714286
1000,12.614253997802734,296,35000,298.5888671875,-0.0032614469528198242,1000.0,965.9852918571429
1100,12.619373321533203,295,38500,0.252962589263916,-0.25028514862060547,1000.0,965.9852918571429
1200,12.643101692199707,285,42000,328.6826171875,-0.005934476852416992,1000.0,846.6045029285715
1300,12.63528823852539,288,45500,0.4155413508415222,0.04045438766479492,1000.0,846.6045029285715
1400,12.642525672912598,281,49000,728.4342041015625,0.02709895372390747,1000.0,786.4864089591836
1500,12.639111518859863,284,52500,0.4111298620700836,0.004495024681091309,1000.0,786.4864089591836
1600,12.672412872314453,281,56000,880.218017578125,0.03348731994628906,1000.0,737.9823591428573
1700,12.668404579162598,284,59500,2.2410123348236084,-0.008554458618164062,1000.0,737.9823591428573
1800,12.674712181091309,280,63000,1201.98193359375,0.0934026837348938,1000.0,707.4109461111112
1900,12.655068397521973,284,66500,1.8831760883331299,0.09146201610565186,1000.0,707.4109461111112
2000,12.686117172241211,281,70000,1386.7410888671875,0.00857079029083252,1000.0,687.2873413857143
2100,12.721017837524414,284,73500,1.601321816444397,0.022480666637420654,1000.0,687.2873413857143
2200,12.74797248840332,281,77000,1842.536865234375,0.0025650858879089355,1000.0,675.2645115584415
2300,12.758423805236816,284,80500,1.89199960231781,0.0032916665077209473,1000.0,675.2645115584415
2400,12.760353088378906,281,84000,2621.232177734375,0.008994340896606445,1000.0,678.494152357143
2500,12.768433570861816,284,87500,1.2340693473815918,0.001277148723602295,1000.0,678.494152357143
2600,12.79275894165039,281,91000,3303.868896484375,0.0038404464721679688,1000.0,687.0231403296705
2700,12.797409057617188,284,94500,3.5636844635009766,-0.0004813671112060547,1000.0,687.0231403296705
2800,12.802257537841797,281,98000,4066.294189453125,0.0014803409576416016,1000.0,698.60437222449
2900,12.798588752746582,283,101500,2.019656181335449,0.0004426240921020508,1000.0,698.60437222449
3000,12.81345272064209,281,105000,5060.62158203125,0.0002478361129760742,1000.0,744.3323108400001
3100,12.780078887939453,282,108500,2.113903522491455,0.0034402012825012207,1000.0,744.3323108400001
3200,12.814138412475586,280,112000,6074.94091796875,0.0014873743057250977,1000.0,796.7173518999999
3300,12.817626953125,282,115500,1.0130865573883057,0.00013428926467895508,1000.0,796.7173518999999
3400,12.777758598327637,279,119000,7329.97314453125,0.00031125545501708984,1000.0,779.08513715
3500,12.735018730163574,281,122500,0.9413645267486572,-0.0005786418914794922,1000.0,779.08513715
3600,12.735206604003906,279,126000,8611.9677734375,-0.0004127025604248047,1000.0,747.1487299100002
3700,12.7053861618042,280,129500,1.538304090499878,0.002795279026031494,1000.0,747.1487299100002
3800,12.695280075073242,279,133000,10155.5263671875,-0.00010335445404052734,1000.0,727.5031978999999
3900,12.646803855895996,280,136500,0.9906792640686035,-7.748603820800781e-05,1000.0,727.5031978999999
4000,12.64548397064209,278,140000,11832.4990234375,0.00033843517303466797,1000.0,805.0230780800002
4100,12.634100914001465,280,143500,1.2264056205749512,0.0004929900169372559,1000.0,805.0230780800002
4200,12.580927848815918,278,147000,13539.2822265625,0.00018602609634399414,1000.0,874.1763235700001
