#{"t_start": 1581632953.1773438, "env_id": "myPandaFreeSpaceTraj-v0"}
r,l,t
11568.148372,1000,29.368137
12297.945453,1000,52.733823
33998.369336,1000,75.80831
9817.205876,1000,99.57342
14060.118986,1000,123.593529
14221.337004,1000,147.456456
12952.219956,1000,172.7225
13047.854468,1000,206.470824
13930.424452,1000,244.484993
14279.410837,1000,270.850813
22079.831142,1000,292.93279
22742.417986,1000,315.295983
13913.365154,1000,337.90366
15222.165654,1000,366.58992
15412.756689,1000,389.203567
13262.094693,1000,411.810988
13116.079248,1000,433.933712
13062.349792,1000,455.828206
13194.175875,1000,479.004595
11963.068387,1000,501.344134
13425.701132,1000,523.497135
12437.293761,1000,545.927619
9957.378617,1000,568.402891
13306.755763,1000,591.875117
14842.853999,1000,615.621285
15837.279489,1000,640.152659
12008.214588,1000,664.331693
14979.426469,1000,687.151136
9509.699847,1000,710.207992
8512.553848,1000,733.767117
13327.892723,1000,756.840801
14501.795225,1000,779.982309
14096.264671,1000,814.379962
13792.850566,1000,842.039069
13687.304944,1000,872.458776
14476.224411,1000,904.052995
13149.201499,1000,929.638072
13361.388839,1000,954.808432
13527.659814,1000,980.592541
15686.345669,1000,1010.386534
15435.744842,1000,1046.585732
15275.051167,1000,1076.144252
13655.588043,1000,1103.119867
13853.070423,1000,1136.601078
14738.098362,1000,1174.389022
14405.268288,1000,1215.603745
14556.050581,1000,1250.111552
14078.77925,1000,1290.168625
14780.63555,1000,1319.065435
14445.955,1000,1345.556133
15813.857985,1000,1372.582212
15653.176461,1000,1404.543119
15368.703819,1000,1431.197404
12342.621602,1000,1461.108052
15179.972875,1000,1489.050939
15385.241203,1000,1518.20274
15139.659213,1000,1543.508431
14683.30653,1000,1568.947471
9783.272365,1000,1596.720201
7235.906514,1000,1618.957538
7354.206446,1000,1641.297687
7935.234585,1000,1663.810516
13863.952381,1000,1688.7913
15568.15712,1000,1717.478044
14873.929041,1000,1747.495256
15467.258562,1000,1779.956954
15382.36188,1000,1810.265792
10488.209252,1000,1834.438076
7640.230969,1000,1858.953457
10902.659131,1000,1882.322213
11838.671222,1000,1905.191215
15004.496238,1000,1944.867106
15611.423468,1000,1989.718232
15648.791065,1000,2033.758854
14372.807137,1000,2080.050499
15574.439928,1000,2124.85791
15382.325557,1000,2162.203497
14823.774382,1000,2186.878456
15499.593198,1000,2224.705236
15432.341654,1000,2264.703418
15569.723314,1000,2306.483591
15266.435488,1000,2353.237593
14636.996227,1000,2399.12198
15605.246946,1000,2444.640701
14200.345325,1000,2490.803198
13299.935357,1000,2534.839494
15255.052147,1000,2583.059622
15508.607023,1000,2625.60225
15583.655949,1000,2664.413043
15477.239825,1000,2703.59175
15342.041442,1000,2747.540316
15580.575905,1000,2784.752883
15590.971393,1000,2830.082942
15363.052289,1000,2879.41798
15379.883424,1000,2916.939373
15363.67668,1000,2957.576643
15449.725628,1000,3001.179958
15381.355143,1000,3046.513164
14975.387736,1000,3088.548919
15416.928959,1000,3132.246967
15383.92261,1000,3176.982285
15604.390618,1000,3210.957525
15689.424971,1000,3243.154107
15715.751093,1000,3276.899374
15621.77627,1000,3312.481546
15635.834415,1000,3347.706581
15676.529468,1000,3381.545928
15952.837427,1000,3407.521841
15794.059424,1000,3432.644714
15809.353713,1000,3462.594148
15811.935423,1000,3491.287649
14788.115326,1000,3515.135012
15489.752634,1000,3540.685094
15646.531434,1000,3573.456708
15926.457892,1000,3603.828089
14160.475709,1000,3631.559808
15415.66257,1000,3658.482626
16089.894144,1000,3688.594336
14456.763406,1000,3715.937523
15146.395566,1000,3748.325488
15602.126568,1000,3780.080706
15595.743894,1000,3810.782154
16434.991973,1000,3841.219245
16899.615969,1000,3869.063757
16068.238242,1000,3898.587378
16118.368093,1000,3928.043547
16679.060956,1000,3955.60368
16877.398566,1000,3981.578248
17167.522187,1000,4007.762019
14858.954807,1000,4036.285491
16151.518305,1000,4062.233445
13989.176797,1000,4098.54258
15853.095722,1000,4130.920363
16118.194866,1000,4160.779077
16194.150797,1000,4190.547403
14147.052907,1000,4219.421111
14551.586989,1000,4250.979051
15460.960948,1000,4279.790051
16141.524978,1000,4310.748086
15693.681257,1000,4344.622912
16100.00463,1000,4377.670752
