#{"t_start": 1580935492.4635777, "env_id": "my_panda_free_space_traj"}
r,l,t
633.141793,1000,4.568316
480.792296,1000,8.494632
1030.127412,1000,12.433816
524.653958,1000,16.343495
1001.959833,1000,20.240585
942.121845,1000,24.266375
1001.289923,1000,28.3141
449.771327,1000,32.615591
363.483092,1000,36.89249
283.09652,1000,41.218317
351.91582,1000,45.604745
306.846804,1000,50.040713
401.044888,1000,54.331529
264.976007,1000,58.445017
432.942339,1000,62.59246
258.978328,1000,66.66565
331.93192,1000,70.723432
317.631551,1000,74.782115
368.824818,1000,78.894862
394.984871,1000,82.949984
338.379899,1000,87.02787
348.002428,1000,91.140504
492.308349,1000,95.309
730.083921,1000,99.442559
694.849191,1000,103.714664
572.902219,1000,107.96828
640.219941,1000,112.048923
692.805898,1000,116.106
672.989075,1000,120.192041
662.808724,1000,124.245722
661.983571,1000,128.307059
771.456761,1000,132.414076
812.302681,1000,136.463738
756.552603,1000,140.491522
802.156635,1000,144.601172
664.578474,1000,148.726469
825.565774,1000,152.782415
873.42066,1000,156.810524
928.370303,1000,160.94839
786.727021,1000,164.976287
859.015222,1000,169.011128
1161.936456,1000,173.158791
1902.918206,1000,177.213247
1710.751855,1000,181.196142
1691.356887,1000,185.283904
1253.40977,1000,189.365019
845.79672,1000,193.448497
1825.404428,1000,197.504691
1181.5171,1000,201.568228
1772.252197,1000,205.656921
1693.652037,1000,209.717289
1556.182451,1000,213.792253
2980.891509,1000,217.827798
2006.506767,1000,221.802423
2166.512304,1000,225.772496
1727.238202,1000,229.83562
1344.91775,1000,233.850423
1425.242174,1000,237.888244
2116.044737,1000,241.965287
443.360053,1000,245.956112
397.885115,1000,250.046079
65.495997,1000,254.119744
123.114184,1000,258.173012
112.68855,1000,262.241256
225.230973,1000,266.360163
401.628951,1000,270.699663
308.771197,1000,274.80221
380.124073,1000,278.976757
351.726257,1000,283.309908
396.599417,1000,287.482409
401.234367,1000,291.794666
449.585835,1000,295.996552
425.127444,1000,300.184731
514.233133,1000,304.300179
379.124856,1000,308.507401
379.023425,1000,312.737837
383.707354,1000,316.982043
466.050836,1000,321.227705
453.104371,1000,325.433329
415.893761,1000,329.657055
456.101558,1000,333.886932
537.277956,1000,338.143537
475.090922,1000,342.422748
531.477433,1000,346.673975
517.721029,1000,350.906043
533.006181,1000,355.224123
522.71919,1000,359.48289
494.564288,1000,363.724193
526.109226,1000,367.955118
530.95651,1000,372.179881
605.795031,1000,376.415918
587.408753,1000,380.610598
572.01056,1000,384.821781
555.946863,1000,389.018166
601.361111,1000,393.239479
593.090175,1000,397.492624
605.505046,1000,401.725983
662.7425,1000,405.964982
645.173474,1000,410.126433
633.992756,1000,414.330007
650.441304,1000,418.558002
720.567676,1000,422.548958
772.095066,1000,426.673231
819.375547,1000,430.71833
808.283754,1000,434.777738
879.036318,1000,438.951192
920.134417,1000,443.133643
874.197872,1000,447.168643
898.064287,1000,451.206628
872.2615,1000,455.422413
893.380933,1000,459.537547
934.857621,1000,463.575577
891.925862,1000,467.665116
369.706524,1000,471.971653
412.142804,1000,476.430905
835.238252,1000,480.627145
387.767059,1000,484.737138
761.234703,1000,488.790133
901.55759,1000,492.941619
764.802726,1000,497.093445
920.351284,1000,501.405294
916.320379,1000,505.569294
915.420243,1000,509.741198
905.478544,1000,513.917118
939.895424,1000,518.083616
907.822152,1000,522.254519
957.794348,1000,526.432118
906.200306,1000,530.580118
935.239655,1000,534.718329
861.374993,1000,538.939938
921.516653,1000,543.168757
911.797778,1000,547.397143
974.38855,1000,551.630202
804.949493,1000,555.73773
970.328853,1000,560.019252
934.526493,1000,564.104922
794.508088,1000,568.456636
960.24116,1000,572.710979
879.266022,1000,576.834229
934.605066,1000,581.031959
903.723531,1000,585.194063
912.892407,1000,589.394418
928.548713,1000,593.610814
908.272294,1000,597.857638
980.874144,1000,602.041917
815.234671,1000,606.15257
974.444253,1000,610.295419
872.813063,1000,614.426286
980.343933,1000,618.575917
970.580264,1000,622.71809
882.690463,1000,626.821993
880.069841,1000,630.94686
970.871223,1000,635.069718
961.108499,1000,639.192196
896.465385,1000,643.311407
854.799781,1000,647.42138
933.369044,1000,651.579366
977.120196,1000,655.720849
963.395661,1000,659.833583
873.489239,1000,663.952623
909.912073,1000,668.073803
988.842207,1000,672.189192
744.964664,1000,676.513593
614.734182,1000,680.768341
889.395121,1000,685.049154
861.032408,1000,689.102278
899.608055,1000,693.243261
926.331993,1000,697.400712
922.418627,1000,701.618909
974.260426,1000,705.686666
900.02475,1000,709.852755
929.1947,1000,714.141905
960.709844,1000,718.371807
895.209172,1000,722.505946
856.289324,1000,726.657722
945.630765,1000,730.892458
953.495662,1000,735.127289
827.944623,1000,739.345644
938.738667,1000,743.670093
950.994911,1000,747.770704
921.606428,1000,751.875278
883.069817,1000,756.089249
938.28703,1000,760.288826
