#{"t_start": 1581953277.1967547, "env_id": "myPandaFreeSpace1Goal-v0"}
r,l,t
7.812455,1000,25.69573
7.612215,1000,36.650265
7.582,1000,47.444898
6.510376,1000,58.334053
5.846547,1000,69.292053
5.477214,1000,80.834594
4.39827,1000,92.370008
4.790418,1000,103.511167
7.11606,1000,114.446267
7.846841,1000,125.262426
12.343819,1000,136.279127
10.089871,1000,147.265303
10.261541,1000,158.325891
14.64382,1000,169.383575
17.836945,1000,180.447618
20.167363,1000,191.535192
25.379105,1000,202.591851
30.94818,1000,213.637382
164.803172,1000,224.688696
31.199415,1000,235.669646
318.701362,1000,246.919123
304.179018,1000,258.061378
370.179705,1000,269.218628
289.549487,1000,281.073546
378.098708,1000,292.601353
378.037671,1000,303.976189
251.153203,1000,315.67801
177.909791,1000,326.646313
288.81678,1000,338.072579
336.018054,1000,349.971971
345.653959,1000,362.366358
343.880655,1000,374.780016
347.430204,1000,387.159503
346.021108,1000,399.487179
345.63538,1000,411.902568
349.631827,1000,424.14795
355.17003,1000,436.294065
386.058225,1000,448.092969
392.036329,1000,459.486849
453.645555,1000,471.126576
453.866985,1000,482.718195
418.205706,1000,494.217637
416.491216,1000,505.806609
452.978567,1000,517.504052
419.561599,1000,529.321632
433.104198,1000,540.921738
435.804861,1000,552.600095
409.58291,1000,564.331234
430.230309,1000,576.033865
477.452997,1000,587.531952
488.167486,1000,598.877387
458.869778,1000,610.373486
487.431415,1000,621.838577
472.24562,1000,633.116417
555.374675,1000,644.567234
407.450284,1000,655.855212
516.091557,1000,667.03339
494.0903,1000,678.361621
577.572575,1000,689.634745
493.9787,1000,700.78479
541.750053,1000,712.079813
546.288138,1000,723.376189
511.748498,1000,734.685197
579.070435,1000,745.945403
524.656385,1000,757.144943
567.710831,1000,768.36324
656.958865,1000,779.595551
639.469622,1000,790.863461
663.2125,1000,802.075812
627.312553,1000,813.159696
673.327225,1000,824.407508
559.840682,1000,835.563705
718.698612,1000,846.680992
695.175262,1000,857.707205
617.846717,1000,868.790926
691.323819,1000,879.932031
621.897714,1000,891.086182
682.889624,1000,902.107516
720.87745,1000,913.239407
722.45983,1000,924.399447
773.263112,1000,935.391452
805.54896,1000,946.36114
712.896691,1000,957.268964
813.114114,1000,968.262265
763.795195,1000,979.191485
797.38096,1000,990.218091
839.987233,1000,1001.169975
630.087444,1000,1012.124663
854.819838,1000,1022.955382
860.737653,1000,1033.740834
819.580271,1000,1044.714358
684.036878,1000,1055.664451
820.560087,1000,1066.623934
858.268033,1000,1077.600238
887.811969,1000,1088.544129
872.112956,1000,1099.483901
766.498037,1000,1110.345247
787.574529,1000,1121.199329
822.237576,1000,1132.049963
728.154977,1000,1142.979038
699.808941,1000,1153.852517
814.806437,1000,1164.683878
855.833665,1000,1175.509387
821.416799,1000,1186.301112
835.229742,1000,1197.38237
762.004712,1000,1208.050891
761.213035,1000,1218.716404
847.056838,1000,1229.587326
900.492579,1000,1240.446102
917.342915,1000,1251.229297
813.802313,1000,1261.981524
801.550418,1000,1272.705841
795.673978,1000,1283.422748
887.415382,1000,1294.212762
792.147057,1000,1305.029737
829.028185,1000,1315.754549
899.226368,1000,1326.429694
858.437323,1000,1337.10296
941.0308,1000,1348.007915
889.2529,1000,1358.792156
892.11689,1000,1369.593251
895.583505,1000,1380.345431
909.331716,1000,1391.12881
933.727025,1000,1401.78176
992.614022,1000,1412.403903
1072.070006,1000,1423.116228
942.711034,1000,1433.843778
1049.27909,1000,1444.799863
1060.830087,1000,1455.565485
1168.85632,1000,1466.234876
1049.109625,1000,1476.781819
1131.706377,1000,1487.379663
787.47263,1000,1498.421175
1147.624129,1000,1509.041155
1203.369911,1000,1519.706218
1170.202657,1000,1530.240134
1087.46678,1000,1540.830057
1147.827866,1000,1551.471009
1222.489357,1000,1562.039282
1250.57156,1000,1572.65224
1180.790298,1000,1583.206286
1144.372345,1000,1593.882046
1164.4993,1000,1604.420765
1265.183104,1000,1614.994346
1186.836602,1000,1625.868089
1185.6739,1000,1636.449841
1262.461526,1000,1647.011354
1266.23008,1000,1657.587667
1232.678919,1000,1668.17023
1199.455229,1000,1678.75733
1244.687844,1000,1689.418438
1323.304518,1000,1699.905945
1191.536317,1000,1710.373225
1224.706533,1000,1720.89566
1256.089871,1000,1731.420943
1198.116756,1000,1741.951089
960.273034,1000,1752.875308
1312.875823,1000,1763.473328
1275.974683,1000,1773.996988
1295.660433,1000,1784.486574
1345.652102,1000,1795.065546
1129.586402,1000,1805.551035
1279.672789,1000,1816.040489
1315.223214,1000,1826.4803
1210.476483,1000,1836.905088
1199.048779,1000,1847.380071
1290.167903,1000,1857.866527
1238.97161,1000,1868.411796
1298.066552,1000,1878.88027
1259.531995,1000,1889.436928
1156.951841,1000,1899.935489
1272.72053,1000,1910.419147
1322.63142,1000,1920.855332
1103.071474,1000,1931.28446
1256.8014,1000,1941.686905
1359.47997,1000,1952.105968
1149.202498,1000,1962.53579
1229.30531,1000,1972.94306
1237.100434,1000,1983.472983
1261.531114,1000,1993.894621
1250.558187,1000,2004.332696
1221.787957,1000,2014.694513
1300.40243,1000,2025.035589
1223.42957,1000,2035.399327
1286.87303,1000,2045.791781
75.415952,1000,2056.775714
1309.319495,1000,2067.1903
1261.33905,1000,2077.698509
1357.516137,1000,2088.075462
1202.394064,1000,2098.44995
1308.014516,1000,2108.88037
1325.606279,1000,2119.293676
1230.911725,1000,2129.639947
1254.052836,1000,2140.082714
1237.763426,1000,2150.530305
1222.467568,1000,2160.926548
113.854353,1000,2171.48243
1360.39686,1000,2182.009339
1325.917217,1000,2192.398143
1342.853666,1000,2202.791797
1156.325162,1000,2213.250461
1254.564244,1000,2223.738758
1253.292397,1000,2234.177842
1253.863234,1000,2245.014668
1349.005731,1000,2255.435477
1382.0463,1000,2265.843361
1249.294658,1000,2276.323259
1233.377598,1000,2286.692399
1215.990178,1000,2297.074122
1297.597701,1000,2307.42432
1260.782365,1000,2317.813056
1393.046587,1000,2328.186657
1278.832957,1000,2338.560971
1129.637329,1000,2348.963418
1194.827433,1000,2359.361043
1209.492671,1000,2369.851722
1351.617433,1000,2380.242732
1351.035639,1000,2390.632037
1344.293805,1000,2401.039177
1422.542796,1000,2411.839656
1191.845168,1000,2422.333803
1428.948385,1000,2432.717496
1307.274342,1000,2443.150597
1065.225253,1000,2453.550243
1360.375057,1000,2463.943039
1362.097038,1000,2474.498241
1451.471501,1000,2484.912292
1402.060263,1000,2495.270326
1402.988657,1000,2505.673461
1447.830341,1000,2516.073147
1410.122526,1000,2526.539877
1463.244595,1000,2536.948612
1285.002491,1000,2547.371269
1277.464214,1000,2557.861576
1352.206649,1000,2568.434818
1385.264773,1000,2578.812997
1565.109427,1000,2589.206415
1369.24814,1000,2599.633348
76.520106,1000,2610.348316
1566.237868,1000,2620.749846
1520.787814,1000,2631.174521
1531.71679,1000,2641.598096
1567.029818,1000,2652.020999
1663.824942,1000,2662.568498
1668.943451,1000,2672.961623
1583.502586,1000,2683.43346
