#{"t_start": 1581012336.9035807, "env_id": "my_panda_free_space_traj"}
r,l,t
-29987.12554,1000,4.754688
-29988.844965,1000,8.863824
-29986.299101,1000,12.927619
-29989.68203,1000,17.019139
-29993.60477,1000,21.184239
-29994.552253,1000,25.480156
-29992.241894,1000,29.709816
-29992.822668,1000,33.938914
-29992.597925,1000,38.162434
-29994.21556,1000,42.458486
-29993.706289,1000,46.669939
-29991.787718,1000,50.823811
-29989.465232,1000,54.914013
-29992.025749,1000,59.080238
-29992.111971,1000,63.280263
-29991.256963,1000,67.458635
-29986.964775,1000,71.64477
-29989.095177,1000,75.850772
-29987.312871,1000,80.00234
-29989.331716,1000,84.140272
-29987.94186,1000,88.289668
-29988.281843,1000,92.414657
-29986.238386,1000,96.534544
-29986.033355,1000,100.619264
-29989.41298,1000,104.794973
-29986.501271,1000,109.023338
-29988.740072,1000,113.223921
-29990.381027,1000,117.311827
-29989.327891,1000,121.379297
-29989.997134,1000,125.52301
-29993.906502,1000,129.896207
-29993.474729,1000,134.213769
-29992.301526,1000,138.369105
-29989.940184,1000,142.448906
-29986.328273,1000,146.632493
-29990.211703,1000,150.705089
-29990.70027,1000,154.81964
-29988.972615,1000,158.892509
-29987.145029,1000,163.003302
-29991.149596,1000,167.085804
-29986.407526,1000,171.151479
-29988.474072,1000,175.282038
-29987.099129,1000,179.35295
-29986.799191,1000,183.424481
-29987.867822,1000,187.491719
-29984.777468,1000,191.569078
-29981.277609,1000,195.720961
-29985.478921,1000,199.942319
-29984.152252,1000,204.023474
-29981.632188,1000,208.203461
-29982.95748,1000,212.303365
-29978.15468,1000,216.38715
-29981.529602,1000,220.483986
-29982.196554,1000,224.555019
-29984.44859,1000,228.617639
-29983.512226,1000,232.700537
-29986.256865,1000,236.781954
-29983.813389,1000,240.846671
-29985.561703,1000,244.914137
-29990.186926,1000,249.021286
-29993.521247,1000,253.223836
-29989.19263,1000,257.462772
-29988.159269,1000,261.630712
-29987.280938,1000,265.789346
-29985.504633,1000,270.013118
-29982.708666,1000,274.231871
-29982.908255,1000,278.444196
-29984.170189,1000,282.519929
-29988.741233,1000,286.876982
-29993.150811,1000,291.120601
-29990.225284,1000,295.360442
-29992.117424,1000,299.656965
-29985.995185,1000,303.775371
-29987.891747,1000,307.899984
-29991.042197,1000,312.202717
-29990.179768,1000,316.528483
-29993.189984,1000,320.799483
-29990.988624,1000,325.044099
-29983.08603,1000,329.445563
-29987.267711,1000,333.740337
-29986.955756,1000,337.936171
-29986.826559,1000,342.105802
-29980.700674,1000,346.202069
-29987.310963,1000,350.405085
-29986.57771,1000,354.693915
-29986.039131,1000,359.026594
-29988.288753,1000,363.231053
-29985.281618,1000,367.411195
-29987.871182,1000,371.608849
-29985.092623,1000,375.754213
-29986.326701,1000,379.83957
-29986.153784,1000,383.886325
-29990.47644,1000,387.93024
-29983.710184,1000,391.931789
-29985.822488,1000,395.95826
-29981.947142,1000,399.981882
-29982.157673,1000,404.04277
-29984.552225,1000,408.091362
-29986.241012,1000,412.145379
-29979.013437,1000,416.207208
-29983.745558,1000,420.289162
-29989.147728,1000,424.407424
-29990.621816,1000,428.575177
-29990.164081,1000,432.728463
-29988.813046,1000,436.883761
-29990.200841,1000,441.029797
-29989.636736,1000,445.186178
-29987.113785,1000,449.30339
-29982.958466,1000,453.328758
-29983.166264,1000,457.347823
-29981.939278,1000,461.394389
-29984.439072,1000,465.355704
-29984.970565,1000,469.494976
-29986.890094,1000,473.612144
-29982.224683,1000,477.662763
-29984.096611,1000,481.683784
-29983.962765,1000,485.794704
-29988.734315,1000,489.95084
-29990.257708,1000,494.143495
-29989.802441,1000,498.448418
-29990.972295,1000,502.720431
-29985.989719,1000,506.940197
-29990.692161,1000,511.212856
-29980.535488,1000,515.86549
-29992.885016,1000,520.310419
-29992.700441,1000,524.568332
-29990.277432,1000,528.843112
-29991.574255,1000,533.090357
-29991.859773,1000,537.389642
-29988.896757,1000,541.709374
-29984.045321,1000,546.097485
-29986.159349,1000,550.454921
-29993.847097,1000,554.59372
-29991.944375,1000,558.992857
-29994.486742,1000,563.114333
-29990.263964,1000,567.49059
-29990.629333,1000,572.239511
-29987.591241,1000,576.575155
-29990.666425,1000,581.292879
-29988.905799,1000,586.011839
-29992.316843,1000,590.689315
-29985.335448,1000,595.152115
-29992.230167,1000,599.61301
-29993.206725,1000,604.150391
-29987.253127,1000,608.734343
-29992.505256,1000,613.05374
-29991.46138,1000,617.46984
-29989.760793,1000,622.155886
-29990.46769,1000,626.748003
-29992.312398,1000,631.153162
-29985.949751,1000,635.474996
-29993.330797,1000,639.544267
-29990.050991,1000,643.819916
-29990.346617,1000,648.311406
-29987.272135,1000,652.758755
-29992.667065,1000,657.160405
-29990.17098,1000,661.55634
-29991.952861,1000,665.996242
-29991.69195,1000,670.3153
-29990.404036,1000,674.658818
-29994.300843,1000,679.136795
-29987.693875,1000,683.649572
-29988.524626,1000,688.081627
-29988.805707,1000,692.474432
-29988.429088,1000,696.94737
-29915.425067,1000,701.307806
-29986.331093,1000,705.669079
-29989.719185,1000,710.034403
-29988.014051,1000,714.391004
-29968.73322,1000,718.755018
-29990.120902,1000,723.122957
-29993.744196,1000,727.210538
-29990.267544,1000,731.561118
-29990.778675,1000,736.020623
-29990.443898,1000,740.53442
-29991.058148,1000,744.89154
-29992.449043,1000,749.029042
-29990.793382,1000,753.340609
-29992.930753,1000,757.605846
-29972.729929,1000,761.840207
-29981.595155,1000,766.223366
-29984.578827,1000,770.511171
-29987.59189,1000,774.786936
-29986.609312,1000,779.055515
-29986.005602,1000,783.313255
-29990.994088,1000,787.640302
-29991.406013,1000,792.360337
-29988.7796,1000,797.031952
-29989.704508,1000,801.384307
-29990.678804,1000,805.748121
-29990.719519,1000,810.105265
