#{"env_id": null, "t_start": 1582685298.5852408}
r,l,t
233.115958,1001,61.055073
5602.946862,1001,112.200397
914.539164,1001,163.569278
5753.547652,1001,213.803658
6393.514744,1001,265.064425
8183.977275,1001,315.57415
9637.211593,1001,366.451121
9506.987003,1001,417.908358
10909.347941,1001,468.964294
11623.7348,1001,519.736946
11592.947605,1001,570.878559
11663.329512,1001,621.681834
11950.301075,1001,673.117253
11229.08049,1001,723.80167
11836.916393,1001,774.482412
11977.707895,1001,824.77207
12127.22848,1001,875.674743
12320.068663,1001,926.091146
12467.383113,1001,977.325178
12335.220053,1001,1028.023136
12419.450393,1001,1079.369982
12665.454048,1001,1130.518964
12758.4422,1001,1180.420261
12594.960054,1001,1232.118273
12819.759069,1001,1282.989215
12626.944265,1001,1334.892761
13210.906,1001,1385.98624
12690.775951,1001,1437.481569
13343.45595,1001,1489.300996
13459.132903,1001,1541.251175
12653.368075,1001,1593.211211
12772.581784,1001,1644.695208
12849.607807,1001,1695.872734
12892.644089,1001,1747.61631
12953.799857,1001,1798.779114
13119.519789,1001,1849.917738
12792.667946,1001,1901.553192
12732.033564,1001,1952.441758
13060.22127,1001,2003.932517
13086.699425,1001,2055.188402
12872.836201,1001,2106.816761
12821.064941,1001,2157.877779
12577.405427,1001,2209.039284
13179.249765,1001,2259.434401
13125.145962,1001,2311.30782
12692.016981,1001,2362.874101
13576.152358,1001,2414.474341
13036.365238,1001,2465.700728
12899.36227,1001,2517.770076
12884.468194,1001,2569.419346
13232.298707,1001,2620.255973
13065.853863,1001,2670.402217
12782.477979,1001,2721.532189
13101.437149,1001,2772.691734
13149.801171,1001,2823.503515
13331.67231,1001,2875.209091
13149.378949,1001,2927.361604
12915.387192,1001,2978.798258
13229.57021,1001,3029.807399
12900.571701,1001,3081.108983
12918.961715,1001,3132.597382
13571.297528,1001,3183.409481
13512.380386,1001,3234.830388
13178.471054,1001,3285.809359
12870.654763,1001,3337.33136
13808.604435,1001,3388.602653
12113.679392,1001,3439.217631
12885.578818,1001,3490.892009
12817.847926,1001,3542.23075
12893.428287,1001,3593.818212
13490.212925,1001,3644.615458
13340.867354,1001,3695.513938
12880.974374,1001,3746.861694
12914.725044,1001,3797.421166
13358.146098,1001,3849.206082
13047.186495,1001,3900.578116
13215.050099,1001,3951.8755
13380.08685,1001,4002.996159
13391.395263,1001,4053.474003
12888.390499,1001,4105.420885
12887.89223,1001,4156.141258
12827.670417,1001,4208.476768
13386.329205,1001,4259.142699
13380.779933,1001,4310.370715
13235.32798,1001,4361.2861
12852.339748,1001,4412.360567
12815.778697,1001,4463.332131
13393.761387,1001,4514.276457
13266.369206,1001,4564.979874
13240.069491,1001,4616.900147
12896.316077,1001,4668.503819
13370.482448,1001,4719.637249
13355.24657,1001,4770.062286
13386.95263,1001,4821.12047
12893.753073,1001,4871.534407
13308.242569,1001,4922.309773
13624.252092,1001,4972.974135
13283.42745,1001,5024.468985
13419.999039,1001,5075.072032
13258.73348,1001,5126.876613
12981.662235,1001,5177.953589
13710.371266,1001,5229.291499
13401.179872,1001,5280.46359
13361.213795,1001,5331.396277
13499.175028,1001,5382.718588
13233.052195,1001,5435.06933
12898.549182,1001,5486.46718
12995.581424,1001,5539.121457
13513.980638,1001,5590.205966
12868.713746,1001,5641.848037
13150.617857,1001,5693.144382
12918.677908,1001,5745.728373
13327.667823,1001,5797.322351
13038.162132,1001,5849.011842
13125.630582,1001,5901.680856
13389.117117,1001,5953.760781
13250.424058,1001,6004.30791
12870.062376,1001,6056.181272
12911.875778,1001,6107.843292
13026.412084,1001,6159.99564
13864.872229,1001,6211.626331
13711.739742,1001,6263.837341
13367.531814,1001,6316.034332
12978.001211,1001,6368.700651
13341.780444,1001,6420.814556
12909.238493,1001,6472.963607
13271.258472,1001,6524.396782
14199.731295,1001,6575.579788
14504.389429,1001,6627.973576
12838.653159,1001,6680.658092
12892.082512,1001,6733.518861
12919.610315,1001,6785.811745
13191.818592,1001,6836.879375
13233.159953,1001,6888.368762
13276.47358,1001,6940.543849
12921.217743,1001,6993.34164
13142.73373,1001,7045.916281
13234.313372,1001,7097.436224
13366.974801,1001,7150.045337
12829.416114,1001,7202.630516
13576.521505,1001,7255.143187
13876.540369,1001,7308.069943
