#{"t_start": 1582730978.793934, "env_id": "my_panda_free_space_traj"}
r,l,t
61.492118,1001,204.224747
3598.913148,1001,241.25655
3975.928123,1001,274.395467
5238.438886,1001,306.811208
5274.156308,1001,339.250695
1735.856056,1001,371.612854
6290.823563,1001,404.086712
853.174272,1001,436.715429
5099.818101,1001,469.210088
6594.208737,1001,501.621305
6180.914927,1001,533.732541
7191.160613,1001,566.024149
11003.137184,1001,598.270857
5415.681286,1001,630.623813
8345.964867,1001,662.702156
17028.688113,1001,694.788884
18291.204922,1001,726.876679
9238.634943,1001,758.956237
19934.145426,1001,791.229794
24280.937103,1001,823.485832
20039.254534,1001,855.452008
9302.862986,1001,887.691194
27211.484275,1001,920.096201
27067.798831,1001,952.428797
9873.186409,1001,984.501249
30401.623975,1001,1016.22004
32763.383244,1001,1048.248752
8237.034261,1001,1080.364722
33680.406689,1001,1112.475213
9532.233746,1001,1145.170985
32314.533985,1001,1177.29523
39333.559415,1001,1209.421103
38735.310284,1001,1241.326966
4825.272849,1001,1273.440137
42519.322004,1001,1305.503208
11500.543938,1001,1338.290376
10887.59282,1001,1370.965592
39887.554728,1001,1403.053289
44225.662511,1001,1434.91997
43805.749358,1001,1467.122829
47540.172217,1001,1498.900527
10682.738405,1001,1530.867921
48698.012803,1001,1563.095361
9924.993937,1001,1594.940842
9810.271661,1001,1626.892047
10538.183568,1001,1658.94112
14971.485206,1001,1691.634256
46975.642913,1001,1723.790854
50839.108699,1001,1755.856121
10541.517357,1001,1788.296581
10846.688751,1001,1820.225846
9734.553268,1001,1852.040542
11351.736776,1001,1884.132667
53052.620895,1001,1915.898817
54288.678236,1001,1948.004493
9255.697622,1001,1980.755925
54247.278409,1001,2012.635129
56340.419484,1001,2044.491339
9906.472391,1001,2076.044619
14350.068326,1001,2108.74206
54881.050056,1001,2140.660982
9686.049584,1001,2172.519943
52514.721984,1001,2204.448552
9745.576597,1001,2236.303071
53475.094503,1001,2268.235313
54829.314767,1001,2300.146301
60019.563005,1001,2332.084845
8095.367525,1001,2364.140773
57809.678683,1001,2396.312705
9734.797049,1001,2428.924229
10085.48003,1001,2460.926595
13265.100598,1001,2492.577232
12699.458158,1001,2524.414056
55159.659177,1001,2556.627609
52128.468104,1001,2588.584712
53884.245073,1001,2620.505787
58469.976925,1001,2652.199549
12002.146462,1001,2684.127083
11026.99426,1001,2715.906068
9472.87601,1001,2747.937247
54534.863876,1001,2779.862683
59641.721829,1001,2811.728945
60967.012368,1001,2844.025217
9188.231139,1001,2875.682148
4965.312063,1001,2907.388546
12322.950828,1001,2939.001827
59199.470588,1001,2970.554195
60069.958397,1001,3002.336494
61162.821183,1001,3034.005758
9181.328924,1001,3065.793722
9383.62259,1001,3097.744939
8816.310365,1001,3130.165038
53359.882277,1001,3161.461247
56079.342344,1001,3192.92844
60636.518896,1001,3225.356647
58142.422382,1001,3256.862653
7832.241488,1001,3288.765224
66317.808416,1001,3320.401797
62139.555419,1001,3351.893615
56327.019365,1001,3383.658005
9090.289295,1001,3415.460256
60771.26744,1001,3447.21405
68620.053714,1001,3479.329698
60921.502069,1001,3511.279579
59820.694977,1001,3542.674581
64466.996472,1001,3574.325619
10304.620993,1001,3606.299039
61269.757141,1001,3637.840615
68635.981168,1001,3669.369761
64850.944782,1001,3701.316609
16022.679895,1001,3733.236126
9760.696858,1001,3764.683483
62962.780813,1001,3796.625216
10752.493599,1001,3828.232173
10032.31884,1001,3859.961208
6790.68051,1001,3891.626111
11187.57681,1001,3923.265095
68864.33883,1001,3954.74856
10998.285123,1001,3986.631401
61094.014891,1001,4018.123526
8533.34516,1001,4049.658805
69713.887834,1001,4081.266311
6745.818121,1001,4113.172854
6507.089841,1001,4144.583002
10634.502931,1001,4176.67488
11561.752946,1001,4208.403336
9457.941233,1001,4240.08738
7168.742535,1001,4271.682046
9766.80362,1001,4303.177465
9918.009735,1001,4334.921228
64334.274995,1001,4366.56489
10098.870096,1001,4397.978911
6184.041546,1001,4429.642077
73675.022472,1001,4461.125968
5761.598746,1001,4493.094173
6550.32465,1001,4524.895881
70216.526532,1001,4556.540051
14073.541094,1001,4587.729692
72751.552977,1001,4619.324492
11314.557093,1001,4650.728406
74546.12637,1001,4682.41292
69460.157966,1001,4714.154526
