#{"t_start": 1582670045.8576086, "env_id": null}
r,l,t
1271.221823,1001,62.616881
947.533974,1001,117.956639
2649.212153,1001,172.793591
3109.892834,1001,228.130398
3570.836897,1001,282.165553
4263.036436,1001,336.522455
5069.908299,1001,390.612304
5261.71646,1001,443.351149
5829.07471,1001,496.609989
6333.52645,1001,549.472654
4341.67312,1001,602.984787
5346.143311,1001,655.663041
6557.060661,1001,708.225509
4289.315469,1001,761.434845
6121.934389,1001,814.632527
6866.876247,1001,868.386886
5287.303257,1001,921.626602
6313.731477,1001,975.296254
7546.510835,1001,1028.986575
6838.888196,1001,1083.434951
6211.50073,1001,1136.578671
6078.610122,1001,1190.124759
6839.422365,1001,1243.737845
7349.780334,1001,1297.919621
6558.812011,1001,1352.24166
7447.852971,1001,1406.805063
6228.769006,1001,1460.966151
7007.847612,1001,1515.464217
6309.408287,1001,1568.685945
7962.233018,1001,1623.550892
7377.387207,1001,1676.522136
7100.387485,1001,1729.655632
8267.39833,1001,1783.776505
8508.256436,1001,1837.047268
8701.135885,1001,1891.970942
7784.708148,1001,1945.919209
7361.961351,1001,2000.303437
8799.666436,1001,2054.129353
8047.844718,1001,2107.286551
8830.804163,1001,2162.230656
8948.32367,1001,2219.368266
7953.365001,1001,2273.81442
9117.829468,1001,2326.90348
8451.618874,1001,2380.477671
8824.004725,1001,2433.533267
8303.483418,1001,2485.892997
9226.229194,1001,2539.649886
9163.438135,1001,2595.155522
8813.794352,1001,2648.225273
9052.614459,1001,2701.458785
9607.78703,1001,2754.343493
9322.602577,1001,2807.729817
9535.217535,1001,2861.335948
9748.520227,1001,2914.743046
9300.201328,1001,2967.347014
9574.442328,1001,3021.479919
9814.661845,1001,3074.849699
9825.134199,1001,3127.083909
10021.958928,1001,3180.679951
9715.63248,1001,3234.462515
9771.798447,1001,3291.101017
9937.698874,1001,3343.98051
10295.787074,1001,3396.67924
9267.735231,1001,3450.021355
9864.646932,1001,3502.807665
9683.139495,1001,3555.361766
9918.656665,1001,3607.460196
9462.751872,1001,3660.337328
10044.766081,1001,3712.664883
10019.296903,1001,3766.527096
9750.857719,1001,3818.950512
10030.362053,1001,3871.903409
10065.825157,1001,3925.485932
10337.716532,1001,3979.684406
10477.462013,1001,4033.567396
10322.73211,1001,4086.957258
10258.912357,1001,4139.882544
10517.934286,1001,4194.594407
10276.186166,1001,4249.053102
10171.34192,1001,4301.366184
9999.788547,1001,4357.078514
10304.733561,1001,4411.003812
10650.011463,1001,4464.553109
10540.992116,1001,4517.017714
10931.083224,1001,4569.68273
10499.159096,1001,4622.453676
10238.202127,1001,4674.908148
10960.302779,1001,4728.327988
10690.508038,1001,4780.308372
10657.477977,1001,4833.509831
10338.487006,1001,4886.498045
10953.298001,1001,4939.467865
10858.396258,1001,4991.838768
10733.274043,1001,5044.577261
10769.618952,1001,5096.827093
10503.054789,1001,5149.519966
10844.148287,1001,5202.390316
10326.716459,1001,5255.464823
10882.091671,1001,5308.274777
10637.660309,1001,5363.65812
10476.632327,1001,5416.610421
11217.57602,1001,5469.273839
10857.027796,1001,5522.818444
10705.96113,1001,5575.484026
10948.231494,1001,5628.424864
10893.210938,1001,5681.458271
11076.475049,1001,5734.579503
