total_timesteps,fps,nupdates,explained_variance,policy_loss,value_loss,policy_entropy,ep_len_mean,ep_reward_mean
0,85,1,0.02793598175048828,0.015622597187757492,103.18250274658203,4.2568159103393555,,
13959,133,100,0.012463390827178955,-0.052839066833257675,1684.19091796875,4.293282508850098,1001.0,2423.235803
28059,130,200,0.0002371072769165039,0.03605169057846069,3584.864990234375,4.29055118560791,1001.0,2544.799609095238
42159,129,300,-0.0005506277084350586,0.0004716254770755768,2038.0770263671875,4.290919303894043,1001.0,3101.041194142857
56259,130,400,0.00021380186080932617,-0.06768496334552765,4811.64794921875,4.288424015045166,1001.0,3647.4396571224493
70359,130,500,0.00020444393157958984,0.12858162820339203,2226.48046875,4.283599853515625,1001.0,4089.6240545873015
84459,130,600,5.221366882324219e-05,-0.057569101452827454,2948.141357421875,4.282504558563232,1001.0,4352.697807064934
98559,130,700,-1.4781951904296875e-05,0.10697464644908905,11076.935546875,4.278380870819092,1001.0,4564.635053879121
112659,131,800,0.00015205144882202148,-0.0850011557340622,7140.11328125,4.271194934844971,1001.0,4812.93231062
126759,131,900,3.933906555175781e-06,-0.022875627502799034,6587.3447265625,4.2699480056762695,1001.0,5316.855529379999
140859,130,1000,2.8014183044433594e-06,-0.0461435467004776,5455.8466796875,4.265449047088623,1001.0,5740.442995359999
154959,130,1100,1.3589859008789062e-05,0.0856914222240448,3701.11865234375,4.2588043212890625,1001.0,6000.413659539998
169059,130,1200,1.430511474609375e-06,-0.07586365938186646,7745.99658203125,4.25369930267334,1001.0,6116.093226040001
183159,130,1300,-3.5762786865234375e-07,-0.08384160697460175,6969.3447265625,4.246093273162842,1001.0,6346.54376495
197259,130,1400,1.6093254089355469e-06,0.025897376239299774,6970.34619140625,4.241885185241699,1001.0,6570.754519340001
211359,130,1500,2.980232238769531e-07,0.0013653896749019623,6563.87939453125,4.239687919616699,1001.0,6813.154557219998
225459,130,1600,1.1324882507324219e-06,-0.03405575826764107,4997.9853515625,4.234747886657715,1001.0,7065.622286600002
239559,130,1700,2.682209014892578e-06,-0.09011723101139069,4984.47119140625,4.228619575500488,1001.0,7207.80817838
253659,130,1800,1.7881393432617188e-07,-0.09006358683109283,7337.09765625,4.227074146270752,1001.0,7397.02220883
267759,130,1900,1.7881393432617188e-07,-0.005107760429382324,10196.5,4.225567817687988,1001.0,7632.4066278400005
281859,130,2000,-2.384185791015625e-07,-0.14097687602043152,9088.716796875,4.219996929168701,1001.0,7819.923689600001
295959,130,2100,-2.384185791015625e-07,-0.06876911222934723,8285.80859375,4.213283061981201,1001.0,8008.847846549999
310059,130,2200,0.0,-0.06638658791780472,7403.822265625,4.210268974304199,1001.0,8195.62909317
324159,130,2300,0.0,-0.05971744656562805,5519.4912109375,4.2068939208984375,1001.0,8325.25989693
338259,130,2400,0.0,-0.029419848695397377,6954.0673828125,4.204810619354248,1001.0,8527.28521035
352359,130,2500,-1.1920928955078125e-07,-0.18807682394981384,8652.99609375,4.200253009796143,1001.0,8655.00176377
366459,130,2600,0.0,-0.18727999925613403,6687.3974609375,4.193134784698486,1001.0,8788.600600409998
380559,130,2700,1.1920928955078125e-07,0.12994955480098724,7947.70263671875,4.18949031829834,1001.0,8941.12615934
394659,130,2800,0.0,-0.06791265308856964,9018.5947265625,4.187286376953125,1001.0,9069.17427454
408759,130,2900,1.1920928955078125e-07,-0.18053209781646729,8796.1533203125,4.182114601135254,1001.0,9227.67494504
422859,130,3000,0.0,-0.01689724810421467,10048.9033203125,4.178077697753906,1001.0,9354.16571923
436959,130,3100,3.5762786865234375e-07,-0.16823145747184753,7735.70068359375,4.175543785095215,1001.0,9473.72606244
451059,130,3200,0.0,-0.12549348175525665,9192.3603515625,4.1738667488098145,1001.0,9580.62903765
465159,130,3300,0.0,0.13125920295715332,11359.2998046875,4.16998291015625,1001.0,9692.42182269
479259,130,3400,1.1920928955078125e-07,-0.1090964823961258,9585.0322265625,4.168698310852051,1001.0,9760.428816270001
493359,130,3500,1.1920928955078125e-07,-0.06221133470535278,9266.7666015625,4.167996883392334,1001.0,9817.376339249999
507459,130,3600,0.0,-0.040283843874931335,10723.916015625,4.1635966300964355,1001.0,9890.38297553
521559,130,3700,1.1920928955078125e-07,-0.04584503546357155,10478.109375,4.160488605499268,1001.0,9955.38146438
535659,130,3800,1.7881393432617188e-07,-0.2614975571632385,9642.986328125,4.1596221923828125,1001.0,10013.095111069999
549759,130,3900,-2.384185791015625e-07,-0.0013341046869754791,10729.84375,4.156165599822998,1001.0,10068.02923346
563859,130,4000,0.0,0.047917354851961136,8646.26171875,4.15431547164917,1001.0,10133.605310339999
577959,130,4100,0.0,-0.01721489429473877,11020.9814453125,4.15238094329834,1001.0,10194.210441059999
592059,130,4200,-1.1920928955078125e-07,-0.21917815506458282,10984.3515625,4.1508331298828125,1001.0,10291.1708313
