#{"env_id": null, "t_start": 1582686785.8755429}
r,l,t
7.593626,1000,32.975497
8.22482,1000,58.334281
6.946685,1000,85.058434
4.268937,1000,111.512498
10.762981,1000,138.308213
14.589231,1000,165.592628
31.902888,1000,192.952246
48.573461,1000,222.627404
10.957648,1000,253.97306
38.006231,1000,285.694584
55.003691,1000,316.616003
58.516853,1000,348.249793
58.988621,1000,379.667411
60.079598,1000,411.286946
58.211593,1000,442.627332
59.422494,1000,474.017699
58.921267,1000,505.459248
58.5483,1000,536.724124
57.309135,1000,567.63435
57.85286,1000,598.462627
57.786779,1000,630.35621
58.824737,1000,661.285574
30.686256,1000,693.863417
57.282772,1000,724.356538
57.026762,1000,755.577527
56.106222,1000,786.428442
58.227732,1000,817.34147
59.423089,1000,848.868123
57.211904,1000,881.279608
56.168921,1000,912.579763
57.662135,1000,943.906496
54.65947,1000,975.014721
58.094473,1000,1006.32891
58.055316,1000,1037.078274
57.995595,1000,1067.555327
57.734196,1000,1098.360419
55.654488,1000,1128.761177
58.035746,1000,1159.807572
58.348843,1000,1191.250896
52.877771,1000,1222.093545
58.392265,1000,1252.343889
57.820979,1000,1283.11557
58.411646,1000,1313.645445
43.16552,1000,1344.523834
57.564093,1000,1375.313354
57.376235,1000,1406.096859
58.415521,1000,1436.823316
57.922817,1000,1467.117435
55.251466,1000,1497.753852
57.700577,1000,1528.125642
58.756273,1000,1559.164203
54.20409,1000,1589.47826
55.798362,1000,1619.939567
50.256857,1000,1650.332943
46.880577,1000,1681.928847
56.229462,1000,1712.558671
55.931249,1000,1743.073391
59.974049,1000,1773.788857
60.32349,1000,1804.542995
60.279469,1000,1835.374663
59.493747,1000,1866.089191
57.96979,1000,1896.685316
56.783691,1000,1926.938275
59.257699,1000,1957.101479
4.928917,1000,1986.918058
53.191049,1000,2017.473819
56.49387,1000,2047.856004
53.781763,1000,2078.926972
56.060527,1000,2110.067513
59.492629,1000,2140.913127
58.268534,1000,2171.131923
56.340495,1000,2202.77305
59.047583,1000,2233.817984
58.43298,1000,2263.795374
59.50604,1000,2294.543653
58.649433,1000,2325.402124
57.761183,1000,2355.754546
59.238902,1000,2386.326907
57.626197,1000,2416.525714
58.570004,1000,2447.002218
59.214634,1000,2477.783933
58.740073,1000,2507.993568
58.239099,1000,2538.289016
57.830131,1000,2568.80216
58.87078,1000,2599.534008
58.424966,1000,2630.204415
59.47361,1000,2660.67103
58.818988,1000,2691.375116
58.609519,1000,2722.140572
57.543225,1000,2753.213485
58.535255,1000,2784.263317
58.040614,1000,2815.33576
58.153503,1000,2846.213088
58.965109,1000,2877.191861
57.591177,1000,2908.353439
57.887481,1000,2939.527667
58.084719,1000,2970.886002
58.47872,1000,3001.979844
58.0842,1000,3032.773053
58.091786,1000,3064.121827
57.891161,1000,3095.41653
57.736588,1000,3126.396948
58.057926,1000,3157.577357
58.426002,1000,3187.988544
58.665677,1000,3218.819474
57.410035,1000,3249.940824
58.370731,1000,3280.407596
58.750766,1000,3311.044901
58.391531,1000,3341.443238
58.964601,1000,3372.133374
59.247431,1000,3402.801693
59.283573,1000,3433.486981
59.172393,1000,3464.104554
57.413089,1000,3494.524762
59.584597,1000,3525.778718
59.441982,1000,3556.69373
58.652499,1000,3588.789613
58.874322,1000,3621.375544
58.701068,1000,3653.525865
59.559816,1000,3685.737036
58.23229,1000,3717.782969
57.769536,1000,3749.352348
59.748896,1000,3780.891586
58.387728,1000,3811.839053
57.452315,1000,3843.135741
60.122669,1000,3874.646853
59.101072,1000,3906.150521
59.383905,1000,3937.744529
60.891848,1000,3968.552495
57.75992,1000,4000.21904
59.678245,1000,4031.465724
58.460426,1000,4063.070464
59.489992,1000,4095.168393
63.256685,1000,4127.268203
78.425709,1000,4159.604554
69.17179,1000,4192.03866
73.019606,1000,4224.355926
73.457915,1000,4256.096779
74.319006,1000,4288.174078
77.892923,1000,4320.133388
79.287984,1000,4352.275446
75.747388,1000,4384.553848
