#{"t_start": 1582734181.7374344, "env_id": "my_panda_free_space_traj"}
r,l,t
622.736386,1000,45.37434
1403.871667,1000,69.594979
759.256334,1000,93.344813
2597.448183,1000,116.827151
4205.336236,1000,140.183168
3436.889728,1000,163.681851
6832.872966,1000,187.157714
8658.717444,1000,210.599866
10252.974716,1000,234.033855
11886.472271,1000,257.483716
12981.092508,1000,280.882246
12288.024957,1000,304.138144
12784.257217,1000,327.528794
13977.480919,1000,350.903329
13955.74831,1000,374.385388
14454.078275,1000,397.745831
15251.773016,1000,421.010882
14378.049426,1000,444.184747
14727.517939,1000,467.463158
14949.818395,1000,490.862804
14881.919306,1000,514.296943
14751.595973,1000,537.480338
15107.900687,1000,560.789116
14647.399177,1000,584.076826
14792.706764,1000,607.352112
13800.433541,1000,630.984087
15211.346911,1000,654.181699
15163.484419,1000,677.391685
15242.580235,1000,700.62879
15356.383502,1000,723.80677
15321.287591,1000,746.962154
15381.415557,1000,769.922938
15509.662345,1000,793.093369
15515.085289,1000,816.225399
15573.752319,1000,839.333059
15521.113484,1000,862.444448
15598.967378,1000,885.544006
15670.801863,1000,908.438305
15331.601064,1000,931.492981
15545.044125,1000,954.561873
15263.437669,1000,977.801887
15071.732378,1000,1000.927115
15438.577031,1000,1023.946529
15586.347363,1000,1046.937936
15548.131088,1000,1069.753112
15793.434571,1000,1092.740032
15506.030927,1000,1115.710593
15769.617096,1000,1138.621757
15585.231454,1000,1161.583818
15249.780918,1000,1184.493984
15584.253159,1000,1207.248922
15514.012141,1000,1230.172166
15698.85722,1000,1253.150064
15673.376629,1000,1276.489769
15616.021028,1000,1299.437971
15573.113797,1000,1322.318597
15249.907795,1000,1345.17383
15606.25924,1000,1367.878966
15290.618048,1000,1390.714355
15086.255056,1000,1413.536834
15367.24102,1000,1436.437046
15370.82014,1000,1459.268969
15423.789157,1000,1482.133163
15395.276338,1000,1504.796016
15309.122077,1000,1527.606174
15247.467719,1000,1550.033751
15534.00382,1000,1572.262097
15508.121744,1000,1594.517391
15585.836697,1000,1616.74915
15551.707306,1000,1638.97084
15408.027455,1000,1661.041177
15346.19292,1000,1683.307565
15656.002584,1000,1705.546784
15382.51264,1000,1727.739751
15356.998781,1000,1749.986641
15334.836129,1000,1772.159216
15731.697826,1000,1794.398432
15493.444205,1000,1816.428911
15644.27235,1000,1838.599569
15502.423343,1000,1860.787076
15521.048146,1000,1882.933322
15506.912106,1000,1905.056316
15478.06435,1000,1927.184377
15623.63649,1000,1949.105103
15740.909011,1000,1971.255646
15728.634334,1000,1993.431828
15496.236377,1000,2015.510436
15392.750791,1000,2037.615407
15501.607523,1000,2059.788734
15592.248269,1000,2081.891174
15579.727826,1000,2103.82248
15661.47256,1000,2125.920692
15505.0023,1000,2148.017976
15632.514336,1000,2170.16035
15468.477263,1000,2192.130361
15401.688257,1000,2214.1597
15439.867325,1000,2236.068386
15384.55835,1000,2258.110245
15660.993612,1000,2280.215851
15676.852624,1000,2302.254261
15502.230151,1000,2324.283057
15629.085721,1000,2346.33136
15491.912951,1000,2368.168454
15439.069582,1000,2390.133976
15497.307944,1000,2412.165049
15408.267258,1000,2434.16614
15467.861171,1000,2456.194822
15699.357429,1000,2478.165418
15589.583765,1000,2500.136403
15584.910868,1000,2522.119771
15352.357658,1000,2543.913198
15625.188747,1000,2565.930019
15152.372334,1000,2588.014602
15273.958017,1000,2610.084327
15399.964845,1000,2632.079408
15258.25041,1000,2654.118383
15239.754425,1000,2675.964703
15450.969554,1000,2697.904849
15306.715587,1000,2719.89713
15793.954229,1000,2741.950675
15282.124968,1000,2764.075761
15536.545681,1000,2786.103309
15665.384878,1000,2808.116885
11373.602636,1000,2829.987514
15496.903667,1000,2852.10108
15356.938955,1000,2874.096046
15585.930586,1000,2896.185863
15420.639973,1000,2918.266052
15487.50297,1000,2940.335203
15545.441611,1000,2962.169729
15903.675007,1000,2984.220596
15723.831074,1000,3006.24012
15625.404056,1000,3028.25981
15809.537235,1000,3050.299247
15788.112499,1000,3072.31256
15615.185175,1000,3094.09986
15516.837651,1000,3116.073025
15635.364215,1000,3138.08904
15648.935096,1000,3160.069198
15554.697184,1000,3182.064521
15729.872575,1000,3204.071187
15594.28993,1000,3226.107158
