fps,nupdates,value_loss,explained_variance,policy_entropy,policy_loss,total_timesteps,ep_reward_mean,ep_len_mean
203,1,533.834228515625,0.015109777450561523,9.932570457458496,-0.0497397854924202,0,,
287,100,214.88763427734375,0.027313947677612305,9.725069046020508,-0.33224889636039734,13959,581.5354315714286,1000.0
286,200,293.9268798828125,0.14018195867538452,9.750351905822754,0.01848836988210678,28059,592.8540382500001,1000.0
286,300,456.86663818359375,-0.004886031150817871,9.75360107421875,0.06895803660154343,42159,670.930905952381,1000.0
286,400,823.4949951171875,0.03171724081039429,9.782902717590332,-0.28171148896217346,56259,773.6259234999999,1000.0
287,500,1163.4654541015625,0.030284106731414795,9.793472290039062,-0.12196166068315506,70359,888.5933203999999,1000.0
287,600,1221.6884765625,0.13431960344314575,9.809407234191895,-0.1632576733827591,84459,956.2009658690479,1000.0
288,700,1388.583740234375,0.05002719163894653,9.812013626098633,-0.36754587292671204,98559,1047.1761428571426,1000.0
289,800,1481.27734375,0.08073800802230835,9.821782112121582,-0.05302004888653755,112659,1241.98774217,1000.0
289,900,1740.22607421875,0.11674535274505615,9.828317642211914,-0.06785942614078522,126759,1418.85091176,1000.0
289,1000,1576.435791015625,0.056895911693573,9.842085838317871,-0.15084229409694672,140859,1675.1890002100001,1000.0
289,1100,2736.87158203125,0.01968151330947876,9.848649024963379,-0.3356782793998718,154959,1903.4682466099996,1000.0
290,1200,2067.882080078125,0.08348715305328369,9.859879493713379,-0.13046349585056305,169059,2107.8623826400003,1000.0
291,1300,3664.28173828125,0.005613088607788086,9.868606567382812,-0.1950111985206604,183159,2388.21275056,1000.0
291,1400,2271.070556640625,0.09146898984909058,9.874836921691895,0.254684180021286,197259,2606.76055415,1000.0
291,1500,3265.063720703125,0.04884058237075806,9.879277229309082,0.18004676699638367,211359,2772.623944459999,1000.0
292,1600,3417.1591796875,0.012810289859771729,9.885157585144043,-0.30353742837905884,225459,2939.008928999999,1000.0
292,1700,3694.355224609375,0.012313663959503174,9.892054557800293,-0.05428905040025711,239559,3013.9209315599996,1000.0
292,1800,3765.382080078125,0.0020778775215148926,9.902283668518066,-0.01061980426311493,253659,3202.69280705,1000.0
293,1900,2581.7509765625,0.0017276406288146973,9.909440994262695,-0.052108753472566605,267759,3404.1548382599995,1000.0
293,2000,2948.96923828125,0.26694637537002563,9.91368293762207,-0.022674739360809326,281859,3518.41325597,1000.0
294,2100,3707.52294921875,0.0010952353477478027,9.920198440551758,-0.2617380917072296,295959,3615.1134690100002,1000.0
294,2200,2323.397705078125,0.14377611875534058,9.922811508178711,-0.17632755637168884,310059,3862.4230803899995,1000.0
295,2300,3251.813720703125,0.14854681491851807,9.925446510314941,0.003620423376560211,324159,4018.7116786200004,1000.0
295,2400,3631.617919921875,0.02668851613998413,9.931534767150879,-0.11961476504802704,338259,4244.14111661,1000.0
295,2500,4332.560546875,0.005451083183288574,9.936128616333008,-0.06849068403244019,352359,4340.005877,1000.0
296,2600,4334.3115234375,0.014143109321594238,9.942595481872559,-0.19292950630187988,366459,4471.55228391,1000.0
296,2700,4182.99658203125,0.09294474124908447,9.950486183166504,-0.10325083881616592,380559,4578.690572559999,1000.0
297,2800,5204.56103515625,0.012557804584503174,9.96192741394043,-0.0863606333732605,394659,4705.5218128999995,1000.0
297,2900,6243.50390625,0.007532179355621338,9.970632553100586,-0.16701000928878784,408759,4693.94759642,1000.0
297,3000,5051.15673828125,0.10773885250091553,9.974883079528809,-0.07757209986448288,422859,4810.6185098900005,1000.0
297,3100,4744.6552734375,0.004731953144073486,9.978055953979492,-0.0640760287642479,436959,4879.35856915,1000.0
298,3200,4379.0390625,0.0013467669486999512,9.983372688293457,-0.07545225322246552,451059,5102.184061190001,1000.0
298,3300,3453.462890625,-0.0002703666687011719,9.990171432495117,-0.1896807849407196,465159,5161.694322620001,1000.0
298,3400,5970.580078125,0.032209813594818115,9.992213249206543,0.03364420682191849,479259,5269.878702360001,1000.0
