#{"env_id": null, "t_start": 1582575710.57041}
r,l,t
3.020432,1000,41.83463
8.084177,1000,72.584015
13.625152,1000,102.819114
13.765853,1000,131.433468
17.1484,1000,159.477596
18.397137,1000,187.57643
17.564859,1000,215.858642
21.652617,1000,244.036036
22.091539,1000,272.284642
23.854211,1000,300.573739
29.148306,1000,328.93241
40.005001,1000,356.41869
38.420525,1000,383.728036
122.904953,1000,411.032847
167.233467,1000,438.056008
293.298515,1000,465.573381
258.969503,1000,494.5755
277.155743,1000,523.481558
330.952962,1000,549.68855
102.582268,1000,575.727142
210.53943,1000,602.157666
277.713788,1000,628.433951
439.400032,1000,655.563916
613.847037,1000,681.630434
496.848392,1000,709.258361
45.161003,1000,736.793505
814.367886,1000,763.164263
813.447041,1000,789.401278
549.076211,1000,817.374801
667.83836,1000,846.727651
938.686505,1000,874.31022
867.787759,1000,901.955885
602.081037,1000,930.813129
877.560042,1000,956.481155
115.827843,1000,985.628828
344.897974,1000,1019.03914
783.172824,1000,1045.246655
1422.99414,1000,1070.065314
1320.089202,1000,1095.385782
1649.62585,1000,1122.520965
411.99681,1000,1149.910082
1509.373038,1000,1176.22119
1378.21228,1000,1201.733917
1030.139003,1000,1227.342288
1379.600526,1000,1253.312157
1598.252099,1000,1278.85152
1236.833266,1000,1304.569593
2260.133496,1000,1333.402363
2613.017154,1000,1358.575572
1946.048252,1000,1384.285047
1822.478778,1000,1410.226307
1548.965502,1000,1435.804734
2741.560136,1000,1462.308453
2366.55771,1000,1487.952079
1895.540798,1000,1513.826477
1783.966152,1000,1539.224503
2180.016031,1000,1564.500395
1835.286891,1000,1590.494505
2438.993131,1000,1616.416035
1954.63722,1000,1641.649162
2921.270923,1000,1667.648196
2405.588823,1000,1693.338459
2281.413865,1000,1718.715853
2316.769686,1000,1743.981611
2641.207278,1000,1769.354126
3014.189278,1000,1794.478623
2878.87955,1000,1819.582722
2361.336709,1000,1844.708328
3336.900877,1000,1869.378436
3138.395167,1000,1894.804402
3105.074145,1000,1920.226063
2981.955083,1000,1945.762573
2896.582886,1000,1971.02184
3445.527026,1000,1996.105381
2640.076834,1000,2021.529443
2696.776742,1000,2049.088081
3188.505405,1000,2074.189901
2651.521547,1000,2101.675174
3570.130975,1000,2126.036006
3282.413831,1000,2150.826836
3744.560942,1000,2177.686907
2678.512972,1000,2203.056688
3464.808734,1000,2229.094006
3209.852756,1000,2254.048486
4083.128597,1000,2278.866292
3196.781082,1000,2303.474988
3898.097271,1000,2328.410669
3128.215289,1000,2353.334671
2885.186635,1000,2377.944685
3119.68187,1000,2402.753695
