#{"t_start": 1582584783.2165232, "env_id": null}
r,l,t
3.176109,1000,40.990366
7.602675,1000,70.296514
3.588975,1000,100.198933
14.472387,1000,128.573047
29.283908,1000,159.030787
39.8556,1000,189.26897
62.658565,1000,219.75466
116.994183,1000,252.038944
108.243263,1000,283.685546
219.701034,1000,314.888938
341.991365,1000,345.716349
521.589952,1000,375.65422
598.800046,1000,406.07274
732.192088,1000,436.354953
949.575446,1000,466.971715
886.593127,1000,498.068822
925.32559,1000,528.614361
1043.457115,1000,559.673047
1114.271602,1000,590.634486
1107.987267,1000,621.208332
1315.805521,1000,651.778652
1334.816551,1000,682.601738
1588.918707,1000,713.237242
1520.030152,1000,743.703059
1533.089797,1000,774.195333
1547.662375,1000,804.780108
1202.636346,1000,835.340069
1600.05893,1000,865.355885
1722.616418,1000,896.381868
1695.586806,1000,927.19538
1577.831112,1000,958.297094
1720.356967,1000,988.432242
1572.562044,1000,1018.614748
1799.177207,1000,1048.943214
1725.209815,1000,1079.53994
1828.381233,1000,1110.041537
1771.943672,1000,1140.78992
1693.124489,1000,1171.406309
1698.752041,1000,1201.989897
1793.983767,1000,1232.399815
1790.331428,1000,1262.577137
1801.078175,1000,1293.126956
1842.602151,1000,1323.567042
1880.27797,1000,1354.084263
1784.274736,1000,1384.755902
1847.292098,1000,1415.06453
1715.914431,1000,1445.412645
1836.211686,1000,1475.604703
1784.139111,1000,1506.098678
1877.827327,1000,1536.457241
1771.861506,1000,1567.30385
1914.567201,1000,1597.471004
1900.545752,1000,1627.536884
1936.136104,1000,1657.882948
1900.339057,1000,1688.053113
1842.308157,1000,1718.151643
1238.96814,1000,1747.866379
1847.881516,1000,1777.692287
1960.306527,1000,1808.061534
1856.408072,1000,1837.655742
1910.441778,1000,1867.749862
1885.10756,1000,1897.158121
1919.151994,1000,1927.232458
1905.629534,1000,1957.538196
1995.127853,1000,1987.711213
1967.91405,1000,2017.601062
1946.640845,1000,2047.801974
1934.335827,1000,2078.08419
1997.393701,1000,2108.52698
1989.698114,1000,2138.545713
2132.413444,1000,2168.63492
2348.920984,1000,2199.27648
2696.251347,1000,2229.594919
2679.016048,1000,2260.23915
2228.044711,1000,2290.832576
2351.978857,1000,2321.589913
2445.195035,1000,2352.289256
2398.07633,1000,2382.637665
2684.503312,1000,2413.084957
3036.500712,1000,2443.462434
3055.96904,1000,2473.61493
2506.079735,1000,2504.252771
3085.275367,1000,2534.966578
3168.734,1000,2565.831962
2677.881957,1000,2596.540056
2941.951938,1000,2627.064952
2944.107442,1000,2657.8744
3514.793792,1000,2688.941931
3649.084902,1000,2719.551091
3580.553012,1000,2750.768241
3651.651826,1000,2781.854599
3266.630107,1000,2812.468792
3368.692062,1000,2843.081555
3851.816467,1000,2873.414108
4143.393182,1000,2904.184306
3806.853132,1000,2934.658445
4231.418229,1000,2965.734893
3391.804391,1000,2996.863991
3793.768657,1000,3028.039365
3657.776745,1000,3058.877214
3319.176073,1000,3089.768378
3847.306865,1000,3120.480086
4211.54174,1000,3150.748528
3579.496052,1000,3181.718308
4230.387129,1000,3212.356281
3656.226342,1000,3242.768714
4090.754047,1000,3273.29221
4647.310176,1000,3304.370188
3797.674444,1000,3334.79783
4122.883222,1000,3365.734521
4260.558959,1000,3396.041529
4100.79135,1000,3426.2956
5143.888397,1000,3457.085647
4893.592697,1000,3487.51019
4993.660084,1000,3518.096351
4618.390284,1000,3548.584729
4259.778633,1000,3578.41006
4791.58091,1000,3608.267637
4920.139982,1000,3637.600832
5708.484275,1000,3667.676594
5036.277648,1000,3697.627532
4828.187013,1000,3727.787008
5542.450197,1000,3758.558671
5281.202321,1000,3788.519799
5094.08577,1000,3818.754156
4780.344912,1000,3848.926723
5010.84308,1000,3878.544569
5872.883469,1000,3907.693081
5344.444827,1000,3937.450742
4896.631618,1000,3967.196576
4216.623571,1000,3996.934598
5553.355053,1000,4027.139858
6037.103057,1000,4056.195124
5500.647971,1000,4085.982958
5845.123048,1000,4116.119533
4562.689022,1000,4146.206619
5316.96296,1000,4175.539288
4122.890835,1000,4205.200347
4985.458719,1000,4235.153725
5426.779848,1000,4264.884386
3182.868976,1000,4294.177436
5146.061515,1000,4323.683943
5769.7257,1000,4352.722877
5543.815624,1000,4382.281102
5704.389008,1000,4412.029037
5943.388951,1000,4441.62703
6355.706935,1000,4471.405658
5450.19089,1000,4501.130793
5778.659267,1000,4530.435036
5417.456393,1000,4560.636194
6169.835981,1000,4590.77042
5304.992153,1000,4620.48924
5137.175718,1000,4650.868104
6007.000401,1000,4681.062898
6214.39487,1000,4710.860021
5478.8545,1000,4740.525106
5915.387459,1000,4771.322807
4820.14271,1000,4801.087019
5881.830633,1000,4831.633595
5125.308969,1000,4861.81308
5367.742132,1000,4891.701757
5386.536009,1000,4922.443601
6092.602793,1000,4951.698551
5487.332444,1000,4981.438338
5948.796747,1000,5011.071928
6400.8425,1000,5040.924404
5403.611862,1000,5070.271758
5352.726339,1000,5099.266581
4904.216608,1000,5128.324921
5404.356758,1000,5157.810732
5806.297982,1000,5187.050361
6000.651284,1000,5216.209428
6123.577464,1000,5245.607765
6266.344523,1000,5274.449687
6099.201982,1000,5303.769541
6054.304081,1000,5333.082236
6241.853114,1000,5362.308298
5963.824138,1000,5391.706563
6404.359533,1000,5420.231102
6235.871469,1000,5448.610568
6454.199113,1000,5478.21464
6509.94612,1000,5507.220232
6507.513903,1000,5536.585616
6347.294517,1000,5565.875669
6479.995311,1000,5594.805575
6080.461861,1000,5623.984442
6590.345866,1000,5652.894435
6524.157822,1000,5681.203239
4378.559983,1000,5709.727577
6383.626009,1000,5738.703995
6246.478917,1000,5767.371472
6032.228399,1000,5795.981483
6592.726215,1000,5825.512949
6523.291852,1000,5854.768421
6606.876159,1000,5884.064825
6573.619219,1000,5913.116742
6456.025199,1000,5942.413497
5612.728115,1000,5971.152028
6537.075341,1000,6000.545771
6603.717039,1000,6030.180838
6521.032751,1000,6059.764781
6638.817179,1000,6089.122156
6736.241911,1000,6119.475037
6629.534047,1000,6149.092329
6553.452663,1000,6178.986603
6606.629094,1000,6208.13833
6544.423389,1000,6237.684897
6451.311709,1000,6267.765263
6180.968018,1000,6297.645589
6704.452962,1000,6327.354736
6651.036622,1000,6356.694405
6697.151917,1000,6386.200827
6603.325037,1000,6416.086483
6530.322212,1000,6445.69682
6709.47175,1000,6475.491216
6696.492787,1000,6504.760756
6533.093011,1000,6534.039991
6693.586518,1000,6564.332659
6462.04527,1000,6593.753778
6709.542275,1000,6623.387593
6454.042145,1000,6653.364456
6731.045033,1000,6682.972126
6776.254758,1000,6713.333855
6713.971158,1000,6742.750821
6497.687542,1000,6773.399427
6755.908843,1000,6802.297168
6750.450793,1000,6831.37677
6678.878942,1000,6860.021274
6359.716098,1000,6887.377964
6710.14855,1000,6915.540042
6598.591796,1000,6942.611584
6910.245746,1000,6969.900195
6582.975634,1000,6997.320863
5868.537938,1000,7024.732085
6681.814708,1000,7052.046646
6700.195876,1000,7079.528907
6703.161451,1000,7108.504689
6590.965589,1000,7135.694372
6767.282069,1000,7163.997182
6597.28838,1000,7191.636793
6515.624622,1000,7219.546449
6579.669013,1000,7246.752602
6768.593765,1000,7274.221463
6897.155473,1000,7301.929477
6691.583731,1000,7329.948667
6578.842532,1000,7358.427229
6837.215111,1000,7385.904054
6435.159152,1000,7413.201579
6868.482251,1000,7440.463391
6002.699725,1000,7469.300251
6209.940276,1000,7498.151198
6800.890799,1000,7526.248283
6856.73019,1000,7553.60083
6848.992647,1000,7581.266221
6458.341045,1000,7609.169273
6847.488847,1000,7637.784861
6676.162792,1000,7664.998884
6647.650708,1000,7694.42656
5535.636262,1000,7723.158032
7188.202637,1000,7751.284827
7354.424163,1000,7778.483929
6457.972795,1000,7805.860169
6784.275707,1000,7832.210334
6992.859846,1000,7858.328412
6884.271072,1000,7886.010031
6631.866065,1000,7913.460227
6815.14162,1000,7940.117179
7116.244191,1000,7967.398044
6915.143834,1000,7994.984661
7410.287706,1000,8022.634857
6870.049433,1000,8050.118345
6942.413507,1000,8076.825406
6864.270968,1000,8104.427963
6935.249524,1000,8131.078696
7308.615882,1000,8157.924445
6936.524518,1000,8185.819347
6758.019492,1000,8213.472026
6895.961862,1000,8240.250673
6925.645003,1000,8267.257631
6952.408711,1000,8294.41623
6730.289343,1000,8321.577122
6607.122832,1000,8348.242373
6990.530761,1000,8376.307239
6851.263054,1000,8403.810881
6936.748164,1000,8430.801367
