total_timesteps,explained_variance,fps,value_loss,nupdates,policy_loss,policy_entropy,ep_len_mean,ep_reward_mean
0,0.27102386951446533,108,0.37116387486457825,1,-0.15639916062355042,9.932570457458496,,
13959,-0.018282413482666016,219,0.009027084335684776,100,-0.22755540907382965,10.705836296081543,1000.0,4.421287357142857
28059,-0.12005555629730225,231,0.7112943530082703,200,-0.2209061086177826,10.704744338989258,1000.0,9.447984642857142
42159,0.048952341079711914,236,1.6573524475097656,300,-0.015741616487503052,10.714045524597168,1000.0,12.694969238095236
56259,0.12465238571166992,239,2.5472986698150635,400,-0.08353926241397858,10.728116989135742,1000.0,15.865685964285714
70359,0.13680583238601685,242,35.87139892578125,500,-0.46521812677383423,10.747538566589355,1000.0,30.03367522857143
84459,0.020470917224884033,244,130.0621337890625,600,-0.25043585896492004,10.795882225036621,1000.0,59.58566191666666
98559,-2.4645910263061523,244,135.67005920410156,700,-0.1154237687587738,10.835006713867188,1000.0,89.36361566326529
112659,-11.142748832702637,242,145.3958282470703,800,0.02997039258480072,10.862818717956543,1000.0,118.56665855999998
126759,-6.711853504180908,241,104.60980987548828,900,-0.3462778627872467,10.904662132263184,1000.0,149.17188535000003
140859,-6.303544044494629,240,229.82925415039062,1000,0.03202667087316513,10.918671607971191,1000.0,193.19875694999996
154959,-0.8203339576721191,238,156.17868041992188,1100,-0.23918890953063965,10.925553321838379,1000.0,236.49400130999996
169059,-52.51994705200195,236,128.44427490234375,1200,-0.013314858078956604,10.936842918395996,1000.0,259.90585278000003
183159,-40.55503463745117,234,97.02389526367188,1300,-0.16326139867305756,10.974884986877441,1000.0,275.05400512999995
197259,-16.325403213500977,231,321.5174255371094,1400,-0.23240244388580322,11.002781867980957,1000.0,280.08446641
211359,-36.81644058227539,229,97.66719818115234,1500,-0.34428757429122925,11.02411937713623,1000.0,291.06226434
225459,-0.46100473403930664,227,269.98931884765625,1600,-0.02272777259349823,11.044113159179688,1000.0,310.56196643
239559,-15.496366500854492,224,265.0160217285156,1700,-0.18767401576042175,11.079997062683105,1000.0,308.20962358
253659,-16.770797729492188,222,263.7210693359375,1800,-0.20065675675868988,11.099003791809082,1000.0,310.29989692999993
267759,-17.245868682861328,220,236.7394561767578,1900,-0.04410235583782196,11.138228416442871,1000.0,333.94654421
281859,-9.398134231567383,219,236.1632843017578,2000,-0.4620584547519684,11.150303840637207,1000.0,325.75581362
295959,-69.59746551513672,218,272.9673767089844,2100,-0.025548510253429413,11.156733512878418,1000.0,337.4118605
310059,-34.17899703979492,217,141.343505859375,2200,-0.041417255997657776,11.186442375183105,1000.0,333.97010216999996
324159,-146.26229858398438,217,339.7898254394531,2300,-0.2838815152645111,11.216203689575195,1000.0,326.39419125
338259,-54.92500686645508,216,246.30067443847656,2400,-0.2834187150001526,11.235029220581055,1000.0,330.32326837000005
352359,-81.45307922363281,216,328.0281066894531,2500,-0.11167297512292862,11.259684562683105,1000.0,325.48398165
366459,-10.384282112121582,215,288.25537109375,2600,-0.007339559495449066,11.286406517028809,1000.0,323.08880186000005
380559,0.331805944442749,214,249.31600952148438,2700,-0.09652809798717499,11.315934181213379,1000.0,339.0782206100001
394659,-19.466514587402344,213,270.41558837890625,2800,0.008582286536693573,11.342971801757812,1000.0,357.90425046
408759,-3.589465618133545,213,348.0579833984375,2900,-0.22474008798599243,11.37501049041748,1000.0,377.13910386000003
422859,-21.513282775878906,212,451.4466247558594,3000,-0.07442187517881393,11.406524658203125,1000.0,392.8720388800001
436959,-35.6042366027832,212,192.05027770996094,3100,-0.017298385500907898,11.433537483215332,1000.0,416.5989899700001
451059,-17.265995025634766,212,433.7975158691406,3200,0.029916241765022278,11.465485572814941,1000.0,432.6685656
465159,-44.035850524902344,212,547.7984008789062,3300,-0.1795487254858017,11.485560417175293,1000.0,450.35776745
479259,-187.28176879882812,212,776.4077758789062,3400,-0.2538493871688843,11.511555671691895,1000.0,460.23601656
493359,-0.004830479621887207,211,345.7527770996094,3500,-0.18013596534729004,11.52586555480957,1000.0,479.00870638999993
507459,0.47611773014068604,211,272.12042236328125,3600,0.0837995633482933,11.528010368347168,1000.0,484.56227964
521559,-20.27553367614746,210,281.427978515625,3700,-0.09723059833049774,11.565705299377441,1000.0,485.7295716499999
535659,-26.42214012145996,210,237.0392608642578,3800,0.03260033577680588,11.605759620666504,1000.0,474.10175727
549759,-19.810029983520508,210,274.85107421875,3900,-0.23175817728042603,11.619257926940918,1000.0,486.16611675000007
563859,-13.547805786132812,209,270.92742919921875,4000,-0.037032246589660645,11.641081809997559,1000.0,478.8880566
577959,-92.92753601074219,209,503.75128173828125,4100,-0.11064984649419785,11.648039817810059,1000.0,500.82817798
592059,-56.951847076416016,209,486.5640563964844,4200,-0.2788924276828766,11.652115821838379,1000.0,491.48558598999995
606159,0.23648756742477417,209,532.0787353515625,4300,-0.18533924221992493,11.658217430114746,1000.0,488.47649028
620259,0.4410375952720642,209,570.982177734375,4400,-0.024238221347332,11.67269515991211,1000.0,506.56506052000003
634359,-113.91130065917969,209,458.98492431640625,4500,-0.023483887314796448,11.674134254455566,1000.0,512.8120281600001
648459,-2.2724335193634033,208,584.035400390625,4600,0.10041438788175583,11.684590339660645,1000.0,505.839475
662559,-71.10157775878906,208,528.947265625,4700,-0.017864391207695007,11.696089744567871,1000.0,528.51071123
676659,-25.74313735961914,208,231.64532470703125,4800,-0.39779627323150635,11.710878372192383,1000.0,518.16477356
690759,-7.78526496887207,208,468.6990051269531,4900,-0.08395431190729141,11.713930130004883,1000.0,521.1662202800001
704859,-22.3681640625,208,229.16766357421875,5000,-0.21280165016651154,11.715062141418457,1000.0,531.03425843
718959,-2.27101469039917,208,287.41815185546875,5100,-0.21913176774978638,11.732356071472168,1000.0,548.73753367
733059,-19.91087532043457,207,568.4523315429688,5200,0.07695388793945312,11.756925582885742,1000.0,548.8383512099999
