#{"env_id": null, "t_start": 1582686833.525612}
r,l,t
776.010079,1000,31.006907
973.790237,1000,54.614437
3596.45186,1000,78.004761
2279.674345,1000,102.602124
2129.102612,1000,126.770413
49.72715,1000,153.363552
8228.071535,1000,178.242705
11838.921966,1000,202.599608
14376.69696,1000,227.607479
15008.844048,1000,252.104576
15089.312219,1000,276.970124
17171.626948,1000,301.976522
39421.88147,1000,326.777376
19441.924665,1000,351.959516
68962.991872,1000,377.15113
18166.559164,1000,401.512774
18656.435688,1000,426.555142
17184.518109,1000,451.464729
15833.762905,1000,476.100048
19892.510392,1000,501.227685
18965.646795,1000,526.847947
19836.134262,1000,552.172227
19266.706007,1000,577.60929
88455.985817,1000,602.785573
114017.644127,1000,628.331516
113436.018924,1000,653.886627
100898.345291,1000,679.329435
115289.796296,1000,704.859545
116355.604158,1000,730.415313
19558.641168,1000,755.358546
94908.846909,1000,781.226104
104610.073819,1000,807.693386
113976.094849,1000,833.926253
88825.600587,1000,860.48943
27075.233164,1000,886.587041
115427.626751,1000,912.910769
115361.879229,1000,939.608593
102753.742767,1000,966.018637
108992.146089,1000,992.44743
97185.116671,1000,1018.963081
110745.375439,1000,1045.384124
99045.278739,1000,1071.822463
109014.696479,1000,1098.24658
112803.564831,1000,1124.565388
113549.717449,1000,1151.358896
113904.673535,1000,1177.956689
112658.200155,1000,1204.543309
114849.767952,1000,1231.859591
116829.602406,1000,1259.203331
110259.346297,1000,1286.745188
114355.262797,1000,1314.132771
116895.864717,1000,1341.964455
117821.920494,1000,1370.194965
114601.886272,1000,1398.289712
112893.25809,1000,1425.915502
116409.835683,1000,1454.409733
115233.82826,1000,1483.322794
113450.237604,1000,1512.627638
115073.435361,1000,1541.124954
116075.290354,1000,1569.534066
115664.891905,1000,1598.377738
117640.421591,1000,1626.957455
102917.453051,1000,1655.531645
117145.269776,1000,1684.512094
94795.020581,1000,1713.152773
118068.630863,1000,1742.335299
117309.831409,1000,1770.686381
56992.533528,1000,1798.997958
108130.692653,1000,1827.83036
115063.087846,1000,1856.940498
115131.448234,1000,1885.104
118021.91066,1000,1914.220156
119294.268034,1000,1943.09064
119425.505293,1000,1972.221809
115112.339209,1000,2001.351095
118876.275125,1000,2030.171097
117135.1516,1000,2059.134038
120219.581127,1000,2087.843599
117615.48406,1000,2116.511871
117205.775892,1000,2145.370097
119402.076895,1000,2174.187169
112302.081392,1000,2203.014804
117272.67177,1000,2231.932407
117601.841296,1000,2260.801539
117337.570009,1000,2289.8127
119705.274481,1000,2318.229894
119208.941888,1000,2347.365494
120837.228504,1000,2376.234086
120201.134969,1000,2405.026686
119396.514185,1000,2433.398732
119440.293399,1000,2461.395989
119832.774385,1000,2490.13556
118620.025688,1000,2519.177903
118982.794648,1000,2548.170801
113230.44549,1000,2576.500842
118553.636851,1000,2605.20225
119143.643766,1000,2634.197433
121199.5889,1000,2663.231794
120408.571505,1000,2691.780582
118698.751111,1000,2719.465767
120466.904266,1000,2747.960801
117819.039879,1000,2775.99802
114899.723133,1000,2803.70716
119123.808672,1000,2831.390061
119667.966465,1000,2858.726752
119889.608567,1000,2886.004918
83666.729248,1000,2913.636365
113360.71966,1000,2940.648402
117247.834266,1000,2968.618263
118422.84764,1000,2996.05949
114343.739609,1000,3023.277031
116704.748333,1000,3050.457597
117516.315478,1000,3077.211683
114339.400053,1000,3104.656156
115617.146026,1000,3131.206725
117951.822515,1000,3157.777461
118041.421988,1000,3184.731674
116696.387772,1000,3212.306862
117352.133262,1000,3239.539987
110768.920825,1000,3266.440288
117781.187138,1000,3293.405957
118067.395697,1000,3320.825036
117619.294494,1000,3348.206295
117155.21311,1000,3375.939668
116032.728277,1000,3402.868631
115835.579236,1000,3429.221667
116073.031694,1000,3455.963634
116560.336932,1000,3482.710174
117787.063075,1000,3510.125392
115277.142414,1000,3536.623984
118976.916587,1000,3563.206531
116906.087943,1000,3590.260725
116357.77575,1000,3616.764935
118943.761012,1000,3643.904914
113506.43378,1000,3670.690645
118511.499476,1000,3697.22927
117343.868689,1000,3724.06525
118226.039774,1000,3751.049461
118570.321219,1000,3777.869731
59914.462186,1000,3804.414875
118621.538302,1000,3831.158579
119519.809877,1000,3858.020968
