#{"t_start": 1582730658.8872838, "env_id": "my_panda_free_space_traj"}
r,l,t
163.903349,1000,45.826441
271.018343,1000,70.789137
516.705751,1000,95.459534
431.503355,1000,119.967466
146.723197,1000,144.685869
459.183728,1000,169.310767
209.025375,1000,194.069659
83.147308,1000,218.185035
85.003696,1000,242.359078
705.476566,1000,266.258587
1036.310175,1000,335.210381
540.06179,1000,382.901337
1842.278355,1000,486.782682
869.948886,1000,542.782705
942.656629,1000,569.243204
1729.633082,1000,593.025167
3774.706892,1000,616.524462
4279.334627,1000,639.694001
5842.54192,1000,663.010906
6530.304795,1000,686.336213
9252.08647,1000,710.777865
10219.326434,1000,733.887128
11473.222889,1000,756.838024
13694.680167,1000,779.711631
14059.167664,1000,802.676617
14873.276466,1000,825.646271
15069.636179,1000,848.593501
14943.575343,1000,871.587039
15415.337198,1000,895.138705
15099.845998,1000,918.181279
15261.758565,1000,941.014595
15170.310562,1000,963.704993
15452.015949,1000,986.574067
15348.156736,1000,1009.422124
15095.933435,1000,1032.375264
14861.442654,1000,1055.155064
15311.266704,1000,1077.955662
14936.719871,1000,1100.563253
15442.309251,1000,1123.292444
15470.360012,1000,1146.118055
15460.151329,1000,1168.908744
15645.716989,1000,1191.708838
15289.212356,1000,1214.55224
15271.036793,1000,1237.368783
15353.293794,1000,1259.873842
15343.864696,1000,1282.644333
15447.021728,1000,1305.331625
15161.187638,1000,1328.005482
15180.74884,1000,1350.721767
15486.128403,1000,1373.396913
16024.329384,1000,1395.839365
15836.694811,1000,1418.496459
15499.127991,1000,1440.983066
15636.775434,1000,1463.685912
16221.838488,1000,1486.267522
15832.58368,1000,1508.943617
15539.200495,1000,1531.592133
15839.084941,1000,1553.957628
16017.74977,1000,1576.534491
15874.031445,1000,1598.997978
15527.487619,1000,1621.663282
15668.360344,1000,1644.290225
15396.953678,1000,1666.935346
15782.11097,1000,1689.326037
15415.717764,1000,1711.900581
15948.619572,1000,1734.435719
15654.169395,1000,1757.005512
15455.7043,1000,1779.598114
14897.760285,1000,1802.100381
16215.877674,1000,1824.432815
16383.82515,1000,1846.776881
15523.573956,1000,1869.269822
15811.79771,1000,1891.735415
15515.140334,1000,1914.21165
15690.204106,1000,1936.682655
15197.597164,1000,1959.178193
15051.815877,1000,1981.692899
15308.711853,1000,2003.997772
13699.819564,1000,2026.381138
15193.94455,1000,2048.975654
15414.02136,1000,2071.438596
15424.807587,1000,2093.864718
15782.306703,1000,2116.19688
15108.381222,1000,2138.319966
15076.771808,1000,2160.604371
15449.354057,1000,2183.023212
15157.200295,1000,2205.4371
15298.058835,1000,2227.801579
15778.391794,1000,2250.18049
15491.206452,1000,2272.524269
15479.12946,1000,2294.69741
15823.599517,1000,2316.951886
15618.543137,1000,2339.292045
15909.716421,1000,2361.679937
15737.080095,1000,2384.03344
15705.837791,1000,2406.402277
15600.086547,1000,2428.568655
14819.527219,1000,2450.920834
15776.490382,1000,2473.235157
15487.542593,1000,2495.593868
15837.307959,1000,2517.925183
15269.250968,1000,2540.265427
15470.581054,1000,2562.40661
16043.165155,1000,2584.723359
15953.209918,1000,2607.010836
15995.813081,1000,2629.338044
16144.025834,1000,2651.593236
16779.429319,1000,2673.876378
15734.231231,1000,2696.186241
16048.068859,1000,2718.520165
15905.714064,1000,2740.803605
15853.837152,1000,2762.974365
15437.306135,1000,2785.232067
15941.239425,1000,2807.56109
15659.654772,1000,2829.835002
16251.818784,1000,2852.174623
16278.228934,1000,2874.258665
15912.910918,1000,2896.457929
16408.546531,1000,2918.833708
16622.400006,1000,2941.131639
16246.716001,1000,2963.476051
16451.868837,1000,2985.735907
16432.238637,1000,3008.04911
15874.490453,1000,3030.104628
15203.266258,1000,3052.361185
17237.309078,1000,3075.035905
16606.379789,1000,3097.331833
15895.997652,1000,3119.575067
16438.340817,1000,3141.80842
16499.121494,1000,3163.903214
16118.590646,1000,3186.143529
16484.071255,1000,3208.4343
15668.947279,1000,3230.690858
15597.546838,1000,3252.963973
15480.138011,1000,3275.277313
15547.260416,1000,3297.366578
16491.654921,1000,3319.678325
16638.129826,1000,3341.991421
15803.623633,1000,3364.309415
16152.75006,1000,3386.615816
16529.744423,1000,3408.928828
15771.613847,1000,3431.217599
