#{"t_start": 1582563507.0575886, "env_id": null}
r,l,t
736.788832,1000,31.302534
384.636142,1000,56.105315
584.843462,1000,81.251949
190.441577,1000,106.820375
140.170636,1000,131.818087
308.648206,1000,156.83449
357.552559,1000,182.576164
810.189544,1000,208.461457
326.47703,1000,234.658111
524.659358,1000,259.795028
1384.738082,1000,284.455536
864.500748,1000,309.989375
1476.836544,1000,334.651712
2012.434709,1000,359.534345
1890.461553,1000,384.602079
997.42267,1000,410.297111
1946.783731,1000,435.064404
1410.799696,1000,460.199122
2607.880204,1000,484.745844
1532.053577,1000,508.37221
2032.239138,1000,532.720574
1827.650308,1000,557.033575
1477.278135,1000,580.639601
2807.421287,1000,604.106833
2688.678389,1000,627.716285
2048.247689,1000,651.212193
2496.308327,1000,675.360511
2099.407484,1000,699.166023
2885.852891,1000,723.282774
2014.913245,1000,746.84646
2559.451803,1000,771.123233
2677.054857,1000,795.44039
2498.361807,1000,819.523472
3713.939077,1000,843.836311
2618.220803,1000,867.148989
2572.376761,1000,890.745159
2801.387995,1000,914.269455
2627.519161,1000,938.039217
2533.158768,1000,963.117553
2738.229331,1000,987.613247
3408.648814,1000,1012.130715
3850.093399,1000,1036.724672
4335.443274,1000,1061.828229
3395.527474,1000,1085.85319
2892.422214,1000,1109.213861
4095.436032,1000,1132.499218
3835.935283,1000,1156.090491
4747.95927,1000,1179.447654
4495.026058,1000,1203.297964
5054.889466,1000,1227.645228
5465.804855,1000,1251.630646
4720.763591,1000,1276.146239
4132.711896,1000,1300.878974
4742.285839,1000,1324.952722
4251.303227,1000,1349.310717
3981.598882,1000,1373.732465
5663.917553,1000,1398.386309
5723.120877,1000,1423.149059
5634.845301,1000,1447.933647
4650.309103,1000,1472.660604
6305.512642,1000,1496.757528
5586.234629,1000,1521.527417
6676.66344,1000,1546.336181
6219.469532,1000,1570.650413
6437.845561,1000,1595.058785
5693.228408,1000,1619.200568
5820.075741,1000,1643.560945
6132.511897,1000,1668.279253
5632.522527,1000,1692.663274
6123.332611,1000,1716.239084
6568.058738,1000,1739.440428
7810.294686,1000,1763.047663
7043.95444,1000,1786.588623
6020.176841,1000,1810.403327
5852.432214,1000,1833.875234
6175.158833,1000,1856.557073
7553.354734,1000,1879.558053
5302.266158,1000,1902.981117
6397.659301,1000,1926.290285
6305.968758,1000,1949.492038
9200.946716,1000,1972.765811
7669.839553,1000,1996.151665
5720.990008,1000,2019.658076
6095.497269,1000,2042.962465
7053.334542,1000,2066.471316
8179.342171,1000,2089.809783
7734.606197,1000,2113.669972
8970.655441,1000,2137.241266
7535.997913,1000,2161.191961
6681.483115,1000,2184.413973
6658.627906,1000,2208.132837
6886.899249,1000,2232.035671
8498.172032,1000,2256.2989
9547.206528,1000,2280.487251
9241.326826,1000,2304.748263
9143.442237,1000,2328.202786
10317.897453,1000,2351.969821
8891.497801,1000,2375.997712
10759.553259,1000,2399.860304
9964.978688,1000,2423.430002
11130.957139,1000,2448.263022
8647.13535,1000,2473.283407
10588.093791,1000,2497.818628
14270.798188,1000,2523.277972
15842.209079,1000,2548.363617
8714.490811,1000,2572.789957
16994.611154,1000,2597.940814
15499.064245,1000,2623.084718
15779.819332,1000,2648.971598
12224.089701,1000,2674.283145
11804.295189,1000,2700.538235
13732.661671,1000,2725.72799
18901.667262,1000,2751.878976
13430.805676,1000,2777.339604
12836.864853,1000,2802.552815
17006.951478,1000,2828.320004
13587.751008,1000,2854.489826
21494.241543,1000,2880.166701
18231.137589,1000,2906.923412
20213.056524,1000,2933.397854
10570.469019,1000,2959.811318
12633.980769,1000,2985.761861
18850.601723,1000,3011.456437
14620.315538,1000,3037.085951
25976.790885,1000,3064.058919
21591.822046,1000,3090.472697
14674.207683,1000,3117.27161
15302.981433,1000,3143.408123
11719.789594,1000,3169.638785
15390.349627,1000,3196.277698
20728.172405,1000,3220.996374
22519.302751,1000,3247.72601
20468.779013,1000,3274.446665
16395.428584,1000,3299.730809
19337.816696,1000,3325.420786
15924.011723,1000,3351.803883
20774.636897,1000,3378.378262
20685.989221,1000,3405.251486
20846.035474,1000,3431.877383
10929.681146,1000,3457.776728
17986.528778,1000,3484.542216
17728.407696,1000,3511.376013
10012.280564,1000,3537.79991
29540.827072,1000,3564.371359
24687.895417,1000,3590.814275
24726.631326,1000,3618.13045
21832.556344,1000,3644.693227
16746.731258,1000,3672.362297
25247.006685,1000,3698.598877
18731.283077,1000,3724.162663
21570.085956,1000,3750.618426
26079.593416,1000,3778.088503
17350.448157,1000,3804.797675
26455.395107,1000,3831.418036
25143.567163,1000,3858.098189
18926.565032,1000,3883.791888
26072.789926,1000,3911.476152
23744.405324,1000,3938.674411
26913.308521,1000,3965.471751
25989.926389,1000,3992.971223
29082.226188,1000,4019.93869
21585.141481,1000,4047.584533
22168.074329,1000,4074.916429
24516.977345,1000,4102.134418
25810.570142,1000,4128.668796
20817.271063,1000,4156.100506
26428.374337,1000,4183.821379
21345.306801,1000,4210.338347
18639.81936,1000,4237.437697
27637.522073,1000,4264.663652
14853.799882,1000,4290.974619
24838.223622,1000,4317.967642
24721.516035,1000,4345.795781
35405.039186,1000,4373.271736
23887.440981,1000,4400.424697
26080.633887,1000,4427.376553
26433.974899,1000,4454.726646
29008.984048,1000,4481.378927
27940.32624,1000,4508.289155
20316.860551,1000,4535.299623
33852.760119,1000,4562.294563
31274.748523,1000,4589.119711
37586.112397,1000,4616.71701
20535.888186,1000,4644.148541
26050.235826,1000,4672.451392
21270.58775,1000,4698.028236
24076.290211,1000,4725.095117
27246.261074,1000,4753.124714
26082.045105,1000,4781.408687
23710.192378,1000,4809.108015
24911.492059,1000,4837.371577
23402.864366,1000,4865.305473
25700.798058,1000,4892.303953
20589.282199,1000,4920.238307
23512.371715,1000,4948.090105
35178.325341,1000,4975.652396
17375.569007,1000,5003.659601
35471.9111,1000,5030.825948
33275.546858,1000,5058.23308
31372.974951,1000,5086.298369
25860.577587,1000,5114.243047
28552.672905,1000,5141.575866
34176.598905,1000,5169.241944
32387.148759,1000,5197.129276
23695.71519,1000,5224.421138
40373.423951,1000,5252.840683
23142.93987,1000,5281.921775
26340.786311,1000,5309.778312
27826.702955,1000,5337.970797
45138.604026,1000,5366.442979
31949.784498,1000,5394.945435
27266.587705,1000,5423.782456
31545.630226,1000,5452.624558
24458.701254,1000,5480.249357
22544.149134,1000,5507.363137
35008.447958,1000,5534.257264
35214.707629,1000,5562.18216
39371.186351,1000,5590.021309
26495.121705,1000,5617.869019
47150.894783,1000,5645.473065
34014.791776,1000,5672.811628
31249.789489,1000,5699.995111
39282.541708,1000,5727.383775
35483.53426,1000,5755.007003
43728.384116,1000,5782.661962
36221.959689,1000,5810.178208
34853.557145,1000,5836.887819
26833.263108,1000,5864.125466
34238.32811,1000,5891.019296
32527.661679,1000,5918.349331
34075.87637,1000,5945.220421
35915.104596,1000,5972.721514
32261.276366,1000,6000.26493
28481.748837,1000,6027.748847
45747.561732,1000,6055.400718
33674.110577,1000,6083.062752
22600.255202,1000,6110.764804
46349.89128,1000,6138.34365
40703.601813,1000,6166.265867
33493.999132,1000,6193.99736
38980.557218,1000,6220.480605
32039.399162,1000,6247.502597
30106.911613,1000,6275.112847
37596.886586,1000,6303.09104
45631.57529,1000,6331.580483
36548.310014,1000,6359.169661
36289.406696,1000,6386.738204
33418.669002,1000,6415.448101
41744.851542,1000,6443.588903
30233.322135,1000,6470.68478
42082.221929,1000,6498.183462
39975.900146,1000,6526.013154
39156.958429,1000,6553.197954
41102.037016,1000,6580.794011
38455.196045,1000,6608.221438
45501.291075,1000,6635.220106
39685.395878,1000,6663.382669
43280.976147,1000,6690.384579
42078.244756,1000,6718.333161
37261.399355,1000,6746.533577
46686.789142,1000,6773.994889
40092.366004,1000,6801.623736
33330.526704,1000,6829.097356
53126.596509,1000,6856.887029
40921.746204,1000,6884.233494
44286.307527,1000,6911.818714
32540.344453,1000,6939.649139
49464.826386,1000,6968.219056
44933.612361,1000,6996.28959
32547.559307,1000,7024.168501
27083.77268,1000,7051.467774
39585.623734,1000,7079.935287
42978.214014,1000,7108.436243
30585.139229,1000,7136.352736
37757.10366,1000,7163.66835
47912.9146,1000,7191.435152
41104.284114,1000,7218.972535
37623.084305,1000,7246.177468
39058.852585,1000,7274.196678
45448.487351,1000,7301.824602
49026.921233,1000,7329.278085
46832.934701,1000,7357.205842
44379.345341,1000,7385.032448
48342.553313,1000,7413.677726
38489.583899,1000,7441.421554
