#{"env_id": null, "t_start": 1582598082.6185334}
r,l,t
492.424455,1000,33.02312
258.619974,1000,59.24674
386.696269,1000,84.833689
451.132486,1000,110.232017
508.904017,1000,138.053757
498.676647,1000,164.749525
770.243319,1000,191.961989
893.579292,1000,217.844638
1112.141721,1000,243.65034
942.244842,1000,269.232584
1153.458822,1000,294.717432
1707.640337,1000,319.935892
1534.158563,1000,344.749747
1275.156241,1000,369.603762
3200.998358,1000,394.702191
3169.402456,1000,418.69925
1816.984283,1000,442.776614
1772.632555,1000,466.522748
2386.507336,1000,491.727034
2939.942968,1000,516.363777
2979.838305,1000,541.228658
1778.717837,1000,565.892218
2784.899603,1000,590.213123
2050.757086,1000,615.432285
3451.206917,1000,640.267263
6803.016132,1000,665.414071
2678.390546,1000,690.044059
3350.302761,1000,715.08739
4538.330275,1000,739.90215
3621.221331,1000,764.053673
3854.689733,1000,788.635449
4308.995934,1000,813.218803
5854.454925,1000,838.839215
3724.730468,1000,863.478107
5064.917845,1000,888.778739
3706.314056,1000,913.491982
4943.888083,1000,938.273584
4211.768422,1000,963.135826
4839.272876,1000,987.66666
5368.238888,1000,1012.7427
3473.889654,1000,1038.201483
4754.405225,1000,1062.991996
3004.379135,1000,1088.448092
4107.787446,1000,1113.259691
5172.913481,1000,1138.287812
3635.007043,1000,1163.190453
8315.490996,1000,1188.262532
4144.573786,1000,1213.281663
4094.065906,1000,1238.864706
3781.978227,1000,1263.793408
6490.749353,1000,1289.479883
7491.762697,1000,1315.3431
4173.610111,1000,1341.529888
3624.833006,1000,1366.703006
8444.399444,1000,1392.352861
5471.566006,1000,1417.465215
7725.902097,1000,1442.431665
11710.91385,1000,1467.643341
6138.207042,1000,1493.735936
8778.854461,1000,1519.520301
12872.263919,1000,1544.959385
6157.788499,1000,1570.897967
5610.492196,1000,1596.298059
6460.713741,1000,1621.80864
9552.351702,1000,1647.617175
4006.211043,1000,1673.245893
5587.600219,1000,1699.415803
5447.282375,1000,1725.200021
6426.578998,1000,1751.404629
7302.281229,1000,1776.731897
9235.592571,1000,1802.61865
7693.886615,1000,1828.368009
5704.551266,1000,1853.850052
6014.356804,1000,1879.747596
5214.776999,1000,1905.777821
6836.391909,1000,1931.880642
6759.54606,1000,1957.632688
6089.945903,1000,1982.961911
9541.653875,1000,2009.403044
12275.655254,1000,2034.925394
9748.565373,1000,2061.496226
9650.252687,1000,2086.880089
6103.602422,1000,2112.991223
6777.588849,1000,2138.961307
4520.232685,1000,2165.070102
7512.782155,1000,2190.86367
8611.206118,1000,2217.282526
10898.657573,1000,2243.670323
9759.640896,1000,2270.646994
7104.851079,1000,2296.918976
9441.550986,1000,2323.175816
6576.920044,1000,2349.237923
14977.569752,1000,2375.328947
6766.68781,1000,2401.879389
6834.959626,1000,2428.043722
8373.794866,1000,2453.905957
6777.619547,1000,2479.877168
6207.094005,1000,2506.048497
11091.411655,1000,2532.368577
7827.398669,1000,2558.442391
10179.521067,1000,2584.452182
10963.330098,1000,2610.295441
7470.861411,1000,2636.737386
10349.651576,1000,2662.522939
9541.801329,1000,2688.983796
9381.495855,1000,2715.41909
11300.192669,1000,2741.911444
8472.79778,1000,2768.31956
9470.799847,1000,2794.846339
12216.642526,1000,2821.630411
9664.312638,1000,2848.094941
11254.356561,1000,2874.622479
7172.425761,1000,2901.212976
11453.41716,1000,2927.238669
11907.54075,1000,2954.18298
14277.994771,1000,2980.706209
14173.6822,1000,3007.737624
9362.34823,1000,3034.228423
12221.283293,1000,3060.848585
13901.687212,1000,3087.391386
16492.226327,1000,3113.779075
11577.515367,1000,3141.173643
8820.217637,1000,3168.198793
10869.108886,1000,3194.912571
12866.502417,1000,3222.103472
12596.418864,1000,3249.035435
12497.835359,1000,3275.647024
11595.81275,1000,3302.72123
11648.3099,1000,3329.304531
11471.558242,1000,3356.27898
13075.848918,1000,3383.12918
21329.52741,1000,3409.166111
12388.551775,1000,3435.482993
17566.878827,1000,3462.200252
13851.82432,1000,3488.724109
14561.806349,1000,3514.734225
14861.552247,1000,3541.70244
14129.604424,1000,3568.346011
11103.541813,1000,3594.595252
15867.463791,1000,3620.824055
15567.213582,1000,3647.800219
12924.366809,1000,3675.045528
15522.664181,1000,3701.988829
11690.938459,1000,3728.48659
11793.613074,1000,3755.3891
15854.138715,1000,3781.7533
16745.300713,1000,3808.357186
10459.556904,1000,3834.845495
8092.586032,1000,3861.377807
14895.260491,1000,3887.844078
17896.667168,1000,3914.747977
21534.298085,1000,3941.093702
20003.359995,1000,3968.31033
14281.607922,1000,3995.124746
9848.774714,1000,4021.799149
23735.473695,1000,4048.356256
12961.918501,1000,4075.352006
13908.263051,1000,4101.899106
17046.828498,1000,4128.444283
11895.460105,1000,4154.800561
15134.672875,1000,4181.319604
17615.980909,1000,4208.493509
