#{"env_id": "my_panda_free_space_traj", "t_start": 1582839837.6504788}
r,l,t
176.727538,1000,8.824889
122.436699,1000,17.614163
221.040825,1000,25.5481
209.551972,1000,33.954684
129.915627,1000,41.670752
154.801875,1000,49.012927
139.485317,1000,55.850618
452.697437,1000,63.444411
111.131319,1000,70.623049
136.333251,1000,78.176562
539.464005,1000,86.430406
23.743395,1000,93.505327
1.809329,1000,100.366934
26.940414,1000,107.960017
406.221533,1000,118.134427
83.68918,1000,126.953999
155.968183,1000,135.629847
941.554864,1000,144.019411
223.38659,1000,153.294062
591.811235,1000,160.616158
175.346282,1000,167.912385
62.734644,1000,175.315594
390.494956,1000,182.361742
101.38738,1000,188.981389
388.816977,1000,196.277842
6904.731371,1000,204.030107
6900.500897,1000,211.657198
6941.81813,1000,219.225436
6918.093412,1000,227.033781
6916.537253,1000,234.673923
6866.64512,1000,242.397634
6895.334056,1000,250.186501
6814.159862,1000,257.884428
7426.717912,1000,265.668437
7931.126456,1000,272.776921
7894.764752,1000,280.261324
5137.470936,1000,287.24941
7553.695461,1000,294.714354
1014.830512,1000,302.020811
6837.449839,1000,309.72343
984.822764,1000,317.018982
984.648738,1000,324.41055
1134.958805,1000,331.657834
1139.014615,1000,339.060693
182.790192,1000,345.736187
38.14223,1000,352.494731
6300.005925,1000,359.840883
5164.032159,1000,366.892108
5015.655788,1000,374.432203
2482.530946,1000,381.39444
287.612711,1000,389.402617
624.868154,1000,396.480821
597.307793,1000,403.294808
642.395905,1000,409.74489
127.326341,1000,417.761992
4998.783643,1000,424.829411
6919.606886,1000,432.574352
7951.564246,1000,439.935712
7564.584508,1000,447.580121
6977.744764,1000,455.064904
6929.126529,1000,462.894982
30.035816,1000,471.600762
7179.300573,1000,478.921371
7109.563634,1000,486.919346
68.520969,1000,495.80714
20.743401,1000,505.198981
57.592047,1000,514.920056
272.61047,1000,524.164403
277.851505,1000,533.638631
34.253576,1000,545.306636
33.984559,1000,554.845575
74.171867,1000,564.828464
219.112377,1000,573.740033
64.48278,1000,580.965101
63.752429,1000,588.169675
63.17646,1000,595.396787
63.292502,1000,602.815796
72.515707,1000,610.49165
190.048311,1000,618.608904
166.909666,1000,627.126775
60.628305,1000,634.767635
63.889929,1000,642.154592
190.212406,1000,650.747566
224.536351,1000,659.62372
209.813091,1000,668.262399
262.620238,1000,676.790771
252.226372,1000,685.104443
243.228759,1000,693.225122
382.346876,1000,701.403162
242.712789,1000,710.074046
237.867894,1000,718.944561
206.204469,1000,727.075812
1130.854939,1000,733.86221
807.620134,1000,740.648544
1137.853455,1000,747.986927
35.192825,1000,757.33869
233.007834,1000,766.195553
196.083657,1000,774.944353
163.604444,1000,785.110569
179.200734,1000,794.68122
227.567917,1000,803.627753
60.0256,1000,810.929781
170.348069,1000,820.874255
229.716559,1000,829.675209
180.906795,1000,838.98907
6936.559717,1000,846.743773
230.037231,1000,855.139115
7141.993962,1000,862.31983
7159.74578,1000,870.020095
7415.645502,1000,877.147022
7037.119448,1000,884.80328
7018.678425,1000,891.884421
7674.196416,1000,899.406819
7248.169473,1000,906.824869
969.171745,1000,914.301594
970.064165,1000,921.445348
967.85385,1000,929.066427
897.927411,1000,936.546045
126.448343,1000,945.36695
47.383856,1000,956.511532
69.462267,1000,965.370825
302.654565,1000,974.10192
302.012528,1000,982.261941
139.926927,1000,991.418657
43.261137,1000,1001.556571
45.069424,1000,1011.194728
90.794029,1000,1019.547378
132.472426,1000,1028.388235
184.301382,1000,1035.249536
185.282201,1000,1042.446051
51.157828,1000,1052.26948
81.505243,1000,1060.957662
42.648042,1000,1070.482127
7.467883,1000,1079.909817
11.071572,1000,1089.117387
7661.136359,1000,1096.078013
7466.755457,1000,1103.758003
7479.828041,1000,1111.316067
7514.43061,1000,1118.619783
7495.438247,1000,1126.148906
7421.651753,1000,1134.011392
17.394653,1000,1142.995888
6.320998,1000,1153.361052
6.842986,1000,1162.63909
6.341215,1000,1173.171574
14.065129,1000,1182.43565
7.366388,1000,1191.854667
6.666674,1000,1201.246724
6.441711,1000,1211.497129
6.310093,1000,1222.001245
7.405783,1000,1231.37619
6.376358,1000,1242.325001
7.448188,1000,1251.470676
7.456496,1000,1261.170686
6.401574,1000,1272.187751
6.450237,1000,1282.491929
7.125951,1000,1292.444825
7.025725,1000,1302.069376
6351.330397,1000,1309.67573
7266.324871,1000,1317.189432
2970.869852,1000,1324.645194
3830.615514,1000,1331.866146
7221.993009,1000,1339.830014
8083.68878,1000,1347.164647
8068.990226,1000,1354.434397
8062.302747,1000,1361.576569
8073.554477,1000,1368.676625
8080.479198,1000,1375.953834
8075.212211,1000,1383.111285
8074.875492,1000,1390.609788
8073.748394,1000,1398.603689
8072.537671,1000,1405.995874
8073.731707,1000,1413.302095
8075.773411,1000,1420.949289
8073.190741,1000,1428.639322
8081.500145,1000,1436.312964
2419.588741,1000,1443.394897
8018.100008,1000,1450.76283
8042.03938,1000,1458.081127
8264.839507,1000,1465.513864
7974.080983,1000,1473.29258
8000.067963,1000,1480.509088
7982.89812,1000,1488.184219
8108.050522,1000,1495.103966
7973.137001,1000,1503.021351
8001.41493,1000,1510.538337
8087.466173,1000,1518.301389
8092.005272,1000,1526.001181
7959.263024,1000,1533.554656
8000.772691,1000,1541.148707
8046.295844,1000,1548.743812
8029.237422,1000,1556.279841
8009.510401,1000,1563.624412
8076.208673,1000,1571.286446
8039.921656,1000,1578.758137
8018.883974,1000,1586.619161
7870.49618,1000,1594.009303
8059.266421,1000,1601.596792
8097.812815,1000,1609.292446
7224.471007,1000,1617.308841
8114.726215,1000,1624.99053
8140.299619,1000,1632.446703
