#{"env_id": "my_panda_free_space_traj", "t_start": 1582810857.7883563}
r,l,t
2321.704669,1001,64.530954
5131.727257,1001,119.857223
6656.173253,1001,176.353032
8065.252918,1001,233.524736
8800.707493,1001,290.324195
9334.320481,1001,347.287535
9111.464225,1001,409.299258
9291.315484,1001,466.829397
9210.874608,1001,523.416407
9206.112234,1001,580.512333
9430.572149,1001,637.257138
9530.524234,1001,694.622797
9647.47126,1001,750.936155
10135.815047,1001,810.134068
9806.665311,1001,867.953403
10288.262636,1001,924.763648
10069.73637,1001,980.745559
10164.850067,1001,1036.852751
10431.616354,1001,1094.189115
10510.146623,1001,1151.476028
10446.981261,1001,1208.569482
10484.032006,1001,1265.659447
10826.210083,1001,1323.280106
10918.94188,1001,1381.04227
10828.853789,1001,1437.876134
10608.385415,1001,1493.964011
10656.669512,1001,1551.350496
10981.146441,1001,1607.845173
10745.360979,1001,1661.391821
10550.524823,1001,1715.04539
11284.098173,1001,1769.867174
10879.396799,1001,1824.173931
10804.644019,1001,1879.64405
10716.304939,1001,1933.995118
10977.382032,1001,1987.14839
10988.807993,1001,2041.598216
10938.83926,1001,2095.230772
11199.668002,1001,2149.827491
11194.391029,1001,2204.259729
11257.857166,1001,2256.804233
11360.685787,1001,2310.972406
11555.264014,1001,2364.772465
11172.34294,1001,2420.448851
11262.085232,1001,2474.624949
11635.552302,1001,2528.333317
11676.35106,1001,2583.511093
11659.01912,1001,2639.564347
11511.866731,1001,2693.576698
11790.760209,1001,2747.088293
11944.676417,1001,2801.102894
11825.10541,1001,2855.436472
11758.210449,1001,2908.324702
12018.898651,1001,2963.182648
11959.347817,1001,3017.892856
12149.128212,1001,3072.877153
12000.772449,1001,3128.616416
11955.041287,1001,3184.323048
11983.881252,1001,3238.868064
12055.833566,1001,3294.333034
12006.936072,1001,3349.969614
12287.738021,1001,3405.875384
12118.369859,1001,3462.163237
12213.605801,1001,3519.206781
12184.609111,1001,3574.774197
12348.670685,1001,3629.57142
12278.018942,1001,3685.198193
12176.51436,1001,3742.948236
12317.833421,1001,3799.417864
12365.006189,1001,3855.262154
12215.919037,1001,3908.69048
12492.20798,1001,3964.026916
