#{"t_start": 1582810595.5600772, "env_id": "my_panda_free_space_traj"}
r,l,t
369.132556,1000,31.806194
550.987404,1000,56.905485
1291.795588,1000,81.277027
2014.696213,1000,104.9135
2962.654226,1000,128.925089
4119.771365,1000,152.355634
4977.014349,1000,177.791066
6406.879865,1000,204.142124
8010.078906,1000,229.789764
8925.332258,1000,256.112575
9191.392833,1000,283.603764
6835.838891,1000,310.574909
9484.648249,1000,337.835953
9708.311176,1000,365.786433
10983.333431,1000,392.454894
12289.85531,1000,419.246007
14903.842976,1000,448.804002
15997.901884,1000,475.288783
17984.328225,1000,502.207767
18278.34324,1000,529.51131
23100.854602,1000,557.324922
24469.596594,1000,583.609946
24513.303132,1000,610.219155
26390.100247,1000,635.893683
25296.753583,1000,664.054285
29555.549509,1000,690.828379
27194.695153,1000,716.557508
26935.812701,1000,742.643881
29237.29829,1000,768.493199
30966.225093,1000,794.691317
30149.131769,1000,820.87839
35400.565255,1000,846.796195
32458.212912,1000,872.301829
35154.443503,1000,898.468267
30287.09216,1000,924.497594
36748.332714,1000,950.018477
36111.471481,1000,976.180196
38975.631134,1000,1002.718008
36663.351273,1000,1028.263369
37202.074646,1000,1054.185771
40580.017524,1000,1082.133116
37969.408276,1000,1107.754437
37912.751254,1000,1133.156289
44021.264823,1000,1158.589419
39223.738288,1000,1183.815922
40392.023995,1000,1209.411144
45206.647842,1000,1235.284441
43614.696328,1000,1260.975446
44995.675115,1000,1286.145671
42418.11751,1000,1311.912741
46801.529359,1000,1337.797168
46465.253678,1000,1363.637763
47444.530394,1000,1388.993089
49161.625795,1000,1414.758442
47276.66898,1000,1440.82298
54422.220458,1000,1466.774128
53492.210967,1000,1492.672791
52766.659338,1000,1518.098056
54307.194611,1000,1543.858964
50965.251328,1000,1568.999573
58330.634453,1000,1594.456344
60692.69539,1000,1620.706732
63362.812593,1000,1647.403548
65992.45347,1000,1673.153407
63947.438315,1000,1699.462661
61557.876907,1000,1724.882571
65990.141328,1000,1750.200516
65875.008151,1000,1776.420363
68702.457522,1000,1801.07021
71321.423057,1000,1826.499033
69212.036653,1000,1851.284966
