#{"t_start": 1582810750.9265797, "env_id": "my_panda_free_space_traj"}
r,l,t
494.293912,1000,34.538937
385.959926,1000,60.45259
663.349078,1000,86.827592
1813.437283,1000,111.440716
2630.087829,1000,137.124506
3409.884339,1000,161.73446
3680.231969,1000,188.267129
4914.098618,1000,214.84356
5982.467044,1000,242.57079
6546.12525,1000,271.54872
9907.50732,1000,300.998499
11497.4973,1000,329.731203
11713.719132,1000,358.133416
14968.430468,1000,388.005999
14289.472518,1000,416.85435
19515.075945,1000,445.840356
17983.708115,1000,474.362302
19418.117088,1000,503.66421
21679.093346,1000,532.424646
25680.108911,1000,559.059746
28258.326305,1000,586.976353
32754.382991,1000,614.783389
31865.337816,1000,642.111968
31578.564403,1000,669.424293
36949.875372,1000,697.174932
35605.565721,1000,724.334912
37501.259573,1000,751.865836
37680.517176,1000,780.792118
38116.070863,1000,808.720256
38731.420743,1000,837.120333
39718.960933,1000,865.604654
41005.818836,1000,893.533353
44989.888054,1000,923.111469
41667.820013,1000,950.989823
44991.295894,1000,979.653614
47597.024865,1000,1007.990007
48093.335633,1000,1034.698002
51728.486302,1000,1062.528414
47107.494802,1000,1090.638061
49200.237229,1000,1117.907534
51782.006165,1000,1145.811866
53202.701282,1000,1174.250858
53211.543784,1000,1202.440129
51795.746578,1000,1231.159874
55705.238896,1000,1259.865427
57625.470692,1000,1287.475495
59470.796113,1000,1315.617746
59347.776433,1000,1343.863244
51634.549163,1000,1372.564914
61579.260634,1000,1399.925249
66926.746493,1000,1427.953595
63819.719311,1000,1455.452809
59631.334404,1000,1485.136475
65031.081847,1000,1513.956691
71642.355341,1000,1542.622982
74613.624155,1000,1569.410383
71630.958371,1000,1596.834431
74240.202974,1000,1625.529501
70549.372878,1000,1654.471489
69055.261017,1000,1680.911818
80825.579303,1000,1709.441633
74457.464781,1000,1736.29474
68101.713673,1000,1763.136765
79953.392199,1000,1788.984049
82384.843557,1000,1816.137985
88805.217049,1000,1842.252908
74942.089542,1000,1868.191892
86166.931478,1000,1894.581226
85773.345669,1000,1921.076257
88593.383244,1000,1946.818315
91363.88495,1000,1972.359758
