#{"t_start": 1580933113.42074, "env_id": "my_panda_free_space_traj"}
r,l,t
801.502194,1000,4.654259
629.70097,1000,8.52606
245.510672,1000,12.482424
728.100444,1000,16.512891
327.044052,1000,20.590604
601.661417,1000,24.611785
625.756333,1000,28.729474
475.789496,1000,32.819281
550.598786,1000,36.850199
543.840834,1000,40.940575
500.025965,1000,45.037971
650.462907,1000,49.020656
613.866967,1000,53.087193
848.844368,1000,57.096438
801.498426,1000,61.102927
649.589073,1000,65.274894
333.413864,1000,69.494056
463.655849,1000,73.521288
728.876772,1000,77.527378
745.502165,1000,81.486543
762.62929,1000,85.42423
725.030081,1000,89.386702
1016.440107,1000,93.318835
889.833,1000,97.247422
852.537105,1000,101.162779
985.885977,1000,105.067847
777.518665,1000,108.953772
852.087829,1000,112.95033
859.535681,1000,116.912547
896.472568,1000,120.88908
35.074363,1000,125.106718
58.882188,1000,129.29292
71.048845,1000,133.536748
257.394125,1000,137.768117
606.275274,1000,141.656013
673.908588,1000,145.681144
699.172535,1000,149.669383
516.214839,1000,153.633065
589.444506,1000,157.600799
602.719391,1000,161.609754
567.534293,1000,165.526807
556.352546,1000,169.465072
617.90314,1000,173.401734
598.529395,1000,177.464723
714.805861,1000,181.465157
672.274143,1000,185.498914
762.066445,1000,189.459105
646.299821,1000,193.422873
901.013651,1000,197.382284
571.297357,1000,201.286862
808.444913,1000,205.308051
779.664789,1000,209.318037
857.514829,1000,213.272243
901.732858,1000,217.264299
1001.834658,1000,221.246284
889.162619,1000,225.251807
1271.448115,1000,229.291152
1283.697164,1000,233.265306
1077.757211,1000,237.270939
1195.03244,1000,241.246339
1427.777622,1000,245.238233
1167.0411,1000,249.252593
1148.625582,1000,253.289668
1258.326534,1000,257.304791
964.749359,1000,261.372857
1273.588907,1000,265.451853
1441.430348,1000,269.54412
1182.069241,1000,273.634086
1017.313492,1000,277.643625
1036.017033,1000,281.614846
956.544384,1000,285.554022
1111.526642,1000,289.615603
1242.060199,1000,293.716476
1277.702021,1000,297.716053
1233.235661,1000,301.707713
1206.515096,1000,305.718586
1339.043301,1000,309.798971
1558.401839,1000,313.950218
1542.045895,1000,318.010919
1398.083004,1000,322.036453
1154.793949,1000,326.207566
1459.110297,1000,330.202386
1409.592835,1000,334.236025
1301.870403,1000,338.240654
1586.117631,1000,342.198358
1370.990681,1000,346.130544
1516.889094,1000,350.125838
1117.657064,1000,354.207266
1433.309873,1000,358.237801
1623.139071,1000,362.241771
1820.914172,1000,366.265025
1657.989428,1000,370.343371
1734.94756,1000,374.421113
1955.873087,1000,378.524831
1801.038747,1000,382.61109
1983.264174,1000,386.712631
1937.23454,1000,390.766484
1947.630536,1000,394.837626
1939.254409,1000,398.816678
