policy_loss,total timesteps,entropy,qf2_loss,current_lr,qf1_loss,n_updates,mean 100 episode reward,ent_coef,value_loss,episodes,fps,eplenmean,ep_rewmean,time_elapsed,ent_coef_loss
-35.716644,3000,9.129112,0.93021405,0.0003,0.97010547,2900,31.8,0.4221936,0.9579973,4,95,1000.0,443.6354206666667,31,-9.253157
-42.52396,7000,9.472454,0.3530388,0.0003,0.7885852,6900,22.1,0.1332128,0.47336257,8,96,1000.0,380.72337357142857,72,-19.414917
-34.679367,11000,8.010719,0.2376548,0.0003,0.20666066,10900,21.1,0.04240907,0.19226742,12,97,1000.0,395.5061875454545,113,-20.029001
-26.964287,15000,6.341971,0.10659354,0.0003,0.107162416,14900,20.5,0.0149706025,0.117812894,16,97,1000.0,395.57187013333333,153,-14.352032
-21.109009,19000,4.71564,0.038768746,0.0003,0.040618774,18900,20.6,0.005487965,0.030799787,20,97,1000.0,404.272217,195,-9.748282
-16.834854,23000,3.7946217,0.03331143,0.0003,0.02345773,22900,21.7,0.0029098673,0.10370359,24,97,1000.0,439.71721769565215,235,-8.262741
-13.703395,27000,2.4957004,0.01595793,0.0003,0.013077443,26900,21.8,0.0016322783,0.016277209,28,97,1000.0,458.6922753333333,277,-0.71640146
-11.409452,31000,3.6440372,0.0069423635,0.0003,0.0073289988,30900,26.4,0.0019328997,0.008332497,32,97,1000.0,966.3192497096776,318,2.726246
-9.809853,35000,2.857175,0.006456808,0.0003,0.0067958212,34900,26.8,0.0016322371,0.008683514,36,97,1000.0,1442.5829283142857,360,14.393405
-8.41648,39000,2.3279843,0.005603028,0.0003,0.0064496505,38900,24.9,0.0012276156,0.0012094774,40,96,1000.0,1458.9552664871794,403,-10.863237
-7.11228,43000,1.7093621,0.014684845,0.0003,0.013160212,42900,22.9,0.000872708,0.0026705507,44,96,1000.0,1399.131159883721,445,-8.4200115
-5.9896545,47000,2.0898867,0.0015588775,0.0003,0.001369291,46900,21.6,0.0007264446,0.0010278926,48,96,1000.0,1389.6184686808513,486,5.4328413
-5.061328,51000,1.3292576,0.0012699143,0.0003,0.0010618777,50900,20.7,0.00044907522,0.0020706095,52,96,1000.0,1424.6457623333333,527,-5.005711
-4.5358114,55000,3.139689,0.0015259816,0.0003,0.001743979,54900,21.8,0.00074105966,0.0028297766,56,96,1000.0,1847.0416748909092,569,-4.5410547
-4.1339507,59000,2.1921773,0.0026812162,0.0003,0.0035312087,58900,22.3,0.00065285683,0.0006099217,60,96,1000.0,2194.505693762712,611,6.939138
-3.5704324,63000,2.9110825,0.00085132866,0.0003,0.000823101,62900,21.2,0.0007449306,0.0013419974,64,96,1000.0,2146.5470867619047,654,2.7413106
-3.1066065,67000,2.5141337,0.0015326884,0.0003,0.0010833056,66900,20.8,0.00066037517,0.0006527124,68,96,1000.0,2210.4250941044775,696,8.778123
-2.9702897,71000,1.628381,0.0016956732,0.0003,0.0015855303,70900,21.2,0.00069169316,0.0009845598,72,96,1000.0,2511.0263739718307,738,3.274651
-2.9235814,75000,1.862035,0.00087919657,0.0003,0.00072149764,74900,21.6,0.00070379686,0.00021631141,76,96,1000.0,2774.387666493333,780,5.618685
-2.848099,79000,2.843132,0.00023808109,0.0003,0.0003569728,78900,21.8,0.0007630264,0.00042296958,80,96,1000.0,3007.2284526582275,822,-7.58189
-2.7844737,83000,2.3478632,0.00027626264,0.0003,0.00053130894,82900,21.9,0.0006412505,0.0016996094,84,96,1000.0,3224.703161927711,864,-3.3002574
-2.6301007,87000,-1.4295926,0.00014113917,0.0003,0.00012409178,86900,22.1,0.0006003803,5.9552043e-05,88,96,1000.0,3418.97824537931,905,-2.6508281
-2.4471352,91000,0.59860295,0.00024851988,0.0003,0.00031509082,90900,22.1,0.00048012836,7.943062e-05,92,95,1000.0,3591.277392175824,947,1.0001495
-2.4028285,95000,-0.5213975,0.0002420614,0.0003,0.00016445882,94900,22.2,0.0004905824,5.365543e-05,96,95,1000.0,3749.668878842105,989,1.0060749
-2.379923,99000,-2.5087233,0.0437287,0.0003,0.04312789,98900,22.6,0.00056083436,0.00108202,100,95,1000.0,4017.6901030707077,1032,17.880936
-2.322377,103000,-0.74303675,0.0019996874,0.0003,0.0019753636,102900,22.9,0.0010260928,0.00011079195,104,95,1000.0,4560.6428311,1073,-0.02158165
