EpisodesSoFar,TimeElapsed,TimestepsSoFar,entropy,entloss,surrgain,EpThisIter,meankl,EpLenMean,optimgain,explained_variance_tdlam_before,EpRewMean
1,9.958882808685303,1024,4.203835,0.0,0.03546916,1,0.010189502,1001.0,0.03546916,0.014038562774658203,327.424746
2,18.70733332633972,2048,4.203918,0.0,0.032002825,1,0.009096279,1001.0,0.032002825,0.004869341850280762,702.57486
3,27.489853382110596,3072,4.2156963,0.0,0.032295287,1,0.008369584,1001.0,0.032295287,-0.15215635299682617,702.3973156666666
4,36.18716645240784,4096,4.2240543,0.0,0.033127233,1,0.009690268,1001.0,0.033127233,-0.01515495777130127,1450.3548904999998
5,44.78809213638306,5120,4.201104,0.0,0.02635448,1,0.008882151,1001.0,0.02635448,-0.09822273254394531,1951.3026407999998
6,53.81776189804077,6144,4.1925716,0.0,0.032491945,1,0.00918854,1001.0,0.032491945,-0.39241719245910645,1947.0426994999998
7,62.835164308547974,7168,4.215944,0.0,0.035995156,1,0.009706749,1001.0,0.035995156,-0.37569916248321533,1783.0566779999997
8,71.81029844284058,8192,4.185143,0.0,0.03684824,1,0.009516623,1001.0,0.03684824,-0.2682877779006958,1839.8319066249999
9,80.33722472190857,9216,4.188449,0.0,0.028025463,1,0.008891629,1001.0,0.028025463,-0.7787483930587769,1756.5058507777776
10,88.69721841812134,10240,4.162962,0.0,0.031199928,1,0.0101578655,1001.0,0.031199928,-0.01934218406677246,1867.4581314
11,97.23653626441956,11264,4.151489,0.0,0.031437863,1,0.010641206,1001.0,0.031437863,-0.010592341423034668,1967.1538444545454
12,105.77910208702087,12288,4.17942,0.0,0.037035555,1,0.009931695,1001.0,0.037035555,-0.32118499279022217,1878.2767669166667
13,114.57222270965576,13312,4.1852098,0.0,0.032392822,1,0.009135734,1001.0,0.032392822,0.12828445434570312,1919.847266230769
14,123.29156446456909,14336,4.1687007,0.0,0.032949597,1,0.009694086,1001.0,0.032949597,0.3601225018501282,2111.6506392142855
15,131.77129125595093,15360,4.1821837,0.0,0.026948174,1,0.009037434,1001.0,0.026948174,0.1775253415107727,2080.3312756
16,140.14037823677063,16384,4.1385493,0.0,0.030365173,1,0.009078823,1001.0,0.030365173,-0.09981441497802734,2327.8572612499997
17,148.47789978981018,17408,4.113305,0.0,0.027948579,1,0.009792426,1001.0,0.027948579,-0.15060710906982422,2571.58910917647
18,156.84773969650269,18432,4.082788,0.0,0.027598111,1,0.01057499,1001.0,0.027598111,0.10503709316253662,2821.7360316666663
