#{"env_id": "my_panda_free_space_traj", "t_start": 1582815442.6560283}
r,l,t
374.991738,1000,5.771363
311.961923,1000,10.986866
677.105722,1000,15.47485
321.977643,1000,20.123414
408.19427,1000,24.285537
422.45426,1000,28.838356
360.355584,1000,33.409603
586.251429,1000,37.742661
407.486477,1000,42.244558
555.391678,1000,46.745582
380.935755,1000,51.235434
476.628511,1000,55.592438
467.574498,1000,60.034599
467.341331,1000,64.262937
448.55413,1000,68.634537
424.169911,1000,72.935729
569.464083,1000,77.413643
419.232693,1000,81.991796
407.75811,1000,86.239471
425.108575,1000,90.497774
637.011808,1000,95.079158
574.376648,1000,99.546701
455.614188,1000,103.857949
601.293863,1000,108.305437
412.576688,1000,112.775315
565.008899,1000,117.211505
740.068162,1000,121.89221
552.886665,1000,126.282969
661.319422,1000,130.731091
480.708794,1000,135.386779
577.84429,1000,139.639446
611.420254,1000,144.043314
604.944067,1000,148.216804
638.537087,1000,152.705871
770.066816,1000,157.009229
731.281894,1000,161.289833
758.809848,1000,165.667418
733.086845,1000,169.909298
624.749714,1000,174.398001
839.14428,1000,178.65699
732.058659,1000,182.89178
696.117741,1000,187.090518
602.27315,1000,191.362802
918.61058,1000,195.636608
524.134356,1000,199.825021
642.018041,1000,203.936357
1026.019168,1000,208.123212
810.489434,1000,212.515479
866.038791,1000,216.911977
932.967538,1000,221.135465
772.735733,1000,225.566525
781.680862,1000,230.41389
907.916444,1000,235.208117
893.24065,1000,239.737027
951.039,1000,244.293549
926.326478,1000,248.761337
879.743619,1000,253.410701
764.998937,1000,258.674772
757.464303,1000,263.150692
1036.787322,1000,267.536237
1440.004724,1000,272.039173
989.995828,1000,276.584482
1342.32853,1000,280.976483
1164.643389,1000,285.275653
819.66831,1000,289.641443
1300.257114,1000,294.344748
1054.501204,1000,298.573261
1310.843451,1000,302.789004
1198.621968,1000,307.547594
1128.958429,1000,311.988778
1323.027518,1000,316.121809
1106.436237,1000,320.496421
1110.645014,1000,324.939029
1257.650746,1000,329.237195
932.739381,1000,333.401607
