#{"env_id": "my_panda_free_space_traj", "t_start": 1582815471.0370288}
r,l,t
446.214989,1000,5.411112
292.196033,1000,10.217498
454.638296,1000,14.509405
460.669487,1000,18.751248
441.17002,1000,23.112236
539.986123,1000,27.577849
521.459014,1000,31.900618
449.148504,1000,36.05948
425.050369,1000,40.46496
607.447373,1000,44.753474
553.570089,1000,49.09937
396.344692,1000,53.289796
483.201714,1000,57.583061
359.96411,1000,61.803885
462.149388,1000,66.223603
455.973791,1000,70.401388
400.488685,1000,74.626108
594.659968,1000,78.799638
357.405641,1000,83.038614
355.952269,1000,87.04753
652.730836,1000,91.449525
442.261274,1000,95.826247
591.435719,1000,100.00566
403.91987,1000,104.364188
512.985832,1000,108.594054
592.256569,1000,112.877867
539.501732,1000,117.156937
509.172382,1000,121.451022
647.559379,1000,125.692557
741.285797,1000,129.931474
619.598137,1000,134.288822
644.915868,1000,138.643317
540.301678,1000,142.871194
667.632183,1000,147.258677
636.834908,1000,151.414081
516.470467,1000,155.621254
620.362238,1000,159.856678
562.331072,1000,164.079147
551.443773,1000,168.319143
716.294983,1000,172.52984
624.051764,1000,176.925795
620.461787,1000,181.010448
615.84783,1000,185.245406
488.081926,1000,189.648985
440.212514,1000,193.963498
586.171719,1000,198.213054
643.148923,1000,202.819221
495.984245,1000,207.526664
775.005495,1000,211.814657
831.671331,1000,216.465963
719.600497,1000,221.021393
581.508849,1000,225.568712
905.178765,1000,230.343863
946.442267,1000,234.921298
754.328537,1000,239.441646
939.673766,1000,243.703907
621.880965,1000,248.022074
735.628248,1000,252.350442
658.009209,1000,256.59847
884.753575,1000,260.850346
1082.762499,1000,265.147118
1042.398012,1000,269.398378
841.093313,1000,273.601929
869.983575,1000,278.01149
879.357992,1000,282.649857
920.333244,1000,287.113142
878.283475,1000,291.523823
897.396376,1000,295.948918
997.441432,1000,300.271288
875.110734,1000,304.553778
1021.684167,1000,308.789884
967.317835,1000,313.070321
970.971365,1000,317.393967
802.905396,1000,321.779791
1139.041341,1000,325.96448
1055.235455,1000,330.601113
1047.965031,1000,335.077306
1282.360338,1000,339.409834
1202.619702,1000,343.710385
1231.241699,1000,347.93548
1515.746855,1000,352.133199
1042.306754,1000,356.324517
1295.729682,1000,360.589737
1359.572604,1000,364.960621
1344.212794,1000,369.332276
1598.185642,1000,373.519123
1504.192043,1000,378.057268
1233.30264,1000,382.299989
1611.055173,1000,386.509648
1748.176219,1000,390.936641
1744.008537,1000,395.265459
1490.267787,1000,399.692075
2005.543332,1000,403.914724
1939.549009,1000,408.137113
1625.505199,1000,412.635534
1584.497563,1000,417.036334
1320.377111,1000,421.04114
1599.81337,1000,425.329691
2297.877365,1000,429.748973
2354.281377,1000,434.015886
1933.194136,1000,438.191352
1985.756793,1000,442.564038
2001.352839,1000,446.948025
2109.191492,1000,451.105365
1918.368926,1000,455.320933
2370.788553,1000,459.501652
2206.490518,1000,463.719228
1858.36956,1000,467.932609
2181.353598,1000,472.185055
2419.085472,1000,476.280609
2772.211589,1000,480.39742
2543.276537,1000,484.657336
