#{"env_id": "my_panda_free_space_traj", "t_start": 1585160108.6946025}
r,l,t
190.921468,500,16.96611
230.972402,500,26.96008
332.299121,500,37.182598
239.249587,500,47.234545
212.901489,500,57.29897
256.187066,500,67.255514
375.82412,500,77.449516
581.558176,500,87.291442
837.624666,500,97.189987
1201.118041,500,106.85104
1713.325405,500,116.405709
1806.698931,500,125.888172
1742.957901,500,135.564522
1763.465225,500,144.992727
1515.118871,500,154.464766
1848.575141,500,164.093104
1633.905742,500,173.495296
1860.074219,500,182.972877
1975.864737,500,192.433021
1648.002396,500,202.179841
2025.899854,500,211.852418
2799.644255,500,221.743756
3083.104047,500,231.940887
3033.70106,500,242.038778
2775.758288,500,252.369708
2694.801754,500,263.044767
4324.322819,500,273.689893
4297.292591,500,284.482877
3848.47991,500,295.277613
4107.988666,500,306.289486
4335.456747,500,317.004933
5228.247448,500,327.815623
5371.071126,500,338.860271
5456.212065,500,349.639963
5521.9261,500,360.313341
6104.814996,500,370.997365
5955.441363,500,381.875805
5398.791957,500,392.889701
5703.898854,500,404.125895
6948.459946,500,414.999137
5428.868016,500,425.877926
7723.33631,500,436.78876
7524.357472,500,447.939889
8306.58287,500,458.899141
13078.556314,500,469.904842
16219.996458,500,481.037574
17665.084385,500,491.795269
19065.014787,500,502.384722
20720.77454,500,512.977273
26292.585845,500,523.654089
25947.10556,500,534.034364
27999.887153,500,544.370741
25710.250097,500,554.960462
28338.594699,500,565.23429
30445.564727,500,575.477073
29936.926786,500,585.972423
31545.520995,500,596.298939
32363.909544,500,606.751063
34323.746619,500,617.08365
32408.535871,500,627.579865
34449.845455,500,638.055779
34940.136552,500,648.462792
35416.285052,500,659.00805
36478.014351,500,669.348732
34431.394254,500,679.962189
36400.031355,500,690.557752
39988.395261,500,701.041265
38873.8734,500,711.356922
40773.34157,500,722.065726
42837.000031,500,732.31598
41602.918917,500,742.870534
38996.102519,500,753.586638
40832.435198,500,764.158528
46343.971678,500,774.470405
44188.469122,500,784.688662
43169.789936,500,795.167853
44953.076041,500,805.41932
43062.953588,500,815.628719
39670.09913,500,825.831616
46822.939219,500,836.306883
45956.524142,500,846.616333
47901.036592,500,856.913004
48756.291155,500,867.334141
47420.301636,500,877.597185
50103.833004,500,887.875889
35639.901907,500,898.365827
47096.635278,500,908.616384
45680.004782,500,918.892119
42248.329628,500,929.187081
46928.247103,500,939.69794
46643.814578,500,949.938661
48283.174224,500,960.268077
48562.239014,500,970.693518
53206.88012,500,980.899247
55236.004203,500,991.159058
51075.270327,500,1001.477562
52109.920076,500,1011.97404
53748.400084,500,1022.109333
50655.539963,500,1032.52681
54265.66814,500,1042.753342
52811.893758,500,1052.932415
52323.507694,500,1063.107402
54856.394118,500,1073.553142
54269.347563,500,1083.725049
52350.670537,500,1093.936971
52903.579685,500,1104.392816
52362.55932,500,1114.610376
25083.649632,500,1124.866211
46587.757871,500,1135.102876
54394.905725,500,1145.50537
54929.375813,500,1155.736142
52835.251053,500,1165.945479
55700.549442,500,1176.312331
55385.764127,500,1186.455913
57594.805281,500,1196.56549
56143.115649,500,1206.941594
56856.985077,500,1217.118337
57485.265029,500,1227.281791
57146.709059,500,1237.398175
54266.263313,500,1247.804804
59108.436805,500,1257.99264
55916.7335,500,1268.327345
54107.469865,500,1278.769298
56275.443262,500,1289.007288
