#{"t_start": 1585166504.721454, "env_id": "my_panda_free_space_traj"}
r,l,t
226.236462,500,16.78212
180.933555,500,26.854799
235.806992,500,36.890152
175.139254,500,46.855145
537.025094,500,56.922462
703.302259,500,66.712632
666.689532,500,76.510305
1366.470592,500,86.442697
1536.660571,500,96.041961
2002.295566,500,105.796468
2391.672704,500,115.85713
2360.595569,500,126.018137
2915.963949,500,136.287396
3288.977567,500,146.701308
2863.705723,500,157.334765
3101.950273,500,167.862664
4342.059256,500,178.349597
3351.758651,500,189.100297
3364.002663,500,199.677151
4431.989862,500,210.381256
3685.250853,500,221.015566
6864.311694,500,231.847402
6196.748324,500,242.388537
6487.801418,500,253.006148
6494.722656,500,263.855399
6081.866137,500,274.48951
9160.611258,500,285.031146
10388.215486,500,295.39997
11288.410776,500,305.851399
10967.216535,500,316.229845
12811.043753,500,326.538672
12842.15419,500,336.98044
12152.825144,500,347.238297
13477.557562,500,357.51186
14341.177187,500,368.010732
14788.57985,500,378.50376
15305.491229,500,388.916044
16219.630989,500,399.655232
18858.070361,500,409.90842
16087.672995,500,420.128281
19139.670493,500,430.384062
20783.64491,500,440.849171
17986.506321,500,451.073948
20550.199144,500,461.334043
20378.032044,500,471.96853
21671.15504,500,482.253386
20369.490712,500,492.667445
22559.615035,500,503.082068
23331.504094,500,513.277751
24109.421642,500,523.509228
24596.190015,500,533.715617
23643.953078,500,544.212313
25118.342276,500,554.533391
28242.358724,500,564.751817
30056.307933,500,575.18493
31195.087654,500,585.374065
32830.341077,500,595.569763
33209.61234,500,605.753617
34398.516558,500,616.087982
33682.710377,500,626.356189
31933.363429,500,636.66044
33144.800303,500,647.193703
31394.603808,500,657.451568
34684.19477,500,667.575184
35119.093665,500,677.96819
36874.545189,500,688.169905
32501.072023,500,698.337179
36573.869234,500,708.716344
39128.060891,500,718.851694
40441.320679,500,729.010997
37622.451989,500,739.111745
40623.952186,500,749.441614
40649.105813,500,759.511661
38080.71969,500,769.602862
41673.999172,500,779.961466
40065.977022,500,790.046757
39032.396305,500,800.106434
42650.2852,500,810.358475
42405.536166,500,820.428339
43659.526971,500,830.795415
45461.074421,500,841.261167
46017.579432,500,851.632887
43013.037596,500,861.691088
43214.105477,500,871.777801
43385.729608,500,882.156375
43849.695949,500,892.288938
45762.864577,500,902.454596
47863.586257,500,912.571805
45759.309336,500,922.861756
47162.790988,500,932.955744
48751.046786,500,943.049065
45722.734935,500,953.46781
44433.808052,500,963.624238
45693.225813,500,973.763357
48523.773043,500,984.171997
43446.582079,500,994.439067
50243.699239,500,1004.588719
48396.543658,500,1014.954769
47567.173728,500,1025.03657
50214.763109,500,1035.133149
49383.700711,500,1045.299774
50051.691554,500,1055.600897
49462.242457,500,1065.72187
50520.869503,500,1075.873422
48653.344238,500,1086.395544
50793.005732,500,1096.618445
51645.567648,500,1106.750237
52592.28137,500,1117.120497
51743.359827,500,1127.220102
53756.785647,500,1137.35282
53140.672831,500,1147.58025
52063.944232,500,1157.930083
51835.383193,500,1168.065638
54111.010257,500,1178.166786
49806.343725,500,1188.604331
51450.577722,500,1198.803676
53412.913791,500,1208.880061
51741.131995,500,1218.991084
52789.909007,500,1229.81607
50117.411044,500,1240.540038
53898.381865,500,1250.92615
52364.663451,500,1261.548666
55331.371587,500,1271.730816
55879.905538,500,1282.019298
