#{"env_id": "my_panda_free_space_traj", "t_start": 1583802169.464368}
r,l,t
475.756582,1000,23.18476
546.781025,1000,41.053647
534.878116,1000,58.340514
976.552584,1000,75.783779
5697.943403,1000,92.625311
9727.13467,1000,111.39727
10628.663514,1000,130.027056
11004.986024,1000,148.825806
14330.79102,1000,167.575203
15874.590749,1000,186.580744
15466.714464,1000,205.823123
20581.944129,1000,225.314908
20071.218992,1000,245.061302
19931.717282,1000,264.085269
24378.602803,1000,283.167093
32068.493925,1000,302.017865
30852.211777,1000,320.863179
40416.827466,1000,339.680349
42770.02434,1000,358.686167
47481.850436,1000,377.20084
59820.797454,1000,395.310806
65470.990234,1000,413.257045
72354.120338,1000,431.645604
79078.667062,1000,449.431916
86035.570987,1000,466.982687
84780.933319,1000,484.529472
89666.82753,1000,502.404606
85080.602447,1000,520.638517
82558.460553,1000,538.979202
92171.774353,1000,556.838385
92328.763038,1000,574.874854
101107.428039,1000,592.524382
95938.147001,1000,610.177018
99248.070211,1000,628.243142
107887.213599,1000,646.220614
104630.811505,1000,663.938891
103000.827697,1000,681.559325
106852.651771,1000,699.33304
110679.417985,1000,717.537691
110498.581042,1000,735.299683
113029.49402,1000,754.11075
116383.862124,1000,772.834101
112100.822329,1000,791.868544
120003.731073,1000,810.048723
121095.12705,1000,828.173617
119942.598646,1000,846.915146
121896.179931,1000,864.385751
122238.228056,1000,882.247118
123552.830792,1000,900.056144
122126.093634,1000,918.197705
121017.406059,1000,936.222358
123407.381278,1000,954.12348
124247.520707,1000,972.164651
123312.525144,1000,989.572031
123446.167009,1000,1007.010559
123399.798796,1000,1024.813141
122653.135809,1000,1042.189627
122168.740034,1000,1059.769929
120920.15471,1000,1077.221284
123255.25341,1000,1095.431852
121935.047738,1000,1113.157757
124760.76412,1000,1130.627981
123419.969499,1000,1148.059741
123426.228888,1000,1165.475868
123097.354315,1000,1183.017183
123807.610864,1000,1200.31645
124337.897323,1000,1217.888884
124074.888954,1000,1235.449095
123647.059655,1000,1253.311078
124076.075707,1000,1270.758029
123469.128322,1000,1288.602377
124419.903299,1000,1305.985631
123286.24114,1000,1324.102399
123786.75769,1000,1341.53337
125140.291515,1000,1359.155006
123583.365096,1000,1376.386995
124722.577291,1000,1393.929527
125064.697009,1000,1411.19201
124571.167971,1000,1428.898834
122602.296648,1000,1446.465834
123910.428688,1000,1464.459516
125097.841705,1000,1481.917003
119857.291626,1000,1499.580399
124325.235955,1000,1516.647575
123976.692419,1000,1533.644845
124427.034806,1000,1551.09117
123733.421792,1000,1568.63481
123102.678019,1000,1586.546235
123603.675808,1000,1604.591827
123190.83502,1000,1622.522869
125009.287951,1000,1640.159763
125044.395213,1000,1657.860397
125269.925191,1000,1675.825487
124332.513699,1000,1693.610042
125034.31066,1000,1711.19528
125962.548075,1000,1728.535226
125938.864127,1000,1746.342635
124852.631729,1000,1764.416844
124975.890424,1000,1781.488925
124750.093129,1000,1798.79839
123748.386101,1000,1816.398389
124821.155873,1000,1833.882675
124372.739786,1000,1851.36766
119631.579928,1000,1868.471616
125174.251511,1000,1885.716932
125277.485513,1000,1903.1187
124051.492141,1000,1920.495514
124507.355323,1000,1937.330006
124966.261717,1000,1954.647421
125270.455747,1000,1971.570741
124588.407998,1000,1988.371755
124579.421212,1000,2005.4535
125514.69327,1000,2022.267373
124638.377436,1000,2039.658193
125248.531101,1000,2057.002101
124722.258986,1000,2073.92954
125186.440804,1000,2091.401637
124399.667507,1000,2109.262853
124758.132441,1000,2127.059558
124522.603708,1000,2144.432342
125492.460848,1000,2162.071127
125491.109404,1000,2179.789702
123912.982511,1000,2196.88636
124376.103128,1000,2212.978083
123487.827182,1000,2229.919296
