#{"t_start": 1583802176.2446556, "env_id": "my_panda_free_space_traj"}
r,l,t
362.155199,1000,22.980038
1153.932933,1000,39.72915
2445.882717,1000,56.216304
4775.860205,1000,73.044208
7110.337376,1000,90.849206
7684.934452,1000,108.288587
9203.836512,1000,125.734823
10214.993746,1000,143.791948
13170.084818,1000,162.708017
14596.974244,1000,181.348287
15722.086446,1000,200.230261
17033.640221,1000,219.627399
19784.290424,1000,238.584424
19559.912766,1000,257.114274
22554.008201,1000,276.264789
24311.230184,1000,295.293508
24394.134316,1000,314.438912
25711.491463,1000,333.042296
29977.985646,1000,350.809201
31729.797832,1000,368.667434
35012.295122,1000,386.814202
34508.446663,1000,405.21508
32380.109167,1000,423.803269
33212.356165,1000,441.620706
35707.72523,1000,459.40733
40536.184867,1000,477.357207
39328.535655,1000,495.036866
41365.228256,1000,512.85783
39308.936361,1000,530.717882
41119.279802,1000,548.621366
45184.473642,1000,566.156172
46040.610817,1000,583.76386
44615.638731,1000,601.518776
51249.480243,1000,619.585285
47475.11536,1000,637.533817
48498.387829,1000,655.232404
55357.823529,1000,672.974364
50220.987015,1000,690.975527
55668.235825,1000,708.774338
54411.937613,1000,726.634453
57089.791464,1000,744.331764
53724.311229,1000,762.184566
63155.28009,1000,779.889513
63768.1355,1000,797.510776
66278.08159,1000,815.182693
63661.682568,1000,833.006214
61630.415653,1000,850.843307
70708.54624,1000,868.438117
67492.963537,1000,886.047193
72450.951054,1000,903.831095
68677.94204,1000,921.71737
69559.825149,1000,939.477687
65596.248793,1000,957.203493
69815.80438,1000,974.827034
76185.079122,1000,992.827327
72146.779144,1000,1010.484182
79601.662431,1000,1028.145318
76960.871806,1000,1045.874722
75052.996446,1000,1063.84708
81172.885803,1000,1081.622837
83795.090764,1000,1099.33945
88596.753499,1000,1116.96809
88287.996338,1000,1135.003881
83613.085292,1000,1152.588634
86750.582015,1000,1170.17238
89547.252656,1000,1187.969346
97065.614375,1000,1205.53144
92869.091875,1000,1223.423628
95132.070299,1000,1240.996984
98087.78558,1000,1258.588694
101879.663026,1000,1276.210439
104370.226178,1000,1294.020564
103129.451834,1000,1311.604308
99768.115801,1000,1329.37276
103388.304024,1000,1346.943373
107086.905213,1000,1364.855283
109689.499536,1000,1382.512151
113675.199294,1000,1400.096377
114935.94646,1000,1417.730888
116997.940351,1000,1435.726192
118350.15253,1000,1453.486903
116486.492037,1000,1471.151173
117364.547937,1000,1489.09157
118124.108892,1000,1506.968067
119811.929187,1000,1524.493001
121326.252372,1000,1542.02084
120399.792576,1000,1559.426079
121951.931106,1000,1577.1443
123910.583564,1000,1594.887583
121283.154558,1000,1612.306436
119705.284003,1000,1629.871469
122350.41726,1000,1647.685849
120021.381529,1000,1665.663322
124966.319551,1000,1683.077881
122379.223729,1000,1700.439202
123393.509052,1000,1718.139385
124179.722969,1000,1736.023895
118904.024684,1000,1754.088443
123857.647767,1000,1771.519795
124024.378514,1000,1788.767374
120741.008888,1000,1805.759484
122933.697083,1000,1823.078682
124278.42174,1000,1840.623053
120385.176995,1000,1857.413692
123801.844252,1000,1874.366678
123314.867805,1000,1892.011021
123611.996904,1000,1908.934792
123451.3049,1000,1925.725821
123946.575822,1000,1942.745976
123667.860584,1000,1960.141426
123075.131466,1000,1977.13107
120519.183978,1000,1993.939158
122190.786734,1000,2011.023819
121814.590735,1000,2028.505387
121186.630064,1000,2045.764075
122529.032855,1000,2062.758714
124959.694378,1000,2079.923716
123668.914543,1000,2097.095473
123498.512729,1000,2114.440386
125370.63401,1000,2131.553128
123284.458627,1000,2148.474373
116620.50121,1000,2165.734105
125292.861871,1000,2182.767443
124521.020362,1000,2199.40486
124717.280611,1000,2215.655849
