#{"t_start": 1583802185.7713904, "env_id": "my_panda_free_space_traj"}
r,l,t
479.523999,1000,23.000821
1250.825078,1000,40.2887
2539.883979,1000,57.583534
4137.825786,1000,75.124214
5365.572427,1000,93.209112
8002.931782,1000,111.565283
9424.909015,1000,130.71121
11198.553297,1000,150.579107
12557.063966,1000,170.268042
14750.283044,1000,189.950604
15444.464108,1000,209.590355
14772.110989,1000,228.769834
15846.359526,1000,247.998973
18753.26076,1000,267.90106
19770.421013,1000,287.316542
24947.748766,1000,306.583008
22139.134859,1000,325.966331
26400.660456,1000,344.907014
27961.422041,1000,364.096222
27200.25326,1000,382.766127
33212.612171,1000,401.100135
35537.422554,1000,419.763725
37155.612483,1000,437.704471
39302.764585,1000,455.911151
41054.69685,1000,474.217867
35095.309378,1000,492.845349
39187.940712,1000,511.417191
50039.197927,1000,529.488076
51465.458788,1000,547.270453
52948.105627,1000,565.320651
55220.519443,1000,583.305381
63042.007519,1000,601.480701
57184.193053,1000,619.416821
64011.32225,1000,637.436552
65307.800416,1000,655.46822
65245.548002,1000,673.570889
67111.964123,1000,691.87616
64418.762562,1000,710.121024
68784.771929,1000,728.227101
75631.670671,1000,746.04901
74551.96319,1000,764.536809
77208.276199,1000,782.391483
83319.555215,1000,800.074221
84136.967219,1000,818.070478
84052.326795,1000,836.042488
87363.763265,1000,854.059805
84568.114036,1000,871.899042
91304.688768,1000,889.90445
85815.420232,1000,908.138943
92024.474854,1000,926.694512
88993.022365,1000,944.876294
90536.73878,1000,962.882816
97548.732807,1000,980.837461
99167.810905,1000,998.841545
95417.593456,1000,1016.589691
93109.175903,1000,1034.442252
100815.583422,1000,1052.715378
95769.706591,1000,1070.561579
106018.87732,1000,1088.309158
103906.171507,1000,1106.083738
106894.101052,1000,1123.722723
101566.280564,1000,1141.881553
108729.532265,1000,1159.494442
105840.062181,1000,1177.142618
108743.467808,1000,1194.942547
107790.492671,1000,1212.855176
113167.194317,1000,1230.508122
110677.668955,1000,1248.263294
113815.698399,1000,1265.885681
110305.397795,1000,1283.704522
115264.208282,1000,1301.25917
112123.084883,1000,1318.829481
111997.263696,1000,1336.317346
113238.437015,1000,1353.968433
117239.263468,1000,1371.544367
116889.237691,1000,1389.147507
115716.178472,1000,1406.776188
116338.566893,1000,1424.258928
114076.432897,1000,1441.805391
114772.946001,1000,1459.23405
117828.623917,1000,1476.850945
117087.741045,1000,1494.088892
115623.684018,1000,1511.536721
116768.731928,1000,1529.074108
119038.829645,1000,1546.819875
120033.864829,1000,1564.379722
119450.618186,1000,1582.257727
119065.615004,1000,1599.947007
119383.810807,1000,1617.643528
118768.362915,1000,1635.231117
119203.727288,1000,1653.205537
120595.439285,1000,1670.627104
118792.565377,1000,1687.876026
118666.822773,1000,1704.792581
119541.356639,1000,1721.774817
118451.934058,1000,1739.281488
121355.100407,1000,1755.824068
120680.177037,1000,1771.91776
120566.286671,1000,1788.612446
121579.377218,1000,1805.342859
121557.751996,1000,1820.978574
121246.54143,1000,1837.626768
122299.954791,1000,1854.113237
123331.259521,1000,1870.615818
121240.252207,1000,1887.197711
116375.267833,1000,1904.060168
121601.754664,1000,1920.037115
122544.908403,1000,1936.128583
123659.786833,1000,1952.020546
122092.905985,1000,1967.958776
121216.852727,1000,1984.220918
112503.492977,1000,2000.237645
123199.257809,1000,2016.367182
124775.992737,1000,2032.184479
123240.333912,1000,2048.765073
121949.664807,1000,2065.40889
122789.199689,1000,2082.096812
125075.244088,1000,2098.481018
124633.84779,1000,2115.235829
122718.217787,1000,2132.35982
125008.755671,1000,2149.144074
124331.241357,1000,2165.056159
122212.967154,1000,2180.772266
125158.047307,1000,2196.685174
123350.470428,1000,2212.228225
