nupdates,value_loss,policy_loss,policy_entropy,explained_variance,total_timesteps,fps,ep_len_mean,ep_reward_mean
1,1.2478258609771729,0.0009118616580963135,9.932570457458496,-0.09340202808380127,0,73,,
100,1.6036999225616455,-0.23317000269889832,10.104844093322754,-2.4728033542633057,8019,225,1000.0,878.8285382500001
200,4.395088195800781,-0.010317817330360413,10.068265914916992,0.05252343416213989,16119,227,1000.0,2238.7616774375
300,5.200911521911621,0.036892592906951904,10.042203903198242,0.0031009912490844727,24219,224,1000.0,3664.545852375
400,6.388343811035156,-0.1874590814113617,9.992713928222656,0.0344773530960083,32319,219,1000.0,5322.3273995625
500,6.665063381195068,-0.3979848623275757,9.969924926757812,0.04373645782470703,40419,216,1000.0,7006.93105325
600,7.10776424407959,-0.3263092041015625,9.906311988830566,0.06581735610961914,48519,214,1000.0,8537.3386428125
700,6.965554714202881,-0.1778380125761032,9.842307090759277,-0.022448420524597168,56619,213,1000.0,9923.567406785714
800,7.307772636413574,-0.4390118718147278,9.794591903686523,0.11182296276092529,64719,212,1000.0,11533.304303
900,7.192080497741699,-0.2016890048980713,9.694924354553223,0.03166985511779785,72819,211,1000.0,12956.66098761111
1000,7.6391282081604,-0.4333397150039673,9.629350662231445,0.1817583441734314,80919,211,1000.0,14563.232132325002
1100,8.29002857208252,-0.21560439467430115,9.534476280212402,-0.033602237701416016,89019,212,1000.0,16419.647666363635
1200,9.289937019348145,-0.31838732957839966,9.432718276977539,0.10866183042526245,97119,212,1000.0,18496.061810145835
1300,8.34661865234375,0.05008117854595184,9.423922538757324,-0.029796838760375977,105219,213,1000.0,20888.295213879996
1400,7.420815467834473,-0.10148477554321289,9.327710151672363,0.008499741554260254,113319,213,1000.0,24314.38736263
1500,8.033736228942871,-0.13329395651817322,9.253497123718262,0.005991578102111816,121419,214,1000.0,28050.037680559995
1600,9.044892311096191,-0.07981834560632706,9.168725967407227,0.03177773952484131,129519,214,1000.0,32168.321025600002
1700,8.923039436340332,-0.20232805609703064,9.044694900512695,-0.029163241386413574,137619,215,1000.0,36172.602197390006
1800,8.524077415466309,-0.19523635506629944,8.986440658569336,0.018793046474456787,145719,215,1000.0,40297.29740499
1900,8.513072967529297,0.11928408592939377,8.891556739807129,-0.017515897750854492,153819,215,1000.0,44363.32351961
2000,8.031766891479492,0.05838623642921448,8.797287940979004,0.00197446346282959,161919,215,1000.0,48325.037769800016
2100,7.915785312652588,-0.14694669842720032,8.646553993225098,-0.010013937950134277,170019,216,1000.0,52720.69126005999
2200,7.7947096824646,-0.24643352627754211,8.550965309143066,0.0023560523986816406,178119,216,1000.0,57102.991835600005
2300,8.289323806762695,-0.21483123302459717,8.403823852539062,-0.011471152305603027,186219,216,1000.0,61299.05208234
2400,8.362627029418945,-0.07497851550579071,8.255559921264648,0.011318981647491455,194319,216,1000.0,65224.136030890004
2500,7.543993949890137,0.18694919347763062,8.144148826599121,-0.02103590965270996,202419,217,1000.0,68774.54530194
2600,7.380149841308594,0.00902053713798523,8.012679100036621,0.004909098148345947,210519,217,1000.0,72851.38983092
2700,7.4467926025390625,0.05706214904785156,7.899007320404053,-0.008142471313476562,218619,217,1000.0,76543.7865395
