#{"env_id": "my_panda_free_space_traj", "t_start": 1583802228.9116068}
r,l,t
503.031692,1000,23.458975
480.180592,1000,40.420002
387.02568,1000,57.212751
501.570811,1000,73.937353
370.604002,1000,90.310396
502.576498,1000,106.903108
509.735782,1000,123.885514
527.372511,1000,140.537406
740.079667,1000,156.824663
715.285699,1000,173.45737
1029.967855,1000,189.58233
1546.866767,1000,205.357054
2144.288336,1000,221.378632
2202.232875,1000,237.572463
3012.283802,1000,254.080341
3609.585494,1000,270.397012
4353.963328,1000,286.908849
6375.803327,1000,303.768609
6272.921877,1000,321.237344
6785.40383,1000,338.857733
8024.444802,1000,356.350708
8666.513131,1000,373.938113
10663.211558,1000,391.808896
10059.610879,1000,410.017787
12806.474611,1000,428.074928
12982.166521,1000,446.186294
13441.901908,1000,464.173321
15910.129095,1000,482.645535
18542.139733,1000,500.760551
18475.294947,1000,518.963346
20333.013907,1000,537.216548
21205.045857,1000,555.378728
20180.027232,1000,573.465195
21317.807008,1000,591.338094
22422.906064,1000,609.006119
25773.96652,1000,626.920649
26470.798161,1000,644.462776
26773.178367,1000,662.073955
29416.215574,1000,679.509812
28549.803593,1000,697.160044
30625.914724,1000,714.511407
31154.669978,1000,731.839475
33520.869067,1000,749.217964
33648.599225,1000,767.124607
33444.127354,1000,784.893095
38009.183187,1000,802.324434
40983.914591,1000,819.738771
35176.476363,1000,837.351831
38855.414251,1000,854.865317
40360.202865,1000,872.420217
46124.991531,1000,889.853616
42630.35582,1000,907.226025
44674.32243,1000,924.858576
40293.766799,1000,942.039559
47408.750896,1000,959.189773
47246.840274,1000,976.52242
47360.044369,1000,994.024604
47169.02975,1000,1011.257925
47615.001431,1000,1028.5189
50699.545609,1000,1045.773207
46403.084387,1000,1063.240905
47889.445767,1000,1080.328454
48248.410864,1000,1097.622511
53665.14004,1000,1115.01606
53259.295101,1000,1132.584855
54062.398655,1000,1149.788535
54970.085659,1000,1167.2075
56309.549494,1000,1184.499669
58375.65582,1000,1201.92062
55729.685941,1000,1219.340294
56701.541618,1000,1236.697557
58417.220464,1000,1254.074131
61342.383628,1000,1271.379122
58197.214116,1000,1288.779955
63946.890067,1000,1305.917946
63486.788531,1000,1323.182988
64893.065585,1000,1340.267795
65321.148598,1000,1357.745791
63611.093216,1000,1375.029542
66154.569237,1000,1392.169064
66289.613065,1000,1409.620489
64821.697168,1000,1427.045861
64457.241113,1000,1444.267649
67234.342044,1000,1461.251928
67125.511179,1000,1478.330189
69793.149354,1000,1495.306259
70085.279234,1000,1512.793711
73063.584319,1000,1530.333987
69023.922229,1000,1547.915766
71616.908057,1000,1565.438206
70897.937226,1000,1582.864107
74016.894489,1000,1600.067715
75764.041735,1000,1617.31978
77088.371342,1000,1634.617236
77995.484695,1000,1651.31415
76083.157153,1000,1667.776143
78034.622273,1000,1684.756143
79127.111689,1000,1702.237584
78027.236095,1000,1718.228439
74707.014854,1000,1734.278664
78856.187914,1000,1750.699718
83059.29945,1000,1767.698161
79837.531221,1000,1783.195763
79469.719311,1000,1799.54882
83493.664937,1000,1815.731995
82178.616023,1000,1831.827332
84675.147865,1000,1848.139626
87114.620002,1000,1864.054482
84038.949343,1000,1879.417516
86692.959025,1000,1894.996445
88429.436197,1000,1910.943909
91169.152939,1000,1926.589854
87910.292567,1000,1942.310289
87111.829458,1000,1958.082242
87630.718503,1000,1974.224057
90536.158991,1000,1989.521106
90875.709376,1000,2005.974683
87891.963949,1000,2022.060447
92463.837974,1000,2038.243024
94477.941913,1000,2054.83755
91121.220969,1000,2071.293128
91181.695813,1000,2087.987547
91089.520956,1000,2104.798367
92057.102793,1000,2120.824111
94379.229644,1000,2136.730706
