#{"env_id": "my_panda_free_space_traj", "t_start": 1583775578.5985117}
r,l,t
445.96075,1000,23.062893
381.877908,1000,40.670125
330.600886,1000,57.946743
511.832815,1000,75.090629
618.803961,1000,92.132898
915.957963,1000,109.094871
2874.809735,1000,126.102115
3747.256402,1000,143.652113
4927.340941,1000,161.876592
4925.652583,1000,180.343279
5865.114487,1000,198.489372
8420.232064,1000,216.721099
12618.659671,1000,235.141289
12965.643455,1000,253.386107
14941.703934,1000,271.37967
22087.201424,1000,290.454453
17216.057358,1000,309.501237
21299.184082,1000,328.502246
19614.584539,1000,347.708017
20037.905285,1000,366.979061
24381.566672,1000,386.835913
23439.018053,1000,405.898767
25337.516579,1000,425.173586
27642.225504,1000,444.086651
29735.42601,1000,463.105877
29880.794825,1000,481.588344
40374.833527,1000,500.055732
39638.613284,1000,517.804568
43011.485574,1000,536.500516
49667.092192,1000,554.342708
57930.174422,1000,572.201688
58403.334988,1000,589.591197
70887.221046,1000,607.519003
75953.766408,1000,625.398347
72671.71752,1000,643.087905
79025.63338,1000,660.834364
83576.332613,1000,678.444465
85056.949698,1000,696.209076
84414.405042,1000,713.867069
86737.009503,1000,731.501803
90020.838465,1000,749.074976
87389.979528,1000,766.981347
91071.997014,1000,784.63321
94198.381651,1000,802.395965
91964.813627,1000,820.289607
95006.584928,1000,838.311972
96732.961332,1000,856.193875
100208.719231,1000,873.832796
101417.282146,1000,891.542385
108126.126605,1000,909.314952
105524.106739,1000,926.762354
112264.581212,1000,944.125341
112430.850644,1000,961.427407
113616.216733,1000,979.036068
114279.683301,1000,996.674301
109291.46673,1000,1014.200052
105223.557207,1000,1031.971114
91348.542555,1000,1049.507495
112412.395746,1000,1067.313344
118168.930137,1000,1085.340995
118664.520106,1000,1103.294288
119790.68721,1000,1120.641578
119617.128581,1000,1138.700513
118747.366585,1000,1156.414369
122025.81702,1000,1174.098475
122026.378829,1000,1191.548119
121886.416958,1000,1209.626481
122022.332061,1000,1226.904443
123528.89685,1000,1244.323445
124036.421756,1000,1261.597946
121973.8867,1000,1279.335557
124380.915717,1000,1296.682798
123789.069466,1000,1314.270451
124244.511451,1000,1332.356795
123703.163617,1000,1349.658121
120426.327143,1000,1368.143195
121842.208148,1000,1385.818165
119937.081425,1000,1404.462292
123118.981958,1000,1422.088958
121459.736261,1000,1439.832623
123476.347574,1000,1457.306001
121985.490718,1000,1474.588443
122580.763448,1000,1491.839496
123103.740866,1000,1509.466949
122460.996391,1000,1526.924915
123252.151448,1000,1544.351776
122422.003364,1000,1561.695808
122682.376409,1000,1579.448258
121133.76932,1000,1596.944875
123709.543478,1000,1614.569338
123237.77486,1000,1631.780876
121807.886261,1000,1649.383468
123666.565785,1000,1666.82443
123934.629429,1000,1684.095895
124152.077499,1000,1701.382068
124245.33428,1000,1719.169468
123880.89882,1000,1736.838798
121354.552488,1000,1754.740144
123717.423978,1000,1772.493989
124676.141524,1000,1790.008423
123938.590722,1000,1807.806959
123782.042642,1000,1825.420405
123027.871574,1000,1842.883271
123467.348152,1000,1860.190048
123830.151076,1000,1877.689474
121712.569138,1000,1895.058995
122943.18721,1000,1912.359702
121689.426206,1000,1929.564339
121922.287202,1000,1947.390902
123955.964504,1000,1964.846985
124121.069316,1000,1981.908737
122720.823307,1000,1999.00878
122266.56048,1000,2016.32672
122406.622814,1000,2033.314126
123333.920422,1000,2050.322912
122864.745977,1000,2067.20343
122120.391262,1000,2084.469664
124017.375666,1000,2101.471641
123727.016595,1000,2118.25735
125819.773465,1000,2135.583255
123483.923484,1000,2152.643311
123231.764355,1000,2169.584874
123325.779485,1000,2186.507253
124527.102228,1000,2203.638619
123801.189186,1000,2220.424131
