#{"t_start": 1583778206.2043045, "env_id": "my_panda_free_space_traj"}
r,l,t
804.893785,1000,23.071902
2204.754398,1000,39.226426
2620.762453,1000,55.05788
2958.393695,1000,70.845041
5354.876251,1000,87.206496
7610.705578,1000,105.098974
9584.302915,1000,123.416994
10705.693708,1000,141.659065
11888.845616,1000,160.133113
13665.548152,1000,179.439111
12518.855229,1000,198.725587
14841.656587,1000,218.034301
16918.840649,1000,236.75115
15647.281288,1000,256.097123
17991.938193,1000,274.689478
21026.475486,1000,293.537675
20755.051337,1000,311.986089
23942.13529,1000,330.188385
22291.931767,1000,347.808371
25254.760872,1000,365.871463
25669.626585,1000,383.969214
26025.649975,1000,402.050679
28970.826925,1000,419.662504
29457.336572,1000,437.782342
30735.778091,1000,455.501139
34822.549795,1000,473.487688
35656.543007,1000,491.008532
37311.61251,1000,508.856431
37988.68645,1000,526.574743
40810.920728,1000,544.726199
41673.656514,1000,562.404009
41233.014445,1000,580.709092
44166.498617,1000,598.17382
45980.563654,1000,615.971177
42157.471276,1000,633.48215
49800.035978,1000,651.471632
46955.38163,1000,668.923084
46930.344213,1000,686.75534
48979.014163,1000,704.544614
44876.580557,1000,722.25413
47371.318575,1000,739.949553
43454.317488,1000,757.629214
50414.178942,1000,775.069455
54443.712214,1000,792.90505
56914.560048,1000,810.620508
51751.866959,1000,827.981014
58077.457805,1000,845.463334
52628.408843,1000,863.408074
55779.449913,1000,881.24046
56959.792045,1000,898.788156
60015.371496,1000,916.579954
65666.93375,1000,934.216817
65308.782239,1000,952.16262
67293.247895,1000,969.744652
64470.721257,1000,987.868215
60684.603211,1000,1005.902459
70253.911297,1000,1024.039562
67377.815131,1000,1041.670943
72398.218104,1000,1059.485331
71447.037188,1000,1077.126561
77965.216201,1000,1094.973093
71032.769162,1000,1112.431391
78142.709516,1000,1130.075444
83917.997093,1000,1147.805928
82631.07974,1000,1165.693979
86081.222639,1000,1183.330734
88600.386569,1000,1200.862526
90386.620758,1000,1218.273031
90726.890732,1000,1236.375122
96310.953573,1000,1254.408238
87997.024387,1000,1272.397195
98262.148903,1000,1290.262026
101014.911749,1000,1308.036687
104149.151484,1000,1326.042992
106291.222341,1000,1343.572491
109688.267523,1000,1360.993906
107801.069729,1000,1378.499162
106485.346483,1000,1396.191896
112556.466342,1000,1413.577997
112145.647189,1000,1430.680648
115789.850371,1000,1448.01829
117333.406845,1000,1465.354069
115981.119109,1000,1482.593406
117841.378166,1000,1499.826853
120436.932708,1000,1516.981205
120859.057751,1000,1534.5519
119605.853188,1000,1552.045112
121837.352003,1000,1569.746176
121245.171896,1000,1587.251417
123938.315875,1000,1604.723123
123088.995515,1000,1622.491134
124307.206259,1000,1639.641341
125197.681569,1000,1656.855475
123046.070856,1000,1673.954592
124737.146824,1000,1691.287386
122550.066067,1000,1708.514739
125342.748006,1000,1725.802187
124422.352678,1000,1743.417294
124433.873193,1000,1761.686817
124869.272802,1000,1779.163213
125392.105808,1000,1796.243999
125022.276768,1000,1813.425328
124859.849004,1000,1830.80303
124422.165928,1000,1848.108952
125423.477741,1000,1865.143827
124758.689099,1000,1882.431564
102832.196285,1000,1899.705337
122248.014533,1000,1917.289923
123435.824321,1000,1934.075652
125610.937368,1000,1951.309991
124593.257839,1000,1968.76651
125686.849618,1000,1985.990612
125012.153243,1000,2002.892247
125236.426888,1000,2020.272445
124756.258386,1000,2037.487003
99514.142892,1000,2054.848811
124570.917408,1000,2071.897747
123398.508512,1000,2089.322722
123585.044274,1000,2106.349334
122742.52069,1000,2124.008083
122285.953919,1000,2141.263803
124581.032568,1000,2158.612756
124775.434839,1000,2175.826895
125387.443984,1000,2193.170932
125704.711632,1000,2210.365668
