#{"env_id": "my_panda_free_space_traj", "t_start": 1583778193.081582}
r,l,t
661.578538,1000,23.004228
688.628786,1000,39.435705
2076.895275,1000,55.596397
2832.976476,1000,71.486677
4305.990065,1000,88.214955
7653.100342,1000,105.643554
10563.001393,1000,123.857437
11964.271891,1000,141.630843
13035.498705,1000,160.087174
16441.005599,1000,178.278451
14658.991867,1000,196.790452
22334.027111,1000,214.65007
20206.642458,1000,232.810078
25221.607791,1000,250.790084
25230.34903,1000,269.145127
27704.054748,1000,287.079452
30722.978469,1000,305.563143
29320.335489,1000,323.669274
34028.529833,1000,342.196942
34299.322294,1000,360.382216
42066.295901,1000,379.248741
38717.394158,1000,397.002138
47009.390494,1000,414.805972
51045.450155,1000,432.402127
52775.303088,1000,450.596296
51084.210805,1000,468.714091
50721.222306,1000,486.699736
58412.089956,1000,504.494941
60587.20779,1000,522.223686
56476.469236,1000,540.033452
59658.284147,1000,557.977146
59557.109674,1000,575.653549
68869.755494,1000,593.409351
70837.148692,1000,611.490192
64252.338759,1000,629.274735
70580.864668,1000,647.226894
69685.556986,1000,665.16971
72859.02588,1000,683.562361
68920.798445,1000,701.346047
76360.411143,1000,719.115013
77910.732911,1000,737.104605
82947.798565,1000,755.264653
86534.380877,1000,773.064555
84262.709036,1000,790.894791
89709.433159,1000,808.960972
90011.263199,1000,826.930818
83428.849719,1000,845.238464
91792.67868,1000,863.162643
90250.387919,1000,881.071617
96214.666118,1000,898.893188
100361.069717,1000,916.831867
100141.944258,1000,934.559807
97801.434792,1000,952.269576
101015.52259,1000,970.0207
98926.727892,1000,987.883827
102100.728924,1000,1005.642347
108060.152641,1000,1023.267902
110167.214925,1000,1040.862802
109419.656347,1000,1058.540571
105938.077935,1000,1076.111863
105366.457636,1000,1093.609936
106443.654373,1000,1111.381943
106583.89284,1000,1129.230471
110566.198633,1000,1147.028336
113674.961149,1000,1164.690255
111074.288012,1000,1182.375093
112856.561535,1000,1199.617615
111714.609787,1000,1217.607685
114402.191231,1000,1235.314237
109653.034532,1000,1252.975399
113539.185897,1000,1270.704684
113198.002808,1000,1288.503367
116177.444966,1000,1305.950652
118893.197197,1000,1323.370673
117741.861177,1000,1340.908695
119383.070684,1000,1358.624932
121612.729416,1000,1375.871884
117927.077165,1000,1393.107824
116630.194367,1000,1410.469051
120155.171894,1000,1428.483155
121897.47763,1000,1446.008094
123558.332278,1000,1463.909703
123151.44896,1000,1481.529891
122260.953839,1000,1499.538821
124146.248807,1000,1516.72808
121294.277096,1000,1534.236486
123336.546868,1000,1551.564301
124531.524472,1000,1569.369877
124223.624718,1000,1587.073169
123216.570119,1000,1604.922473
119399.781277,1000,1622.342193
119111.241586,1000,1640.094899
122997.86137,1000,1657.981853
120220.543043,1000,1675.273847
118698.02495,1000,1692.597607
122295.889822,1000,1710.411372
122137.198232,1000,1728.209593
123625.637446,1000,1745.716489
122068.719094,1000,1762.818007
124601.156823,1000,1780.949579
122840.812707,1000,1798.410676
122833.85952,1000,1815.953022
123170.617494,1000,1833.090703
121110.288884,1000,1850.496461
121519.607935,1000,1867.886401
124630.292343,1000,1885.501028
120803.28799,1000,1903.091556
123196.430026,1000,1920.68913
122072.143126,1000,1937.933571
123860.499233,1000,1955.835085
124533.451651,1000,1973.021384
125791.691144,1000,1990.237125
123730.450621,1000,2007.793531
119134.569518,1000,2025.512902
124382.451862,1000,2042.993576
123677.661401,1000,2060.286583
121395.7266,1000,2077.857326
124757.617736,1000,2094.984525
123232.077921,1000,2112.396976
123568.652309,1000,2129.834117
123417.888887,1000,2147.139231
123322.010102,1000,2164.540347
124887.121325,1000,2181.80621
124610.93044,1000,2198.739151
124635.616861,1000,2216.109838
