#{"env_id": "my_panda_free_space_traj", "t_start": 1584881303.319617}
r,l,t
208.089685,500,15.630395
233.959116,500,25.272838
252.357008,500,35.212247
343.655223,500,44.81121
221.804611,500,54.869327
245.044446,500,64.240155
302.428816,500,74.064409
386.841624,500,83.393713
275.1438,500,92.758153
539.365217,500,102.487399
497.072631,500,111.690806
1108.494615,500,121.308733
1388.863074,500,130.339394
1615.274156,500,139.317847
1475.315725,500,148.690441
1942.666025,500,157.53344
1581.636255,500,166.908157
1665.636948,500,175.870901
2315.483715,500,185.451693
2687.61159,500,194.83672
3581.948153,500,204.344243
3123.351086,500,214.362254
3033.019114,500,224.128074
3492.25535,500,234.577627
3928.083681,500,244.921837
8526.054557,500,255.128771
7619.473547,500,265.705687
7539.991507,500,275.903813
8820.528653,500,286.745412
9592.630859,500,297.288239
11060.664732,500,308.206539
10381.778558,500,318.71119
14378.328798,500,329.135457
14924.293566,500,339.925474
15235.269136,500,350.262061
14278.321307,500,361.092947
17109.259509,500,371.547612
14818.309487,500,381.683987
20132.31917,500,392.108613
21330.494353,500,402.065166
21134.309465,500,412.495515
19373.41401,500,422.507764
19964.791596,500,432.965949
21363.356274,500,443.080065
24220.420439,500,452.980983
23033.138515,500,463.389348
22815.02622,500,473.333178
24476.365185,500,483.489017
26615.077528,500,493.34049
23774.69945,500,503.150194
27403.793319,500,513.265255
28810.473009,500,523.060913
31880.562017,500,533.365893
25491.879145,500,543.247849
28179.822177,500,553.457602
30978.557895,500,563.187705
33184.685595,500,572.953581
33067.542256,500,583.138463
28627.806009,500,593.038937
32511.395301,500,603.288281
33746.721142,500,613.067067
32493.944046,500,622.95872
34290.065699,500,633.326777
34473.793008,500,643.058438
35099.447585,500,653.287502
35083.955522,500,663.001488
31563.554004,500,673.288672
36978.260178,500,682.991344
32336.870315,500,692.768081
38653.845748,500,702.898684
35834.049436,500,712.667018
37049.42288,500,722.777306
35935.897665,500,732.400021
38068.148851,500,742.033234
34869.645502,500,752.062034
38689.292909,500,761.730475
41106.552864,500,771.916384
39206.873082,500,781.440007
41027.715466,500,791.485967
41723.159616,500,800.998773
38195.436647,500,810.629412
39836.518411,500,820.679945
38862.569516,500,830.309923
39793.351959,500,840.223985
37924.320275,500,849.780015
39968.390048,500,859.432644
41191.495623,500,869.432446
42504.045085,500,878.871993
39649.472631,500,889.012079
40913.373982,500,898.538492
41775.149789,500,908.503937
39090.774139,500,918.014776
44580.994169,500,927.559628
41024.80089,500,937.594797
44068.654763,500,947.133077
43701.235801,500,957.03352
47958.153701,500,966.589262
40777.265313,500,976.17949
44439.457062,500,986.138035
40718.170255,500,995.734537
43176.584572,500,1005.816802
42954.542905,500,1015.386755
43135.124211,500,1025.437731
43378.609484,500,1035.032722
43573.535506,500,1044.690026
45644.83003,500,1054.754032
43243.591991,500,1064.389786
44750.60646,500,1074.49381
41355.906328,500,1084.165476
46112.062122,500,1093.739399
44280.485946,500,1103.869259
44569.032351,500,1113.523061
42605.656323,500,1123.629717
41814.554179,500,1133.423743
44202.853128,500,1143.603119
42732.728409,500,1153.306149
44978.017632,500,1163.006024
44208.161171,500,1173.040498
42402.077915,500,1182.713363
45509.917561,500,1192.731956
40082.833759,500,1202.329422
44385.244247,500,1211.953776
44800.608597,500,1221.996331
42911.375725,500,1231.557148
