#{"t_start": 1584885977.9938498, "env_id": "my_panda_free_space_traj"}
r,l,t
250.690297,500,16.418648
140.252424,500,26.962746
212.86994,500,37.042518
167.563056,500,47.125609
185.166495,500,57.137013
374.889474,500,67.339504
261.744754,500,77.205538
415.303143,500,87.129799
363.438656,500,97.293535
901.536181,500,107.128474
928.350984,500,116.839661
1310.149153,500,126.40392
1389.482528,500,136.170233
1696.110121,500,145.809628
1602.611288,500,155.768864
2123.638189,500,165.548044
2258.016044,500,175.385387
2585.188758,500,185.425431
3342.300848,500,195.862395
4287.930295,500,206.366352
4485.0248,500,217.025824
6657.062413,500,227.879789
5098.16397,500,238.567683
5819.898735,500,249.293231
6037.069877,500,260.101073
6165.019458,500,271.234416
6934.24793,500,282.092693
6043.26693,500,292.955429
8064.756397,500,304.028459
8140.323512,500,314.88145
7663.879547,500,325.783729
7677.664342,500,336.656579
11095.548728,500,347.196908
8034.364068,500,357.743218
10027.36386,500,368.291365
10394.947748,500,379.068327
10005.88977,500,389.599469
9701.361201,500,400.158351
11797.812402,500,410.880096
13502.772232,500,421.290286
12678.614318,500,431.791759
14461.945414,500,442.304355
11003.59559,500,452.895562
16655.045788,500,463.305107
15050.77169,500,473.889067
14808.841195,500,484.252402
16636.689943,500,494.640012
15299.703613,500,504.968648
19405.331981,500,515.568636
16254.283596,500,525.986825
18568.771573,500,536.418631
19514.445242,500,547.022089
18521.32304,500,557.627453
20270.546795,500,568.244957
20940.732009,500,578.784828
21070.765091,500,589.536119
20793.317681,500,600.071023
20966.699817,500,610.692221
25039.114123,500,621.448686
24135.990767,500,631.990202
24537.123943,500,642.432173
24783.696167,500,652.942566
24284.960122,500,663.248312
26658.862491,500,673.518718
28065.071602,500,683.915721
30701.671048,500,694.376604
27960.184219,500,704.597833
28056.586285,500,714.833099
27327.54365,500,725.435388
27591.617938,500,735.667117
26657.101579,500,745.944273
27668.894377,500,756.180368
30340.274873,500,766.641641
31235.970778,500,776.938166
31909.005223,500,787.459507
31153.870675,500,797.784295
30656.229112,500,808.122334
32282.368198,500,818.502284
33952.07269,500,829.021588
32968.708757,500,839.29156
35267.12489,500,849.569695
33666.512295,500,860.029404
35228.221752,500,870.273859
33006.040125,500,880.524321
34541.221877,500,890.819766
37447.647729,500,901.237832
31621.900808,500,911.490796
36342.562415,500,921.667088
34437.846796,500,932.129574
35056.252409,500,942.408139
35118.792535,500,952.626797
37445.862935,500,963.05653
37809.091399,500,973.264645
34045.146478,500,983.443952
34544.323896,500,993.696995
37065.792599,500,1004.145884
37779.012214,500,1014.331978
38287.223864,500,1024.542572
39916.719901,500,1034.990859
36607.7924,500,1045.25227
39336.976279,500,1055.48309
39963.047715,500,1065.716786
37915.236335,500,1076.084122
36362.625984,500,1086.25623
41778.684606,500,1096.726773
38683.706199,500,1106.933436
40302.596962,500,1117.136371
40961.973958,500,1127.35957
37653.224523,500,1137.729192
39961.917419,500,1147.945508
39903.208259,500,1158.144854
39673.058396,500,1168.552904
36944.540485,500,1178.740634
38339.268374,500,1188.898343
39407.754754,500,1199.100383
36338.14183,500,1209.477208
40215.911119,500,1219.68541
38171.255445,500,1229.911363
41977.373472,500,1240.365367
41080.842066,500,1250.570403
40956.0023,500,1260.741912
37131.520358,500,1271.139775
39895.548243,500,1281.350385
40420.845579,500,1291.665376
