#{"env_id": "my_panda_free_space_traj", "t_start": 1584914457.2466242}
r,l,t
187.29417,500,16.64289
306.646298,500,26.853831
393.99187,500,37.389764
320.10069,500,47.387759
412.860617,500,57.490259
329.998512,500,67.741128
319.089734,500,77.742826
538.958721,500,87.652546
587.181423,500,97.339287
1160.160798,500,107.236642
1794.612881,500,116.792616
1508.932651,500,126.673551
1715.269508,500,136.337714
1734.830747,500,146.131994
2174.260667,500,156.032185
1854.211524,500,166.143531
2735.266052,500,176.185485
2136.411038,500,186.240777
3101.769183,500,196.649104
3578.338151,500,207.049801
3613.324191,500,217.522918
3401.220505,500,227.960646
3151.651871,500,238.606508
3854.231321,500,249.141137
3269.200144,500,259.662516
3565.079033,500,270.345867
3697.747809,500,280.879559
4452.951003,500,291.522002
4895.614955,500,302.402588
4335.196654,500,313.059664
3874.945729,500,323.891043
5959.202648,500,334.653413
6365.205912,500,345.68065
4207.159738,500,356.530819
4737.391119,500,367.322235
6335.464033,500,378.311585
6255.568585,500,389.023798
5863.42353,500,399.742507
5797.622906,500,410.457979
6428.286727,500,421.435445
5866.655125,500,432.119966
7514.443039,500,443.175076
7027.459723,500,453.896974
6463.764583,500,464.663045
7893.27747,500,475.537939
6497.541801,500,486.480424
9537.969905,500,497.205153
8431.867882,500,507.909085
8583.685922,500,518.968735
10135.830288,500,529.780295
9558.453936,500,540.519546
8064.191152,500,551.210329
10533.702759,500,562.111505
10076.605712,500,572.762069
10465.950678,500,583.563657
10042.418021,500,594.46295
11951.224187,500,605.198863
11633.893167,500,615.938229
10612.715294,500,626.990983
10075.54307,500,637.807261
13394.718001,500,648.468136
12096.067085,500,659.182383
13043.742367,500,670.076618
12450.677129,500,680.69556
11845.666526,500,691.338987
12855.92586,500,702.028834
16599.584513,500,712.474982
15407.478661,500,722.911483
14329.941095,500,733.278073
15192.981687,500,743.849373
16655.003274,500,754.218395
17474.446177,500,764.965647
16724.420246,500,775.36669
17001.606514,500,785.81647
20586.021143,500,796.139025
16308.619996,500,806.697948
18084.267152,500,817.018603
20307.55004,500,827.356161
21893.835624,500,837.930077
21270.935458,500,848.346762
18578.049182,500,858.715307
23306.803955,500,869.087969
22893.633957,500,879.625783
23561.082457,500,890.01884
23045.89729,500,900.503412
22502.808769,500,911.094815
23205.908415,500,921.496952
23601.685799,500,931.760255
25493.624571,500,942.375071
26828.10321,500,952.705125
25652.035707,500,963.076665
26221.495046,500,973.35921
27523.916788,500,983.916926
24427.006537,500,994.301085
29421.584608,500,1004.545054
28180.180301,500,1015.070664
27383.438463,500,1025.426189
29459.299103,500,1035.702682
28090.266606,500,1046.060607
30343.728709,500,1056.530984
27782.111223,500,1066.83092
29553.966683,500,1077.343433
30289.931641,500,1087.647715
31508.073436,500,1097.970749
28721.275009,500,1108.205752
33985.862966,500,1118.565993
33691.723989,500,1128.763255
30450.675232,500,1138.972519
41244.980294,500,1149.452134
33904.108004,500,1159.689195
33424.768173,500,1169.81176
36472.317277,500,1179.997331
39514.222402,500,1190.409338
37595.301316,500,1200.563348
36002.470796,500,1210.766792
38243.044195,500,1221.337712
39064.616289,500,1231.478449
40035.285315,500,1241.641782
38553.925891,500,1252.008518
39515.796388,500,1262.26738
41076.566468,500,1272.39753
44989.253733,500,1282.519006
43008.429598,500,1292.946913
38686.22617,500,1303.336452
