#{"t_start": 1584956635.0217366, "env_id": "my_panda_free_space_traj"}
r,l,t
160.567359,500,15.21434
357.011876,500,24.624738
139.472366,500,34.062367
182.456292,500,43.367259
176.395099,500,52.845769
352.957505,500,61.954268
327.010432,500,71.195987
424.746389,500,80.539761
870.592594,500,89.776789
962.234798,500,98.968837
1316.012061,500,108.279612
2228.004194,500,117.441602
2374.297069,500,126.767487
2203.814484,500,136.419827
3421.879472,500,145.915452
3228.048934,500,155.672176
3138.541676,500,165.43117
3349.348629,500,175.439097
4815.022759,500,185.180732
4855.196074,500,195.049916
4781.317442,500,204.983977
5808.733752,500,215.158964
5121.885439,500,225.221033
5148.52627,500,235.549225
6543.597424,500,245.725221
7269.455626,500,255.840208
7983.561323,500,265.737318
7546.987064,500,275.736525
5062.975104,500,285.53026
7493.752793,500,295.519282
7392.120999,500,305.889512
8965.078426,500,316.038812
9570.51818,500,326.174875
7372.986527,500,336.271554
7592.223038,500,346.527908
8865.329333,500,356.722224
7373.193856,500,366.819535
8424.353034,500,377.177602
8799.918912,500,387.322402
8558.471748,500,397.386579
8473.751874,500,407.683723
7745.700326,500,417.880304
8658.814949,500,428.053981
8604.725374,500,438.348442
8396.870452,500,448.41187
9845.884482,500,458.410412
7366.503147,500,468.405174
10416.57971,500,478.730984
9847.729046,500,488.822562
8143.162358,500,498.856524
8008.970336,500,508.994877
9019.92545,500,519.364911
8766.643733,500,529.564957
9321.144528,500,539.847537
10188.850646,500,550.014434
8649.774992,500,560.186159
8611.462167,500,570.375475
8743.870424,500,580.616611
9110.997139,500,590.72799
8662.589609,500,600.966208
8334.949388,500,611.424528
9270.948728,500,621.56938
7900.332899,500,631.704218
8727.45786,500,641.873171
8286.397341,500,652.277964
8488.727681,500,662.334931
8608.293795,500,672.477119
9719.783971,500,682.974061
8369.336575,500,693.257447
9729.838611,500,703.427266
8950.032148,500,713.782508
9220.157318,500,723.793707
8576.974404,500,733.929876
10974.698365,500,744.252032
10118.53126,500,754.366508
10441.044862,500,764.476714
9003.962899,500,774.550057
10314.082102,500,784.774515
10154.079437,500,794.879013
9882.030148,500,804.931054
11669.922467,500,814.97056
10613.552333,500,825.150675
8722.478447,500,835.127815
10107.94102,500,845.495987
9064.628066,500,855.464451
11095.775182,500,865.529758
9864.733152,500,875.495205
9637.25108,500,885.654446
11208.019626,500,895.635236
10002.374559,500,905.671256
9255.719586,500,916.075642
10852.853395,500,926.137217
10308.132137,500,936.291482
9614.282006,500,946.383356
9333.338642,500,956.707243
9489.673667,500,966.80889
9228.853865,500,977.108779
9980.978794,500,987.62853
9768.16116,500,997.73728
9307.967423,500,1007.909083
11128.478063,500,1018.265627
9430.041759,500,1028.666086
13406.484662,500,1038.811255
10133.341669,500,1049.143601
12067.910208,500,1059.312934
11729.499635,500,1069.439033
10771.569371,500,1079.658184
10147.877884,500,1089.949365
9665.056831,500,1099.98681
10406.930797,500,1110.038995
10487.923418,500,1120.129654
11526.188076,500,1130.27773
11740.603848,500,1140.410442
12266.8931,500,1150.709704
12489.548388,500,1160.771202
10423.151827,500,1170.842109
11049.766317,500,1180.876688
11489.538031,500,1191.140316
11338.744536,500,1201.205267
12116.918697,500,1211.459487
12604.405359,500,1221.890576
11174.679439,500,1231.99364
11039.979198,500,1242.02482
12117.540475,500,1252.353323
