#{"env_id": "my_panda_free_space_traj", "t_start": 1584900283.6161776}
r,l,t
253.197687,500,17.19066
166.854493,500,27.429012
199.697154,500,37.614972
231.999878,500,47.895225
366.653911,500,58.383153
273.147039,500,68.690508
264.576114,500,78.71483
294.830656,500,88.891971
474.199899,500,98.96552
1149.25952,500,108.798681
1641.379996,500,118.550814
1375.781967,500,128.553182
2364.238611,500,138.350149
1461.827344,500,148.083957
1918.321633,500,158.238243
2348.843339,500,168.320114
2704.184434,500,178.54548
2906.519508,500,189.225229
3450.230181,500,199.718264
4965.67835,500,210.560002
4923.846725,500,221.400661
6730.998419,500,232.574417
6236.321875,500,243.495721
6306.880673,500,254.342393
7268.254978,500,265.044377
8582.936787,500,275.471573
6812.850876,500,286.10729
6993.407939,500,296.6912
9627.100836,500,307.352309
7798.488456,500,317.925303
9857.925895,500,328.369268
12238.390527,500,339.047286
11378.354884,500,349.509426
13423.790297,500,359.769165
14667.481026,500,370.298488
14745.55181,500,380.853416
10403.695364,500,391.287011
11765.923963,500,401.866197
16317.398448,500,412.216025
15442.642981,500,422.527092
13845.724646,500,432.876836
15955.850899,500,443.447281
20001.374205,500,453.690577
16470.952891,500,464.05385
21987.777626,500,474.59966
18165.510325,500,484.845849
18423.873036,500,495.105622
19077.23388,500,505.527241
21878.225276,500,515.895053
22954.845362,500,526.171771
23398.390103,500,536.395741
25084.328171,500,546.877905
23751.839914,500,557.193355
25233.298777,500,567.456086
26950.527675,500,577.92414
24421.614811,500,588.150865
26506.688143,500,598.406309
28548.204741,500,608.599021
28720.774702,500,619.052856
27755.740132,500,629.279369
30281.4319,500,639.702592
28130.192038,500,650.216838
31020.051289,500,660.587842
30921.144447,500,670.812881
30825.2491,500,681.26194
32282.19765,500,691.397234
32647.512601,500,701.553266
32329.754684,500,711.912983
36535.348377,500,722.132828
37192.031534,500,732.290248
34867.369588,500,742.555955
35272.474374,500,752.992026
37550.338528,500,763.119196
36109.89051,500,773.190662
39052.660329,500,783.480425
39473.351352,500,793.609413
39814.15972,500,803.803074
41105.425515,500,814.086838
40877.495097,500,824.135857
40778.156589,500,834.211355
37891.412927,500,844.278975
43577.005368,500,854.529001
42946.788581,500,864.564756
41793.119996,500,874.639245
44301.317974,500,884.919858
43099.223446,500,895.016446
46229.975117,500,905.117498
43567.857975,500,915.145445
44109.540538,500,925.436093
46247.795592,500,935.53598
45479.007398,500,945.60209
47097.31415,500,956.080292
44390.726313,500,966.261568
48126.054076,500,976.393816
46398.453759,500,986.783133
46792.265309,500,997.073113
47697.824375,500,1007.262959
45107.461311,500,1017.621634
47117.178778,500,1027.770571
47872.642408,500,1037.89068
49706.578939,500,1048.020714
47069.751899,500,1058.320788
47848.012306,500,1068.396772
49653.508086,500,1078.492486
50785.730974,500,1088.852511
47461.368366,500,1099.122244
49870.452439,500,1109.214308
51493.542375,500,1119.465405
50796.241806,500,1129.725201
56384.221806,500,1139.831966
52131.053514,500,1149.967563
53398.437593,500,1160.224694
54430.734784,500,1170.251791
53020.782273,500,1180.520367
51656.420224,500,1190.763663
52183.088276,500,1200.788679
54512.339675,500,1210.832242
53380.690653,500,1220.857799
55532.448795,500,1231.07893
56147.530684,500,1241.119945
54941.93743,500,1251.198878
56260.470914,500,1261.479207
56402.583514,500,1271.546752
56580.747098,500,1281.566387
