#{"t_start": 1584965303.8862453, "env_id": "my_panda_free_space_traj"}
r,l,t
282.940485,500,15.089894
200.340402,500,24.743699
281.490024,500,34.239181
98.27363,500,43.844648
164.118647,500,53.559623
188.910488,500,62.938062
209.891664,500,72.278898
255.556174,500,81.787336
346.076412,500,91.10009
398.224849,500,100.586235
457.946934,500,110.120744
646.601241,500,119.487211
922.156488,500,128.68515
1213.149941,500,138.019458
1495.628091,500,147.138172
1511.74615,500,156.143239
1716.425298,500,165.13334
1756.563201,500,174.316274
2052.81304,500,183.340943
2759.666114,500,192.59317
2787.451485,500,201.869913
2380.757341,500,211.441562
2369.583254,500,220.901313
3096.422194,500,230.57313
2870.84282,500,240.191263
3138.156592,500,249.827054
3863.898932,500,259.521815
3225.016929,500,269.44103
4368.143251,500,279.273201
4887.959778,500,289.140882
4934.185763,500,299.292571
5907.657176,500,309.186751
6866.840142,500,319.252566
5590.826695,500,329.190109
6525.770929,500,339.459863
7254.953161,500,349.409419
7710.064148,500,359.258142
7970.646765,500,369.37153
7925.148032,500,379.328038
9986.504749,500,389.215586
8232.307112,500,399.397846
9431.873174,500,409.244174
8506.316941,500,419.056095
10325.190792,500,429.132374
9624.789702,500,439.071407
10792.433439,500,448.982874
9719.440777,500,458.801242
8429.495061,500,468.793309
8901.975323,500,478.681734
9845.325497,500,488.654018
9733.761904,500,498.539054
11327.654852,500,508.681065
12068.911319,500,518.497775
10976.346734,500,528.61083
10705.562806,500,538.429086
10877.726739,500,548.121429
12119.740737,500,557.937281
12239.541654,500,567.951759
12647.030758,500,577.694568
11178.221759,500,587.587029
12820.754148,500,597.628046
12229.668325,500,607.406398
12580.49288,500,617.286607
11243.145976,500,627.088741
11882.21411,500,637.084004
12356.747781,500,646.877304
13718.322634,500,656.654053
11855.084703,500,666.588194
13835.075258,500,676.283509
14727.735576,500,685.91341
13560.017322,500,695.718449
13051.235466,500,705.372122
14426.5043,500,715.173593
12605.034026,500,725.206994
12962.70321,500,735.000192
15757.145686,500,744.785672
14497.540422,500,754.559758
14352.517126,500,764.561571
13858.414101,500,774.500185
13242.76025,500,784.418495
12311.861348,500,794.315747
14977.225809,500,804.403278
14070.335702,500,814.354128
14150.52804,500,824.556752
12569.672921,500,834.482726
14928.79168,500,844.393377
16705.235748,500,854.235254
12733.82385,500,864.261397
15612.434094,500,874.154583
14377.174351,500,884.098506
14533.382469,500,894.084962
15809.459225,500,903.897149
14566.77961,500,913.679407
17753.491214,500,923.497047
16172.600856,500,933.526597
20162.220668,500,943.283904
18554.91533,500,952.991547
17614.014269,500,962.890214
15809.713969,500,972.663393
17530.237489,500,982.383057
17504.819452,500,992.434278
18829.684926,500,1002.119098
15992.76068,500,1012.041305
17208.547851,500,1022.153466
18177.584552,500,1031.994103
14225.055198,500,1041.830992
17706.17095,500,1051.667814
15448.864923,500,1061.712646
15819.394709,500,1071.583775
16600.482927,500,1081.406857
17636.476055,500,1091.336756
16046.248413,500,1101.298259
17079.780902,500,1111.144364
17758.233998,500,1121.185277
14723.01182,500,1130.959561
20736.370733,500,1140.749787
16312.269129,500,1150.592563
19933.418027,500,1160.54849
16224.903041,500,1170.436001
18299.456572,500,1180.340909
17738.209268,500,1190.32806
16123.374198,500,1200.024532
17254.107488,500,1209.755228
15817.182731,500,1219.440719
