#{"t_start": 1585771739.335331, "env_id": "my_panda_free_space_traj"}
r,l,t
181.402738,500,14.351107
130.386543,500,25.429603
196.831769,500,36.799835
311.761903,500,47.846794
250.465979,500,59.275878
242.482311,500,70.464373
246.962756,500,81.447303
210.024973,500,92.650442
152.928732,500,103.732443
156.03259,500,114.866762
321.580815,500,126.274603
183.216115,500,137.426637
173.46675,500,149.052648
191.639605,500,160.191658
236.423637,500,171.312047
293.130167,500,182.714308
213.959499,500,193.822937
163.586946,500,205.009135
149.818036,500,216.141008
191.612381,500,227.048275
195.354235,500,238.291097
127.66829,500,248.937731
168.371829,500,260.180411
229.627819,500,271.682651
294.639721,500,282.546975
155.284426,500,293.926206
205.770036,500,304.738837
285.683923,500,316.01845
149.931826,500,327.219463
137.832199,500,338.69741
147.537778,500,349.933659
177.990904,500,361.281968
140.660559,500,372.483887
155.366223,500,383.581173
225.036362,500,394.578846
246.955958,500,405.501023
151.63899,500,416.662175
166.862064,500,427.378363
230.076298,500,438.160602
201.445791,500,449.389349
123.5637,500,460.157865
237.872906,500,471.382336
293.443692,500,482.715124
172.798742,500,493.602822
193.505104,500,505.072503
136.27166,500,515.811027
143.094687,500,526.954383
292.979507,500,538.245885
205.214995,500,549.450944
273.95285,500,560.84377
204.825653,500,572.006593
212.711652,500,583.301183
196.088988,500,594.652589
199.506488,500,605.537772
196.324523,500,616.738486
179.981718,500,627.73847
149.260626,500,638.699979
207.748249,500,649.923173
152.11512,500,660.656875
383.685905,500,671.506053
191.70259,500,682.572221
167.905863,500,693.334981
198.654405,500,704.428114
225.723267,500,715.389792
212.20469,500,726.376669
284.557283,500,737.606595
226.30388,500,748.46784
273.54429,500,759.50823
215.527322,500,770.802308
184.937587,500,782.145035
177.980116,500,793.409351
240.50162,500,804.322305
320.262667,500,815.311335
252.664899,500,826.374933
309.068531,500,837.525033
292.295122,500,848.640425
362.591109,500,859.794189
180.510002,500,870.608319
508.311173,500,881.738137
343.796293,500,892.96489
313.31312,500,903.766733
333.599168,500,915.058986
383.201649,500,926.03987
604.293846,500,936.828086
376.241336,500,947.804259
787.802627,500,958.595897
516.11074,500,969.20275
666.40157,500,979.68461
549.635533,500,990.05047
862.626846,500,1000.743505
1089.506826,500,1011.215365
1077.392358,500,1021.981272
1067.715251,500,1032.375211
1182.72876,500,1042.687382
1151.378121,500,1053.130787
1406.679346,500,1063.430807
1340.5695,500,1073.592076
1261.247082,500,1084.361089
1311.763591,500,1094.492724
1417.140065,500,1105.234967
1723.253059,500,1116.096093
1582.914108,500,1126.822836
2120.158501,500,1137.737357
1870.672399,500,1148.725442
3419.557089,500,1159.641427
2292.270076,500,1170.819684
3330.521858,500,1181.658822
3547.190942,500,1192.980853
4463.692018,500,1204.281781
3574.469238,500,1215.55138
4252.72039,500,1227.086995
3836.843764,500,1238.34742
3777.218038,500,1249.06039
4715.504856,500,1260.654107
2428.707469,500,1271.8327
3110.570136,500,1283.186645
4045.038433,500,1294.323277
4751.738085,500,1305.440715
2386.414423,500,1316.827657
4454.235577,500,1327.982861
3543.105286,500,1339.121464
4265.157011,500,1350.641783
4100.932459,500,1361.734569
4101.493385,500,1373.062781
4567.499712,500,1384.116342
6057.504417,500,1395.345291
3864.010932,500,1406.602531
4839.33718,500,1417.469488
5481.562852,500,1428.705962
4618.629408,500,1439.861121
5937.365568,500,1451.037163
4208.058223,500,1462.339473
5759.512432,500,1473.438179
4919.465492,500,1484.524588
4629.906475,500,1496.046625
5186.033076,500,1506.740036
2396.521417,500,1518.053514
4226.48827,500,1529.037559
4928.563306,500,1540.133446
4142.064416,500,1551.144672
3930.127789,500,1562.332322
5121.357697,500,1573.288049
4843.190695,500,1584.529138
4846.836867,500,1595.652359
4801.156901,500,1606.800424
5112.810736,500,1617.949118
5023.729381,500,1629.197839
5209.251136,500,1640.443965
6239.007942,500,1651.471702
5326.962507,500,1662.602593
3842.299772,500,1673.689404
6028.036533,500,1684.669272
5271.932757,500,1695.865222
4370.960318,500,1706.77297
4387.699963,500,1717.949342
5592.297737,500,1729.490312
5866.662886,500,1740.537835
5784.965753,500,1751.799978
6512.194638,500,1763.220041
5093.744641,500,1774.427495
3879.442581,500,1785.601797
6077.301222,500,1796.489872
6199.529411,500,1807.538196
5106.483939,500,1818.473369
4801.78117,500,1829.479737
5545.95687,500,1840.523795
6785.395594,500,1851.681403
6288.24569,500,1862.672627
5426.839923,500,1873.88225
6153.168746,500,1885.044906
4542.660688,500,1896.191738
5258.398363,500,1907.432986
5299.924662,500,1918.520589
5529.169004,500,1929.116556
5001.845189,500,1940.354325
5804.812561,500,1951.380571
5457.762917,500,1962.915327
6144.252886,500,1973.994908
6499.471834,500,1985.254555
4649.761987,500,1996.800875
6327.605114,500,2007.615712
5837.749974,500,2018.837465
5278.358272,500,2029.755212
5437.977414,500,2040.845073
8101.368135,500,2052.228931
5871.66914,500,2063.220502
7255.310469,500,2074.224741
5698.229686,500,2085.424009
6427.452017,500,2096.46067
8004.180344,500,2107.750494
4700.451951,500,2118.746486
5042.894549,500,2129.54221
5308.405331,500,2140.89987
5000.776983,500,2152.086719
6193.815584,500,2163.367363
5908.076989,500,2174.4865
5152.827583,500,2185.465791
5727.016062,500,2196.813238
6317.790119,500,2207.960765
6929.915,500,2219.202008
6401.108726,500,2230.52578
5631.889713,500,2241.444493
6161.432686,500,2252.416653
6413.061175,500,2263.433846
6544.651146,500,2274.57668
6029.739522,500,2285.921098
5508.191107,500,2297.076301
6250.448558,500,2308.215637
7519.108696,500,2319.593625
7697.909098,500,2330.817858
8684.337177,500,2341.873214
7240.617023,500,2353.097746
6699.410077,500,2364.236234
6876.200624,500,2375.657621
7839.5703,500,2386.65699
7968.822632,500,2397.775218
7527.071638,500,2409.193701
8840.337015,500,2420.17236
6374.642485,500,2431.301803
9014.943944,500,2442.687721
7984.572989,500,2453.582614
8246.425681,500,2465.140245
7821.00615,500,2476.501609
7623.328748,500,2487.706308
8749.127018,500,2499.243447
7079.336428,500,2510.487267
8251.031868,500,2521.783515
8191.6854,500,2532.918666
9159.648342,500,2544.045389
8480.402341,500,2555.605311
9521.890965,500,2566.803413
9918.756579,500,2578.064208
7941.523935,500,2589.446264
9143.61239,500,2600.501096
8505.783506,500,2611.86001
9868.767078,500,2623.089214
8756.008753,500,2634.172225
8612.530221,500,2645.209079
10872.063821,500,2656.291483
9190.759412,500,2667.347918
10401.879933,500,2678.586757
10353.979509,500,2689.658386
8823.214511,500,2701.147894
10310.090381,500,2712.010707
9187.308522,500,2722.943348
9596.452694,500,2734.253419
10865.486795,500,2745.134462
11107.245423,500,2755.9326
9459.342703,500,2766.246347
