#{"env_id": "my_panda_free_space_traj", "t_start": 1585768258.62859}
r,l,t
212.147327,500,13.820516
244.697384,500,24.463479
167.887326,500,34.830311
236.070029,500,45.214045
197.408407,500,55.633059
447.894901,500,66.279328
245.443565,500,76.977119
172.967345,500,87.343488
201.670502,500,97.595198
234.296462,500,108.016205
172.782465,500,118.324386
258.045084,500,128.817998
190.236669,500,139.455971
166.849224,500,149.773813
228.993271,500,160.213606
345.51679,500,170.639397
193.081607,500,181.206562
234.922983,500,191.563852
300.999626,500,201.893906
234.82968,500,212.113971
111.261524,500,222.903967
144.263238,500,233.22034
157.941769,500,244.011476
263.596601,500,254.297295
241.110302,500,264.594094
224.094936,500,275.109013
176.007297,500,285.51
205.51781,500,296.348124
233.568283,500,306.463696
149.822879,500,316.590487
261.770045,500,327.30966
220.501326,500,337.689026
179.899079,500,347.818176
218.135036,500,358.107836
171.468428,500,368.229025
153.054637,500,378.576378
273.43299,500,388.889416
252.705336,500,399.306042
238.836142,500,410.018961
368.368132,500,420.260415
335.878384,500,430.347071
218.733796,500,440.67821
237.467401,500,450.686247
307.19603,500,460.968801
278.013363,500,470.984579
517.409719,500,481.046874
313.920302,500,491.234872
246.47695,500,501.170673
258.251435,500,511.190988
144.286413,500,521.434455
157.092441,500,531.454539
251.967927,500,541.841099
309.887831,500,552.032027
300.093094,500,562.232149
278.964348,500,572.552893
221.381191,500,582.452224
269.910663,500,592.389656
453.127916,500,602.516577
384.228207,500,612.476668
259.404594,500,622.62829
416.54777,500,632.532252
648.789864,500,642.373959
505.244208,500,652.817359
560.741274,500,663.039298
591.250823,500,673.290727
943.756837,500,683.662171
1237.150864,500,693.686379
1171.286053,500,703.994694
1968.559412,500,714.095409
1801.648998,500,724.060979
1324.791017,500,734.165655
1963.686437,500,744.150546
1980.978166,500,754.660553
2322.435767,500,764.996137
3033.868301,500,775.339712
2748.215315,500,786.164691
3245.855927,500,796.869213
2709.058176,500,807.275076
3110.917363,500,818.026211
3174.648721,500,828.509612
3246.103959,500,839.619607
2954.333247,500,850.642891
3610.101066,500,861.329511
3567.04455,500,872.630315
3440.680672,500,883.833393
3629.558095,500,895.072224
3384.746485,500,906.539105
3568.254624,500,917.721109
3602.195479,500,929.019923
3255.699777,500,940.349909
3860.012638,500,951.616889
3683.253756,500,962.965603
3519.945111,500,974.06988
3747.182091,500,985.283857
3465.301273,500,996.697017
3463.155591,500,1007.691953
3745.197663,500,1019.07284
3715.484859,500,1030.496656
3654.374916,500,1041.397819
3570.268279,500,1052.583216
3684.715839,500,1063.539614
4130.148633,500,1074.310817
3994.884042,500,1085.177138
3941.668427,500,1095.888445
3680.464917,500,1106.923919
3861.307859,500,1117.489693
4500.946687,500,1128.296998
4240.431476,500,1139.484959
3536.720919,500,1150.438797
3653.046442,500,1161.68964
