#{"t_start": 1585771722.4712393, "env_id": "my_panda_free_space_traj"}
r,l,t
318.336868,500,14.127295
147.629115,500,25.114456
159.001227,500,36.070358
350.199755,500,47.190219
166.496023,500,58.05
229.475013,500,68.867898
252.381958,500,79.811478
288.491699,500,90.610832
184.851595,500,101.792924
292.546113,500,112.711928
223.677784,500,123.71395
190.292191,500,135.015838
177.273103,500,146.049607
194.891434,500,157.060212
154.756306,500,168.13648
234.960903,500,179.15515
236.870835,500,190.454371
229.836812,500,201.38881
412.111871,500,212.708033
415.934888,500,223.53759
197.429273,500,234.599412
242.645193,500,245.590495
265.126491,500,256.626225
218.504773,500,267.634938
241.723412,500,278.736189
324.32819,500,289.636207
214.51075,500,301.020906
444.177568,500,311.96792
305.458191,500,323.07346
158.727562,500,334.211585
337.779568,500,345.209976
179.063671,500,356.144628
259.32821,500,367.185735
254.149302,500,378.019986
246.632521,500,389.129085
391.650761,500,399.840258
312.350755,500,410.538005
427.692464,500,421.472156
405.850394,500,432.338743
972.235083,500,443.108511
1339.410828,500,454.053348
1565.563893,500,465.044089
1791.216385,500,476.26089
2646.396748,500,487.609758
3258.78398,500,499.426187
3103.44137,500,511.771869
3715.621739,500,523.719454
3821.022021,500,535.482288
3594.687133,500,547.373725
3654.43723,500,558.864503
3488.535887,500,570.230721
3542.28743,500,581.665018
3556.839172,500,592.957575
3569.536032,500,604.407955
3346.470928,500,615.713666
3821.747124,500,627.143712
3803.050399,500,638.978814
4494.197709,500,651.049827
3322.706079,500,662.981584
3236.620664,500,674.675634
4216.586226,500,686.45574
3698.868127,500,698.331077
3869.809915,500,709.757419
4278.342539,500,721.417932
4067.583295,500,732.571495
3695.082289,500,744.446081
3544.581594,500,756.285024
4394.540237,500,768.68725
3775.192124,500,780.932886
4000.476919,500,793.542171
3685.264705,500,805.536084
3753.739697,500,818.12748
3833.075885,500,830.284856
3024.498888,500,842.693827
3417.966567,500,855.035813
4558.767886,500,866.484039
3743.81819,500,877.580549
4439.181542,500,889.007439
3964.823765,500,900.450394
4060.622019,500,912.182266
5316.211748,500,923.951357
3901.975657,500,935.442444
4361.329152,500,947.515342
3971.485332,500,959.490956
4065.691308,500,971.041319
4761.27663,500,983.106034
4276.584548,500,994.853267
4255.203307,500,1006.409109
4087.338916,500,1017.832491
4072.687379,500,1029.650359
4640.53026,500,1042.362017
3938.891845,500,1054.682943
4112.110409,500,1066.75388
4431.899011,500,1078.874379
3768.869258,500,1090.826844
3214.429698,500,1102.919695
3883.638937,500,1115.073628
2656.798376,500,1127.10316
2824.054628,500,1139.006842
2790.571407,500,1151.049747
2823.320093,500,1163.136258
2784.83387,500,1175.196946
2666.87632,500,1186.207417
2807.516252,500,1198.42675
2731.324606,500,1210.147615
2790.64535,500,1222.067121
2861.771388,500,1234.1431
2666.16572,500,1244.840205
2467.607238,500,1256.396882
2216.471667,500,1267.82128
2641.098435,500,1278.732347
2690.584801,500,1289.63489
2798.491682,500,1300.832064
2693.983896,500,1311.728445
2714.80654,500,1322.886762
2701.388377,500,1333.931448
2697.467412,500,1345.519678
2694.483625,500,1356.446393
2731.065659,500,1367.437618
2793.731213,500,1379.280514
2690.137006,500,1390.565112
2811.646382,500,1402.099435
2738.891333,500,1413.45044
2821.849633,500,1425.765244
2846.958718,500,1437.955151
2525.298347,500,1449.266744
4106.383511,500,1460.790796
3334.499698,500,1472.936938
3659.393788,500,1484.687423
2565.488904,500,1496.240427
4394.229473,500,1508.23935
4452.984645,500,1518.845283
4849.483224,500,1530.066914
5204.238692,500,1541.103942
4596.369145,500,1551.954751
3690.334327,500,1563.109719
5096.63165,500,1574.502349
