fps,total_timesteps,value_loss,policy_entropy,explained_variance,nupdates,ep_reward_mean,ep_len_mean
194,128,5.473078727722168,9.932570457458496,-0.019662022590637207,1,,
185,12800,0.3284797966480255,9.929322242736816,-0.6613732576370239,100,220.6413105,500.0
184,25600,0.11602157354354858,9.927372932434082,-7.524052619934082,200,226.45449800000003,500.0
181,38400,0.20453143119812012,9.91584300994873,-0.555670976638794,300,233.1616855263158,500.0
182,51200,0.3158077001571655,9.908080101013184,-0.47560739517211914,400,237.02053450000002,500.0
181,64000,1.661294937133789,9.915525436401367,-1.3424947261810303,500,250.11734771,500.0
182,76800,0.6923385858535767,9.615662574768066,-0.05524611473083496,600,273.2646311,500.0
182,89600,0.14276647567749023,9.323522567749023,0.07429367303848267,700,568.8393069399999,500.0
180,102400,0.07054595649242401,9.175919532775879,-0.0072563886642456055,800,1467.55946477,500.0
179,115200,0.007927844300866127,9.237337112426758,-0.23583674430847168,900,2284.71298656,500.0
178,128000,7.373589515686035,9.044951438903809,-0.020291686058044434,1000,3265.95517818,500.0
177,140800,0.044251393526792526,9.157332420349121,0.1784769892692566,1100,3748.9288083399997,500.0
176,153600,0.05094294995069504,9.167830467224121,0.00047725439071655273,1200,3807.0687043699995,500.0
175,166400,0.002579525113105774,9.325251579284668,-0.083609938621521,1300,3903.0389670500003,500.0
175,179200,0.008073894307017326,9.540414810180664,-0.08905887603759766,1400,3976.2587103100004,500.0
174,192000,2.491117238998413,9.59455394744873,0.15103429555892944,1500,3997.60780213,500.0
174,204800,0.00012025763862766325,9.856477737426758,0.6066417992115021,1600,3817.61437369,500.0
174,217600,0.00019079451158177108,10.157536506652832,-0.08633136749267578,1700,3488.51327576,500.0
174,230400,0.001181840430945158,10.614700317382812,0.3103562593460083,1800,3065.42585502,500.0
174,243200,0.0003346306621097028,10.924912452697754,0.5615653097629547,1900,2755.8507533899997,500.0
174,256000,4.895012855529785,11.37102222442627,-0.17171704769134521,2000,2793.09394344,500.0
174,268800,0.016893692314624786,11.682967185974121,0.0662195086479187,2100,3117.4781446399993,500.0
174,281600,0.01215702760964632,11.382981300354004,-0.11973178386688232,2200,3575.4008734800004,500.0
174,294400,0.0020902156829833984,11.615159034729004,-0.053171515464782715,2300,4272.39436145,500.0
175,307200,0.04014260321855545,11.565434455871582,-0.16240239143371582,2400,4539.493338369999,500.0
174,320000,9.36628532409668,11.542688369750977,-0.03590202331542969,2500,4809.887179019999,500.0
174,332800,0.014559395611286163,11.624894142150879,-0.03142094612121582,2600,5086.585927919999,500.0
174,345600,0.05285715311765671,11.442427635192871,-0.09559071063995361,2700,4923.774311270001,500.0
174,358400,0.0350823849439621,11.408112525939941,0.0022658109664916992,2800,5318.866531119999,500.0
174,371200,0.13923077285289764,11.501562118530273,-0.157845139503479,2900,5410.48242257,500.0
173,384000,2.382131814956665,11.501997947692871,-0.012793421745300293,3000,5258.8363537899995,500.0
173,396800,0.035619113594293594,11.441777229309082,0.04418444633483887,3100,5577.06051628,500.0
174,409600,0.023792875930666924,11.640605926513672,0.026194274425506592,3200,5776.012132959998,500.0
173,422400,0.03509698063135147,11.796433448791504,0.10226386785507202,3300,5533.712358169999,500.0
174,435200,0.07934021204710007,11.78609848022461,-0.015915274620056152,3400,5559.3923132,500.0
174,448000,2.420236349105835,11.659984588623047,2.092123031616211e-05,3500,5606.95287237,500.0
174,460800,0.00013441818009596318,11.785109519958496,-0.8020803928375244,3600,4975.62334576,500.0
174,473600,0.00018101483874488622,12.058150291442871,-0.13978064060211182,3700,4860.61337145,500.0
174,486400,0.0026005590334534645,12.240520477294922,0.02273637056350708,3800,4304.258173180001,500.0
175,499200,3.0177336157066748e-05,12.405834197998047,0.1991979479789734,3900,3813.07240432,500.0
