#{"t_start": 1585153234.9694023, "env_id": "my_panda_free_space_traj"}
r,l,t
170.561554,500,16.919719
172.665351,500,27.154935
363.964381,500,37.340164
219.782942,500,47.508085
237.931102,500,58.031267
188.795431,500,68.282074
196.37032,500,78.578554
162.418809,500,88.863806
177.954108,500,98.949637
268.420266,500,109.098687
159.126613,500,119.242815
208.346398,500,129.574442
210.508172,500,139.775174
205.134143,500,149.674359
276.342885,500,159.773837
624.277335,500,169.746877
248.425823,500,179.632123
407.762502,500,189.732125
414.969423,500,199.559129
695.196925,500,209.405928
689.272575,500,219.183497
710.163329,500,229.092183
1032.021146,500,238.745758
1081.896842,500,248.353698
1340.785948,500,258.174599
1472.317961,500,267.872566
1215.86548,500,277.518836
1299.89253,500,287.216475
1446.936923,500,297.144777
1585.165961,500,307.024007
1785.870762,500,316.965738
2125.334253,500,327.153425
2015.313597,500,337.239394
2170.521003,500,347.400779
2475.518819,500,357.875431
3054.829561,500,368.353211
2615.300392,500,378.935429
2525.758234,500,389.827528
2932.620416,500,400.532997
3974.370662,500,411.262956
4137.844601,500,422.189169
3690.970871,500,433.352363
3908.369328,500,444.067076
5149.582671,500,454.883754
5083.609137,500,466.007872
5335.640877,500,476.88824
5682.160655,500,487.616723
5357.726184,500,498.618161
5215.979458,500,509.247641
6119.249068,500,519.96367
6944.657437,500,530.741725
6636.816121,500,542.011162
6710.263138,500,552.645781
7587.815587,500,563.406303
7879.772013,500,574.57461
6497.410329,500,585.271478
8622.805454,500,596.228587
7842.309766,500,606.989031
5807.622595,500,617.882168
6371.474112,500,628.547527
8120.669841,500,639.395756
7526.568023,500,650.361955
7562.597387,500,661.16756
7713.350345,500,672.372447
8362.912932,500,683.909626
8255.016675,500,695.167033
9123.462876,500,706.511781
8630.049654,500,718.122661
9465.029806,500,729.536408
9635.946171,500,740.902534
9342.863427,500,752.263813
9322.386231,500,763.629377
10358.003908,500,774.913781
9915.333034,500,786.071573
9040.67338,500,797.657219
9623.412411,500,808.950035
10385.262891,500,820.311978
9607.223209,500,831.744033
9381.331734,500,842.942575
10478.196575,500,854.182097
10123.916856,500,865.564839
9422.020935,500,877.160047
9854.462895,500,888.460437
10721.660064,500,899.802189
9531.937138,500,912.097699
10023.236662,500,923.539762
10213.138499,500,935.016508
10660.486001,500,946.468422
10536.931715,500,958.128654
11007.525668,500,969.511139
9701.903466,500,980.924446
11691.860047,500,992.605155
11491.949383,500,1003.973018
10527.666225,500,1015.080265
12380.106119,500,1026.498522
11461.452597,500,1037.809621
12440.305823,500,1049.05367
12363.559009,500,1060.599717
11204.013707,500,1071.782164
12006.711072,500,1082.941945
13368.15676,500,1094.28189
12272.744643,500,1105.815115
12191.257836,500,1117.323355
13155.395905,500,1128.648664
12842.652945,500,1140.109586
11579.6103,500,1151.336401
11030.60405,500,1162.527936
9377.972744,500,1173.690278
9434.90136,500,1184.689072
12452.195187,500,1195.823877
11871.696283,500,1207.013641
12661.313347,500,1218.424109
11794.913248,500,1229.700788
13667.811586,500,1241.092297
13167.482188,500,1252.825192
13274.784346,500,1264.138
14841.641013,500,1275.455407
12617.135151,500,1286.731493
14969.151764,500,1298.300779
14637.198028,500,1309.625938
14736.150026,500,1321.029656
13633.387819,500,1332.65679
14256.722227,500,1344.115206
14226.053507,500,1355.729388
