#{"env_id": "my_panda_free_space_traj", "t_start": 1585157001.4351404}
r,l,t
145.291603,500,16.707391
198.383987,500,26.868118
171.146274,500,37.356516
159.99504,500,47.620958
237.89591,500,57.481301
265.537631,500,67.662175
563.138041,500,77.596351
693.544359,500,87.424679
532.187337,500,97.212118
1133.903641,500,107.281759
995.073635,500,116.943605
1144.105346,500,126.612773
1446.191663,500,136.449168
1701.436956,500,146.187677
2764.116157,500,156.379295
3350.567435,500,166.885192
4092.711344,500,177.87976
4379.355148,500,188.713023
3821.842005,500,199.520991
3890.756086,500,210.707637
3845.016764,500,221.530979
4982.837821,500,232.319063
5272.928556,500,243.295187
5016.04079,500,254.083116
6920.255384,500,265.003372
7861.048994,500,276.111285
7812.015262,500,287.034666
8402.34024,500,297.974504
8016.618522,500,308.7836
7289.313022,500,319.943204
7834.145968,500,330.781616
8968.26001,500,341.525546
10332.005789,500,352.130657
9997.929789,500,363.007591
11498.865764,500,373.413747
10767.559377,500,383.994647
12281.624149,500,394.473227
13115.090659,500,404.960032
13034.419395,500,415.299569
13124.321025,500,425.808339
13063.529823,500,436.060355
14529.185224,500,446.287623
14436.226373,500,456.846642
14819.633611,500,467.171739
15551.760922,500,477.559096
16294.627495,500,487.977406
16479.362082,500,498.541688
19197.101485,500,508.90426
20906.035648,500,519.207217
18612.545582,500,529.83445
19310.605725,500,540.153487
19088.660395,500,550.499887
22340.717341,500,561.033468
22409.550297,500,571.299257
22353.542896,500,581.704752
21825.163834,500,592.293947
21879.948192,500,602.611782
24266.263424,500,612.895944
24869.455034,500,623.144224
23762.756603,500,633.713189
26429.020337,500,644.004211
24666.190389,500,654.2912
25958.912932,500,664.527
27609.389072,500,675.013523
26003.608591,500,685.281787
26832.847091,500,695.811882
26204.08054,500,706.12308
28180.690246,500,716.39203
30054.88077,500,726.656618
25867.491447,500,737.288044
30141.148478,500,747.682543
27624.781825,500,758.027079
27318.882638,500,768.632049
28611.075911,500,779.176122
29573.578233,500,789.562201
32496.276048,500,799.834427
30166.290871,500,810.295797
32559.956063,500,820.481396
31869.421032,500,830.629789
30353.218136,500,841.034863
30462.094788,500,851.200739
32644.354392,500,861.304064
30733.962339,500,871.600635
33727.212214,500,881.689204
29568.819716,500,891.878909
33047.19406,500,902.326758
32242.055378,500,912.421783
35495.919723,500,922.452359
32846.279977,500,932.606552
32754.147377,500,943.193928
33876.904535,500,953.432799
30560.185203,500,963.621984
33901.223116,500,973.893862
33578.843937,500,984.494586
33603.975916,500,994.660199
34109.916181,500,1005.049971
34952.115672,500,1015.201754
34356.11473,500,1025.31283
33750.201161,500,1035.486631
34028.2299,500,1045.948124
32997.809766,500,1056.01065
34370.21961,500,1066.16092
34791.510692,500,1076.532785
34625.124988,500,1086.646137
36937.337406,500,1096.915702
32582.330057,500,1107.155802
33798.641412,500,1117.822123
33375.756753,500,1128.104021
35882.705149,500,1138.22754
35670.860874,500,1148.651048
35192.990646,500,1158.893714
36588.540184,500,1169.16782
38046.044649,500,1179.65434
39927.523845,500,1189.906254
36895.94328,500,1200.243781
36201.9485,500,1210.786555
37291.113575,500,1221.075625
35523.911763,500,1231.412187
40876.611059,500,1241.727397
41085.709982,500,1252.253753
40434.263162,500,1262.545439
41549.506054,500,1272.799324
41154.11876,500,1283.056426
41544.307372,500,1293.663426
