#{"t_start": 1586134682.8449523, "env_id": "my_panda_free_space_traj"}
r,l,t
240.837219,500,16.860753
338.641876,500,27.047256
153.890078,500,37.509295
284.777064,500,47.846111
147.889512,500,58.11719
145.505176,500,68.465025
222.695133,500,78.588708
355.916889,500,88.659153
298.15304,500,98.754965
182.011733,500,109.0907
443.232091,500,119.062746
550.995829,500,129.017802
991.209553,500,139.085729
1295.432909,500,148.920871
1118.322668,500,158.804034
1397.924081,500,168.583958
1602.067483,500,178.657475
1683.410606,500,188.626861
2362.300494,500,198.685728
2717.494879,500,209.206436
1590.028031,500,219.416862
956.009025,500,229.399074
3487.745547,500,239.71069
3492.439648,500,250.132639
4305.447458,500,260.731386
5994.987274,500,271.589492
5064.819059,500,282.135519
5069.569345,500,292.605274
5412.70551,500,303.105504
6922.727333,500,313.797002
7165.065673,500,324.196056
8686.051398,500,334.528359
7949.749761,500,345.011333
10432.663997,500,355.819369
10472.581358,500,366.579453
9307.974678,500,377.438765
9474.957077,500,388.177054
11082.319493,500,398.971413
11727.843867,500,409.687244
10583.559668,500,420.616649
9578.053844,500,431.308221
9442.213138,500,441.987617
13275.078191,500,452.746329
9975.41007,500,463.530621
13148.876024,500,474.064516
12278.46792,500,484.584466
14204.683932,500,495.282328
13171.075275,500,505.782624
14448.742456,500,516.315824
14629.196985,500,527.164964
14900.64907,500,537.673699
16286.799905,500,548.3358
13738.069405,500,559.364882
16991.965723,500,569.995778
14857.657488,500,580.71007
17496.764869,500,591.623512
17028.753208,500,602.385293
20312.420093,500,613.023117
19549.858626,500,623.694863
18552.180441,500,634.606267
20483.852485,500,645.339568
22005.036828,500,655.907834
23603.654694,500,666.400666
21983.774106,500,676.929737
22268.980909,500,687.265109
22656.346734,500,697.823872
24653.768008,500,708.096484
25267.561758,500,718.39528
22381.826146,500,728.741172
22809.562988,500,739.27475
25569.732198,500,749.642323
23424.994152,500,759.945791
26001.7652,500,770.505316
27743.760857,500,780.843485
26369.419009,500,791.132848
23755.008221,500,801.436723
24846.197255,500,811.901037
28354.059382,500,822.146991
30409.020649,500,832.44404
30204.283278,500,843.039707
27800.840248,500,853.339596
28886.834896,500,863.58394
25427.026578,500,874.411607
27634.374595,500,884.760517
27852.079892,500,895.282588
29790.0042,500,905.828064
30364.006656,500,916.190293
30729.346444,500,926.459356
32631.158197,500,936.682211
32953.784129,500,947.18807
33743.837171,500,957.429903
32562.118931,500,967.71343
33720.29669,500,977.943679
35263.41064,500,988.427584
35875.278631,500,998.731437
35832.575117,500,1009.451334
37049.606768,500,1019.720667
37249.493412,500,1030.003465
33106.97774,500,1040.229132
34302.578991,500,1050.676686
37115.955728,500,1060.924247
35944.617004,500,1071.156799
36252.692189,500,1081.660669
35529.335467,500,1091.979842
35250.693736,500,1102.334918
35921.939861,500,1112.58793
37124.86988,500,1123.048204
37434.972461,500,1133.328506
42161.472013,500,1143.508194
39745.493353,500,1153.977319
41840.453302,500,1164.23922
39862.767384,500,1174.513034
43246.712147,500,1184.925647
44123.979961,500,1195.164017
45512.999167,500,1205.410477
46697.908904,500,1215.881095
46139.665371,500,1226.081628
46450.609874,500,1236.284125
47042.558213,500,1246.499359
45088.679246,500,1256.892728
46896.086968,500,1267.091622
48455.823428,500,1277.279997
51628.284926,500,1287.437579
53396.947703,500,1297.87614
49973.910979,500,1308.052735
50951.885506,500,1318.480674
53794.139649,500,1328.665814
54288.578231,500,1338.872649
54861.957062,500,1349.087965
56152.09274,500,1359.558305
54187.285784,500,1369.787611
54301.349267,500,1380.024788
57566.335816,500,1390.504916
55167.066994,500,1401.010044
57377.317444,500,1411.269932
58177.729294,500,1421.514952
57569.603846,500,1431.933363
58104.249568,500,1442.187357
58375.839861,500,1452.413699
59132.321523,500,1463.018034
59076.494954,500,1473.476553
58719.871722,500,1483.659953
58483.178661,500,1494.104773
59793.113298,500,1504.309793
56214.323116,500,1514.795864
59931.17676,500,1525.514072
59447.293556,500,1535.698827
60425.649596,500,1546.091705
60113.338378,500,1556.309309
60964.199983,500,1566.997245
59919.040983,500,1577.530111
61561.546832,500,1587.731434
60518.083651,500,1597.923366
61161.853273,500,1608.384977
60573.960942,500,1618.612508
60602.509172,500,1629.01782
61831.412481,500,1639.236177
60764.28114,500,1649.515642
61194.394474,500,1659.732698
61017.535049,500,1670.13238
60875.663665,500,1680.316709
61258.12637,500,1690.655322
61549.653843,500,1701.105717
61039.221483,500,1711.396142
61203.678577,500,1721.677147
61584.150754,500,1731.859468
61375.295585,500,1742.470988
60975.743023,500,1752.728657
61773.723321,500,1763.154154
61200.222853,500,1773.543221
61949.873312,500,1783.679107
61676.886022,500,1793.818206
61137.86574,500,1804.178441
61499.465866,500,1814.362335
61486.238084,500,1824.554343
61298.273751,500,1834.970005
62008.697162,500,1845.332959
61925.379282,500,1855.49987
61225.886069,500,1865.811207
61637.374744,500,1876.731091
61860.82556,500,1887.21426
61872.760548,500,1897.441649
61790.459236,500,1907.675879
62233.621501,500,1918.381932
61085.382055,500,1928.649757
61593.746993,500,1939.230803
61630.698833,500,1949.346286
61737.351012,500,1959.493686
61751.834702,500,1969.635201
62174.146224,500,1980.013368
61882.866911,500,1990.132082
61919.63079,500,2000.328281
62144.110318,500,2010.986743
60281.762989,500,2021.676668
62054.478009,500,2031.866843
59754.863882,500,2042.338042
61795.392239,500,2052.734632
60580.788671,500,2063.035901
61353.160963,500,2073.162082
60629.896978,500,2083.697619
62232.914902,500,2094.079493
59810.281107,500,2104.198377
61037.3571,500,2114.651217
61377.598263,500,2124.814352
61683.195946,500,2135.010063
60140.498145,500,2145.58801
59975.677912,500,2155.845977
60967.36427,500,2165.96076
62105.468799,500,2176.081915
60899.52082,500,2186.795895
61183.028724,500,2197.018832
60667.841465,500,2207.355149
60948.829156,500,2217.509268
60669.616461,500,2227.95079
60068.040565,500,2238.294036
61521.740003,500,2248.739877
60480.29927,500,2259.026711
62043.161342,500,2269.358499
60842.546064,500,2279.58316
61281.320195,500,2290.036462
60044.02532,500,2300.243706
61899.457242,500,2310.428388
61469.270952,500,2320.858485
62033.069497,500,2331.044822
60650.54298,500,2341.24767
58693.732009,500,2351.57245
62040.307796,500,2362.003035
60899.204207,500,2372.245962
61643.246118,500,2382.481384
61381.174818,500,2393.044599
62022.594848,500,2403.283201
60890.379045,500,2413.480745
61889.636909,500,2423.90887
61521.664509,500,2434.175684
59649.350413,500,2444.43318
61271.145672,500,2454.883778
61728.601288,500,2465.095752
61733.672267,500,2475.310158
61321.718871,500,2485.523512
62100.524856,500,2496.035877
62241.039994,500,2506.313028
61224.306499,500,2516.577946
62254.554895,500,2526.836299
61281.747571,500,2537.353077
61843.692835,500,2547.624749
62199.296276,500,2558.162308
62263.035767,500,2568.429567
61639.736567,500,2578.721249
60588.482663,500,2588.996336
