#{"env_id": "my_panda_free_space_traj", "t_start": 1586137416.6738575}
r,l,t
264.07937,500,16.903765
304.593455,500,27.252217
105.159347,500,37.758872
156.607035,500,48.255558
292.792929,500,58.484433
115.36542,500,69.056429
319.071045,500,79.207911
226.913202,500,89.426638
346.796379,500,99.412222
294.594332,500,109.788724
381.04213,500,119.80083
342.831427,500,129.660839
571.708115,500,139.652549
599.381882,500,149.336092
853.499891,500,158.857615
1003.874518,500,168.343994
1370.668083,500,177.896848
795.502803,500,187.238185
1136.463782,500,196.572604
1111.245362,500,206.258887
1356.374429,500,215.696765
1409.895689,500,225.022381
1286.79385,500,234.637706
1554.62834,500,244.090077
1480.113238,500,253.700465
1562.532919,500,263.226257
1658.568064,500,272.470204
1305.790704,500,281.95997
1368.99321,500,291.313449
1787.305217,500,300.914932
1691.044785,500,310.310664
1526.624007,500,319.758114
1536.60394,500,329.139687
1243.714848,500,338.72861
1575.286696,500,348.103197
1592.521229,500,357.773821
1829.235251,500,367.14377
1531.881072,500,376.497783
1748.865406,500,385.830812
1854.319714,500,395.47698
1799.659696,500,404.788234
1911.713235,500,414.126305
1790.745343,500,423.68684
2096.574633,500,432.970448
2003.409527,500,442.096726
2519.640277,500,451.311859
2803.795978,500,460.594492
2189.539884,500,469.81173
2561.651767,500,478.994235
2514.908343,500,488.436964
3379.872428,500,497.778506
4077.571401,500,507.459323
4822.214669,500,517.620086
6853.315432,500,527.674974
7307.223732,500,537.928258
7723.174778,500,548.545755
7894.187321,500,558.988512
7854.398045,500,569.264803
8434.794436,500,579.61901
8990.905088,500,590.392269
8592.039657,500,600.978486
9997.307578,500,611.651751
10923.187811,500,622.264621
11830.937424,500,632.943953
10356.38468,500,643.361263
11456.618303,500,653.858805
13496.278647,500,664.000699
13526.798765,500,674.308729
12850.559854,500,684.461595
12979.290043,500,694.897034
16221.0386,500,704.83794
15620.08386,500,714.986445
15253.192565,500,725.258578
19034.358652,500,735.511519
18088.089559,500,745.621511
15992.44384,500,755.806759
16839.922523,500,766.170438
18663.300179,500,776.149013
18789.69546,500,786.440226
20350.388156,500,796.868038
20251.705352,500,806.893676
18953.651647,500,816.912481
18997.053114,500,826.945605
22107.508878,500,836.875194
23189.107334,500,846.855616
23183.71571,500,856.989332
20572.334872,500,866.954788
22360.731393,500,876.920078
24709.055409,500,886.767735
