#{"t_start": 1585160081.3806312, "env_id": "my_panda_free_space_traj"}
r,l,t
195.493515,500,15.340448
158.946941,500,25.8839
218.68028,500,36.498469
205.282891,500,46.812184
333.970006,500,57.148349
293.332144,500,67.459264
445.942579,500,77.843113
789.418517,500,87.798607
1735.04117,500,97.941747
1624.644007,500,107.82759
1502.16697,500,117.640687
1525.486633,500,127.608746
2035.868673,500,137.952915
2714.555736,500,148.184775
3432.757693,500,158.652657
3203.043216,500,169.308681
3797.25265,500,179.809531
3999.961558,500,190.493794
4260.187436,500,201.277416
5162.101094,500,212.339174
5302.037796,500,223.393551
6240.050533,500,234.440866
5835.643789,500,245.626678
6259.298642,500,256.59924
5624.91378,500,267.709725
7140.276166,500,278.93625
5926.839808,500,289.901606
7161.707673,500,301.011632
7388.660213,500,312.352341
6259.889719,500,323.481906
6992.179431,500,334.613604
8795.381421,500,345.703685
10474.624989,500,356.917233
10288.076719,500,367.440576
12674.904069,500,377.872397
13828.045531,500,388.383598
12107.610217,500,399.029886
15663.243449,500,409.463875
16689.90331,500,420.218109
17011.350323,500,430.768771
17019.331104,500,441.241867
13106.783354,500,451.583853
17673.084159,500,461.960203
17274.52081,500,472.158681
18119.333708,500,482.404842
19313.336892,500,492.900285
19040.021475,500,503.170998
18176.796256,500,513.454678
22429.644411,500,523.796975
23427.20143,500,534.269791
24352.583928,500,544.48218
23485.653246,500,554.652821
23317.307861,500,565.159282
26293.158262,500,575.364205
31227.062934,500,585.621388
28664.093473,500,596.113442
29151.995693,500,606.361185
25330.449342,500,616.576664
28365.623302,500,627.039602
27902.889496,500,637.257926
31509.270435,500,647.45615
33215.905076,500,657.686497
36916.56713,500,668.410654
32847.472433,500,678.804599
33940.694975,500,689.373058
31880.199057,500,699.769057
34993.895345,500,710.296398
34623.963217,500,720.752789
38173.460745,500,731.337631
34072.312134,500,741.715305
34309.454525,500,752.08111
35272.508612,500,762.335248
33693.823272,500,772.840388
39101.435005,500,783.128432
39504.174874,500,793.402735
36952.579547,500,803.915924
33102.284543,500,814.292267
36843.782247,500,824.578225
41024.870475,500,834.793494
36998.104629,500,845.225846
41053.336136,500,855.351609
41419.604339,500,865.49875
40528.083866,500,875.825851
41021.678705,500,886.021949
43491.260158,500,896.227187
46820.595758,500,906.637082
46730.334633,500,916.772305
44622.887056,500,926.889567
44479.481473,500,937.265575
48429.047875,500,947.415862
43880.319675,500,957.577884
48641.212249,500,967.792502
45221.302394,500,978.225417
45792.174052,500,988.386991
49245.671127,500,998.636452
45646.921604,500,1008.849712
48190.178226,500,1019.265363
49217.305655,500,1029.426505
46860.328556,500,1039.847263
50020.637482,500,1050.020861
52312.022791,500,1060.222877
51213.130546,500,1070.384684
49696.301399,500,1080.7236
52560.748148,500,1090.911394
50278.496756,500,1101.087096
53420.030477,500,1111.482205
52923.669797,500,1121.591951
55378.348799,500,1131.712428
51141.148133,500,1141.893193
52973.68241,500,1152.264442
56487.140166,500,1162.422416
53871.771634,500,1172.522179
53151.228359,500,1182.815815
55030.156836,500,1192.937044
46506.487828,500,1203.031134
50372.246797,500,1213.389482
53348.328403,500,1223.515835
54881.320055,500,1233.58099
55382.778657,500,1243.893682
55332.675733,500,1253.921442
57898.463624,500,1263.966604
56624.206804,500,1274.025607
58755.904662,500,1284.324073
59433.523148,500,1294.383948
