#{"env_id": "my_panda_free_space_traj", "t_start": 1585164011.1526926}
r,l,t
320.526475,500,16.540796
203.008389,500,26.551197
381.198125,500,36.46415
207.474536,500,46.478681
437.2264,500,56.576732
634.243938,500,66.39568
1693.98316,500,76.105157
1844.882477,500,86.1007
1801.251773,500,95.954595
2167.431596,500,105.915419
1753.169882,500,116.200343
2025.917874,500,126.341376
2803.834705,500,136.440178
2210.088941,500,146.929818
2634.191022,500,157.128146
2487.406437,500,167.474477
2862.156852,500,177.821916
3633.376747,500,188.533765
4768.940663,500,199.251095
4390.777465,500,209.853478
5243.203086,500,220.473859
6800.749844,500,231.479981
5921.17479,500,242.288273
6275.623304,500,253.421636
8034.559385,500,264.542277
6735.589919,500,275.495132
8297.979642,500,286.272908
9281.296494,500,297.003906
9045.38143,500,307.398368
8696.329004,500,317.922546
10671.097267,500,328.558225
11036.303032,500,339.273612
10218.012008,500,349.941152
12671.134971,500,360.686207
14807.834378,500,371.742558
13030.75235,500,382.446249
14317.32274,500,393.019396
14658.704832,500,403.85581
13275.771289,500,414.727272
13756.293235,500,425.48489
17352.477237,500,436.199361
17767.323165,500,446.616702
17856.488353,500,457.088269
21153.560167,500,467.679872
23380.197267,500,478.106651
18991.796377,500,488.503171
23295.268238,500,498.837533
22238.166123,500,509.434456
24192.449807,500,519.887507
22866.661069,500,530.297338
23606.142952,500,540.723614
25990.44958,500,551.466857
28266.229123,500,562.078969
26543.801753,500,572.762427
25151.780543,500,583.108852
28003.024947,500,593.510192
29193.091745,500,603.891503
32501.116254,500,614.587747
30838.332335,500,624.851389
33034.920162,500,635.241384
31687.338348,500,645.75316
33002.573032,500,655.961137
37272.314081,500,666.148808
34000.905828,500,676.332314
36827.12774,500,686.810826
37702.450144,500,697.049123
38168.662026,500,707.256931
38995.693073,500,717.7151
38903.919652,500,727.933287
40881.75735,500,738.196315
41823.823702,500,748.779262
43144.924606,500,759.125079
41991.43753,500,769.429914
45470.833066,500,779.873301
44504.454113,500,790.163585
41718.297466,500,800.400671
45775.794475,500,810.615376
46809.492827,500,821.222637
47359.811611,500,831.509098
43943.202114,500,842.025268
40687.778741,500,852.394331
43153.220907,500,863.075617
43854.092387,500,873.452538
45116.523076,500,883.831564
46428.342059,500,894.042208
47489.610909,500,904.261908
47061.799195,500,914.4944
45422.769935,500,924.851308
49289.617099,500,935.054777
44036.025703,500,945.621357
42703.536557,500,956.256975
51110.733149,500,966.384851
48638.191794,500,976.807466
49792.108695,500,986.921566
48519.709741,500,997.389964
47145.128219,500,1008.125983
48919.534659,500,1018.422179
48153.734315,500,1028.849391
46593.627746,500,1039.191562
52664.49274,500,1049.589758
47282.364811,500,1060.423885
47123.317082,500,1070.874702
47689.406155,500,1081.630149
51358.184844,500,1091.996601
53354.243843,500,1102.159691
49532.776497,500,1112.769462
54115.329623,500,1122.996285
52198.313424,500,1133.329668
53407.9833,500,1143.756168
52963.14082,500,1154.180476
50181.119486,500,1165.223796
51068.896292,500,1176.350766
54870.106642,500,1186.886032
53265.03668,500,1197.874773
57163.909278,500,1208.236595
53199.25743,500,1218.797298
52653.602344,500,1229.097713
56711.003994,500,1239.62985
36388.541639,500,1250.01313
52802.995921,500,1260.427169
55329.785819,500,1270.761586
55344.235417,500,1280.848587
57714.73216,500,1290.923047
56702.173814,500,1300.993627
