#{"env_id": "my_panda_free_space_traj", "t_start": 1586111268.69731}
r,l,t
191.322509,500,16.671533
233.675264,500,26.881617
234.894546,500,37.350211
327.733669,500,47.428313
325.234065,500,57.685839
266.921126,500,67.982961
268.59232,500,78.003943
664.746697,500,87.979781
584.000055,500,97.870351
1338.52877,500,107.875665
1210.034178,500,117.557544
1244.431417,500,127.112211
1297.412256,500,136.836403
1953.112839,500,146.453351
1822.668866,500,156.316699
2040.194004,500,166.390977
2879.582625,500,176.787426
2881.722183,500,187.038514
2833.061309,500,197.355674
2761.465852,500,208.069776
2754.992102,500,218.68118
3514.835595,500,229.253562
3892.376321,500,240.254538
3717.516691,500,251.187506
4825.14892,500,262.2447
5463.374869,500,273.492422
5068.710745,500,284.70378
4562.933452,500,295.770175
4839.178503,500,306.844525
3633.347898,500,318.136265
4321.620007,500,329.079078
5705.064313,500,340.162527
4744.950513,500,351.143024
5986.609147,500,362.389513
7796.852729,500,373.541446
8051.846373,500,385.226072
10009.116147,500,396.394019
12930.235582,500,407.563577
16068.801962,500,418.652744
17071.130541,500,430.231949
15933.384473,500,441.292271
17333.545413,500,452.477137
20027.396981,500,463.877697
21453.841916,500,475.035833
22245.51759,500,486.235655
18973.397843,500,497.603964
25241.3011,500,509.270088
22900.336298,500,520.88541
22203.077396,500,532.197066
23373.445986,500,543.660747
24803.73395,500,554.85429
28517.454942,500,565.867727
30151.059922,500,576.909466
26194.366222,500,587.593822
32439.582485,500,598.018267
30656.621553,500,608.641474
32853.899854,500,619.192651
32637.4797,500,629.598861
31679.043607,500,640.137233
33359.3724,500,650.700971
34747.297151,500,661.051023
39954.922376,500,671.425189
36768.013462,500,682.169419
37993.487829,500,693.018119
38342.885641,500,703.652944
39123.570894,500,714.502549
38123.87696,500,725.160422
40924.428602,500,735.832636
38211.940313,500,746.526798
38917.99802,500,757.423268
37385.666613,500,767.992732
39174.073749,500,778.588534
42099.969023,500,789.454396
41969.472611,500,800.066425
38722.472949,500,811.085032
40937.232438,500,821.924265
42241.263058,500,833.085225
37505.312725,500,843.881577
46560.300304,500,854.377931
44488.547969,500,865.158302
44671.230441,500,875.728899
41711.983396,500,886.299076
43806.836659,500,897.116453
46350.458726,500,907.714627
46982.976317,500,918.283051
43425.618043,500,929.128249
46969.221137,500,939.695359
47865.928909,500,950.185288
46897.420347,500,960.730457
46646.60652,500,971.59259
43901.04974,500,982.196896
46432.086758,500,992.811471
47454.328933,500,1003.385577
44790.605089,500,1014.205687
50628.829698,500,1024.783857
47857.025996,500,1035.609311
52327.523018,500,1046.23606
51994.258855,500,1056.757744
50246.929276,500,1067.315254
51214.892736,500,1078.129975
53483.136679,500,1088.668827
49493.597524,500,1099.189452
51319.963817,500,1109.973873
50064.561449,500,1120.521982
51480.766962,500,1131.238749
49983.267014,500,1141.936407
54582.142667,500,1152.681785
52922.442911,500,1163.175534
55949.856543,500,1173.696279
51312.554389,500,1184.508158
55774.681125,500,1195.028157
54945.654387,500,1205.49713
54195.038968,500,1216.249192
54484.800468,500,1226.73777
56139.663036,500,1237.173495
55042.861384,500,1247.861112
57192.519251,500,1258.273618
55445.800875,500,1268.731055
53640.073334,500,1279.427775
54612.967667,500,1290.199308
55477.021678,500,1300.911105
53842.389813,500,1311.457774
58711.883983,500,1321.787215
57520.645852,500,1332.426306
58923.859849,500,1342.798493
59981.947871,500,1353.355717
58816.758398,500,1363.50122
59287.520698,500,1373.623254
59745.626057,500,1383.742342
59955.944998,500,1394.139058
59599.075149,500,1404.247152
59287.803284,500,1414.574481
60722.852178,500,1425.154753
60094.43269,500,1435.270666
60141.96098,500,1445.474406
60631.834331,500,1455.674719
60523.728736,500,1466.013745
60694.408025,500,1476.143417
59607.505462,500,1486.307478
61243.584516,500,1496.763922
61092.831786,500,1507.048456
59383.664087,500,1517.193285
60231.071241,500,1527.559721
60476.811627,500,1537.709538
60472.058753,500,1547.896423
61149.360936,500,1558.333918
61344.07387,500,1568.521299
60792.101724,500,1578.669717
60012.270333,500,1589.367784
62037.552167,500,1599.927128
59607.158582,500,1610.218444
61445.110482,500,1620.811894
61121.319845,500,1630.957704
61928.642818,500,1641.808057
61436.159093,500,1651.941405
61225.703797,500,1662.425166
61187.077661,500,1672.906308
60486.582426,500,1683.16776
57938.329202,500,1693.412312
61257.235134,500,1703.839051
61545.683103,500,1714.191067
61346.919149,500,1724.358007
61687.23548,500,1734.710762
61606.689822,500,1745.18781
61583.055716,500,1755.484611
62336.394853,500,1765.85706
61909.62166,500,1776.245255
61656.572163,500,1786.49288
62258.194834,500,1796.594265
61006.90527,500,1806.937632
61465.578334,500,1817.062689
61752.476193,500,1827.156513
61300.16005,500,1837.505269
60153.120182,500,1847.674144
62002.007072,500,1857.908822
61071.413195,500,1868.306638
61827.508555,500,1878.553521
60994.472372,500,1888.691824
61705.562466,500,1898.881655
62184.166661,500,1909.43435
61793.979957,500,1919.678137
62239.639306,500,1929.953836
61699.138158,500,1940.299749
61495.298988,500,1950.905541
62184.337704,500,1961.294499
62476.210106,500,1971.872814
61593.231199,500,1982.225252
61799.356963,500,1992.575568
61964.641788,500,2002.87395
60345.761789,500,2013.278872
62357.469286,500,2023.44592
63289.227379,500,2033.612196
61192.165002,500,2044.016482
61446.374196,500,2054.255602
61394.358183,500,2064.49166
61453.095822,500,2074.687628
61981.44945,500,2085.096455
61364.291121,500,2095.257742
61655.057922,500,2105.440213
62380.449378,500,2115.838957
61440.04146,500,2125.995649
57556.748181,500,2136.130042
61091.00584,500,2146.492321
61664.444958,500,2156.695125
61918.31191,500,2166.872727
62221.229552,500,2177.276636
61512.809936,500,2187.499719
61413.761052,500,2197.659056
60989.706196,500,2207.819337
61669.29322,500,2218.271303
61151.734132,500,2228.504408
61431.041798,500,2238.957343
60225.610918,500,2249.326179
61761.114243,500,2259.925299
61166.359543,500,2270.331549
61757.738852,500,2280.864857
61688.986179,500,2291.146041
62025.002969,500,2301.26948
61007.431359,500,2311.411929
61828.874591,500,2321.968637
62298.584287,500,2332.139755
62339.055651,500,2342.272592
61166.671258,500,2352.635461
58502.742132,500,2362.891065
61520.083972,500,2373.060277
61607.194219,500,2383.245341
61540.643096,500,2393.626951
63193.421177,500,2403.755272
62216.262431,500,2413.896283
61993.824832,500,2424.416903
62360.444034,500,2434.737023
61827.140274,500,2444.989194
61007.129237,500,2455.582804
61319.82454,500,2465.9107
61232.399753,500,2476.276378
60826.162343,500,2486.883578
61066.462111,500,2497.240556
61012.415768,500,2507.557551
61384.086926,500,2517.956071
61947.59709,500,2528.623701
61074.630882,500,2539.12295
61184.998819,500,2549.502711
61711.938743,500,2559.70331
62084.059834,500,2570.102654
60594.257273,500,2580.253102
61729.305009,500,2590.698132
61723.958253,500,2601.070016
61756.72268,500,2611.2693
61723.912461,500,2621.451253
