#{"t_start": 1586113816.820789, "env_id": "my_panda_free_space_traj"}
r,l,t
134.095648,500,16.377882
297.566105,500,26.368717
288.023936,500,36.396278
139.748907,500,46.463032
220.414994,500,56.722664
370.747307,500,66.764226
254.445173,500,76.685387
525.928029,500,86.826353
1397.904608,500,96.809461
2015.911775,500,106.78892
1498.858046,500,116.855448
1929.41677,500,127.17938
2008.116127,500,137.424288
2133.037612,500,147.800333
3293.91744,500,158.439117
2072.39823,500,168.802355
2691.955381,500,179.140897
2825.759153,500,189.88629
2865.73293,500,200.592795
3368.240512,500,211.409696
4797.066817,500,222.242849
4241.621491,500,233.188159
3048.873566,500,243.921271
4005.037827,500,254.689106
4174.189168,500,265.902997
4570.685844,500,276.795358
4681.595721,500,287.566401
4924.998407,500,298.334817
4588.548587,500,309.342289
4810.105328,500,320.250297
5758.670778,500,331.136739
6897.09866,500,342.237047
6090.002684,500,353.110371
6258.108164,500,364.004248
7027.551329,500,375.073853
9027.543285,500,385.682001
10085.761357,500,396.247827
10285.565489,500,407.077851
8419.184308,500,417.781999
10871.426872,500,428.273764
12020.569117,500,438.618425
11323.992108,500,449.133432
11377.219508,500,459.321345
13505.224362,500,469.596272
14447.818426,500,480.094894
13918.123177,500,490.616948
15025.00131,500,501.101297
15320.161901,500,511.669557
14595.527957,500,522.087604
15906.471586,500,532.613473
15908.564683,500,543.063749
22991.614747,500,553.660347
19944.192533,500,564.028801
19838.458964,500,574.256362
24469.67158,500,584.783893
22760.226654,500,595.100636
22172.235493,500,605.315364
20765.128946,500,615.526722
24427.463601,500,625.919481
23204.310138,500,636.242928
21074.629216,500,646.456574
24564.65956,500,656.869554
24230.751037,500,667.039109
25771.447905,500,677.220546
25472.209364,500,687.641857
27491.060547,500,697.926798
25562.145803,500,708.428273
28036.182052,500,719.16338
27051.063729,500,729.647563
31827.583488,500,740.131581
29903.561256,500,750.662803
30884.638095,500,761.32822
31700.443478,500,771.677128
31925.461072,500,781.832124
34624.58953,500,792.203603
34176.050639,500,802.354216
35097.992228,500,812.435019
35970.289937,500,822.754466
35458.676231,500,832.912824
34367.820506,500,843.275617
33465.114403,500,853.643518
33456.036497,500,864.184005
37425.950963,500,874.500823
37725.720085,500,884.725734
38828.841542,500,895.22085
38599.353246,500,905.333385
41184.506128,500,915.459124
40534.00922,500,925.705646
40668.187578,500,936.033206
37976.967657,500,946.229786
42639.151616,500,956.406704
43356.029147,500,966.750496
42315.662395,500,976.859478
45085.628246,500,986.952463
44975.983603,500,997.305041
41951.103321,500,1007.559303
44638.005751,500,1017.960687
43626.174967,500,1028.592457
48767.147971,500,1039.053705
46380.245061,500,1049.479133
47923.161615,500,1059.889151
45964.014043,500,1070.526114
47691.869498,500,1080.838631
47666.715072,500,1091.146344
46079.098358,500,1101.758129
47292.429354,500,1112.119665
46705.505759,500,1122.426464
47105.792654,500,1132.836218
49992.848565,500,1143.07357
49512.08234,500,1153.31043
47073.542912,500,1163.520128
49282.561849,500,1173.91135
48383.9518,500,1184.068435
50049.408314,500,1194.235543
47821.591056,500,1204.667076
51370.201594,500,1214.844143
51103.412371,500,1225.100343
52496.08445,500,1235.285122
51357.681986,500,1245.701693
53241.616582,500,1255.873326
52989.216812,500,1266.121955
53557.121976,500,1276.621034
56075.220811,500,1286.883183
53875.394714,500,1297.121412
46547.205927,500,1307.893592
54054.384827,500,1318.174829
52558.25967,500,1328.468195
56499.379523,500,1338.924093
54648.145733,500,1349.16191
56000.249284,500,1359.471193
53918.78409,500,1369.789021
55964.205508,500,1380.297804
51941.146619,500,1390.594496
54969.56687,500,1400.895098
55982.380059,500,1411.532761
55264.732721,500,1421.837218
57532.186451,500,1432.300168
55771.392993,500,1442.782572
57783.53094,500,1453.038146
57726.047874,500,1463.430093
60155.497784,500,1473.725024
57963.753403,500,1484.184305
60033.965648,500,1494.371904
58752.69982,500,1504.534612
58130.994481,500,1514.995578
58976.630758,500,1525.216262
60194.240901,500,1535.73072
59822.550915,500,1545.989919
59047.154438,500,1556.429086
59008.305917,500,1566.692893
60319.300915,500,1576.951778
59317.045865,500,1587.32228
59430.202983,500,1597.508303
60865.973163,500,1607.701728
61540.996842,500,1618.129621
61019.48992,500,1628.391545
61835.631005,500,1638.642866
60231.759322,500,1649.076867
61552.757083,500,1659.313994
60719.695849,500,1669.539579
61062.027468,500,1679.761778
61433.494899,500,1690.162432
60104.14841,500,1700.336748
60572.409493,500,1710.533756
60668.380927,500,1721.004475
61422.64483,500,1731.272033
60966.577152,500,1741.4746
61321.229192,500,1751.916224
61175.405801,500,1762.061918
61118.903319,500,1772.076219
60931.42782,500,1782.154251
61111.78054,500,1792.398359
60893.963298,500,1802.457462
60956.250458,500,1812.457132
61791.337745,500,1822.782066
61696.559846,500,1832.757849
60196.928015,500,1842.818224
62109.411987,500,1852.813405
62127.133665,500,1863.034386
61747.160792,500,1873.125416
62193.729025,500,1883.181259
61571.624089,500,1893.430052
61093.492209,500,1903.410798
61634.830006,500,1913.388042
61276.142004,500,1923.565686
61135.682107,500,1933.514412
61191.225009,500,1943.482319
61752.654937,500,1953.711826
61577.873137,500,1963.699848
62069.248092,500,1973.686262
61733.934876,500,1983.741103
62131.239952,500,1994.091488
62095.621643,500,2004.119729
61437.34611,500,2014.102424
62145.308909,500,2024.289567
61895.087788,500,2034.293623
61773.200454,500,2044.276293
61198.369505,500,2054.537992
60978.096328,500,2064.600852
62233.174985,500,2074.626179
62186.179281,500,2084.812862
61174.633092,500,2095.303394
61434.568535,500,2105.533678
61258.659758,500,2115.72251
61782.499507,500,2126.194628
62174.838076,500,2136.290417
62409.602191,500,2146.289622
61669.750438,500,2156.253381
62184.07588,500,2166.423469
60517.112364,500,2176.721995
62196.356998,500,2186.746816
61330.503049,500,2197.102816
62128.978326,500,2207.157916
62243.713141,500,2217.152349
60719.339006,500,2227.690179
61813.244316,500,2237.732882
62457.952249,500,2247.704834
61931.586279,500,2257.963005
61170.036196,500,2268.374295
61579.114078,500,2278.739261
62481.835872,500,2288.867453
62331.859753,500,2299.307081
62340.758262,500,2309.511884
62510.968507,500,2319.486996
62083.534959,500,2329.686899
61825.984392,500,2339.754683
62462.46599,500,2349.76527
62124.829992,500,2359.942407
62348.988029,500,2370.119881
61977.383559,500,2380.328297
61430.315956,500,2390.251607
61292.391267,500,2400.499086
61577.922204,500,2410.541917
62101.769403,500,2420.797037
62205.000378,500,2431.002336
61839.301806,500,2441.024024
62099.192052,500,2451.024061
62472.37365,500,2461.387845
62483.345741,500,2472.11345
60744.052094,500,2482.586701
60571.188913,500,2493.321331
62563.991809,500,2503.853563
61853.969706,500,2514.059634
61726.630121,500,2524.255977
61873.180178,500,2534.525806
61512.14563,500,2544.590323
61135.458513,500,2554.871064
62368.746759,500,2565.390997
62419.572578,500,2575.448563
