#{"t_start": 1586202131.6009338, "env_id": "my_panda_free_space_traj"}
r,l,t
158.268493,500,14.854102
106.471397,500,25.529312
189.724639,500,35.926838
239.907152,500,46.063897
426.726301,500,56.642255
937.508942,500,66.914569
1504.582406,500,77.617691
2582.070148,500,88.954923
2631.42414,500,100.597466
2712.203975,500,112.411384
2850.235972,500,123.937719
2754.758601,500,135.147621
3089.554434,500,146.631105
2209.911994,500,157.707554
3008.747476,500,168.944603
3140.588781,500,179.972605
3476.066597,500,191.077108
2945.440975,500,202.159176
2646.374393,500,212.904676
2965.464474,500,224.002033
3277.69098,500,235.166023
3315.563878,500,246.3236
3468.227773,500,257.542688
3080.409361,500,268.422414
3558.070551,500,279.406182
3537.409914,500,290.426748
3226.303029,500,301.167272
4340.064149,500,312.138659
5461.773815,500,323.101683
5193.36972,500,333.96487
4449.716739,500,345.113274
6107.000575,500,355.896459
5494.781323,500,366.850637
5758.825252,500,377.974257
5966.30001,500,388.781773
5915.802118,500,400.020147
5939.600706,500,411.124948
5798.90991,500,422.574567
6658.515665,500,434.262617
6357.179202,500,445.625406
7283.410877,500,457.028373
7076.651432,500,468.827704
6718.52482,500,480.696874
6630.491962,500,492.734746
7960.763368,500,504.638366
7672.076499,500,516.394428
7694.315697,500,528.70252
7266.281871,500,540.63693
6923.383359,500,552.858158
8220.995255,500,564.711719
7133.524558,500,576.637389
9122.294565,500,589.009137
7710.623013,500,601.125587
7976.231557,500,613.307195
7477.42344,500,625.48425
7558.368254,500,637.638758
6853.41548,500,649.619945
7101.628807,500,663.057863
7952.579073,500,675.268861
7817.196848,500,687.143646
8237.097113,500,699.111584
8165.186479,500,711.426882
7581.301217,500,723.261563
8045.785297,500,735.383229
7316.823053,500,747.53188
9265.855545,500,759.444116
8615.051955,500,770.916372
9848.087524,500,782.586635
9540.335541,500,793.945016
10325.500637,500,805.290406
11866.158371,500,816.59336
8102.350067,500,827.884249
8715.989968,500,839.126532
11516.421465,500,850.124546
12757.373126,500,861.138269
9341.28269,500,872.175795
8861.5636,500,883.125625
9444.972927,500,894.327631
9546.081342,500,905.584745
11471.955807,500,916.831975
12488.962802,500,928.533962
12937.27919,500,939.406487
12742.189755,500,950.42711
13970.252349,500,961.518577
11526.2515,500,973.648474
14456.223653,500,985.453602
13796.016989,500,996.598336
12269.649698,500,1007.768312
13848.992395,500,1018.823822
15898.015469,500,1029.678317
12022.791651,500,1040.734548
16669.141598,500,1051.514198
12553.563723,500,1062.281961
12166.000678,500,1073.508448
10383.967773,500,1084.32825
15244.538802,500,1095.576397
14359.961592,500,1106.536114
15979.458189,500,1117.409893
10433.165104,500,1128.535594
15240.540731,500,1139.443781
18416.252634,500,1150.29846
12911.298162,500,1161.396012
12990.543857,500,1172.377695
15714.353131,500,1183.735147
11647.328606,500,1195.053443
13264.280106,500,1206.626253
15374.614983,500,1218.348628
15817.709506,500,1229.47709
14728.526167,500,1240.872723
13375.890131,500,1252.064349
12984.665613,500,1263.179953
17069.213473,500,1274.684767
16079.434963,500,1285.942733
19091.793861,500,1297.002278
18460.416334,500,1307.977296
20425.805533,500,1318.763743
23165.412402,500,1329.783204
15862.030394,500,1340.491727
20287.369908,500,1351.276131
20474.40868,500,1362.11355
18448.593615,500,1372.936241
18130.494829,500,1383.924631
19027.597879,500,1394.803475
19265.455536,500,1405.81258
