#{"env_id": "my_panda_free_space_traj", "t_start": 1586203369.9810884}
r,l,t
259.74877,500,14.860826
197.134017,500,25.922962
401.169897,500,36.519433
759.167073,500,46.99343
1146.079981,500,57.889077
1515.092134,500,68.664232
2662.73485,500,79.819862
3019.510995,500,91.47669
3051.170893,500,103.176672
2885.780413,500,114.987824
2794.011836,500,126.471806
3092.324668,500,138.325074
3258.708317,500,149.922891
2461.903097,500,161.290973
2914.41265,500,172.747829
2503.958005,500,183.737522
3078.103031,500,194.601662
2983.773563,500,205.691777
3226.986144,500,216.834409
2986.539764,500,228.141111
3697.263409,500,239.508021
3156.599071,500,250.501675
3149.542569,500,261.900295
4157.762141,500,272.914216
3597.628041,500,284.23103
4078.841753,500,295.862215
4499.935731,500,307.428015
4887.8208,500,319.148142
5400.737963,500,330.769741
5748.627898,500,342.527302
5860.795135,500,354.409782
6094.07664,500,366.24457
6126.294789,500,378.060421
6713.709052,500,390.159835
7041.005115,500,402.115867
6534.128631,500,414.268018
6239.7398,500,426.123056
7359.876862,500,438.084025
7752.179522,500,450.11723
7371.584048,500,462.023814
7520.516907,500,473.649459
7647.071889,500,485.649116
8787.469608,500,497.254822
7747.755179,500,509.121127
7574.172269,500,521.274738
8269.625696,500,532.766282
7560.256456,500,544.568656
7468.772314,500,556.247039
8184.339453,500,567.605449
6940.101845,500,578.749956
8907.951426,500,589.927875
7428.608508,500,601.143273
8304.884327,500,612.166014
7540.171189,500,623.253271
10026.519703,500,634.565742
8752.112698,500,645.721283
8785.657255,500,657.300175
7421.122549,500,668.882399
7493.058279,500,680.450309
8626.300732,500,692.154371
9770.140579,500,703.119891
7703.943724,500,714.054092
8522.620347,500,724.936016
8169.278849,500,735.837795
8302.372428,500,747.054789
9593.851425,500,757.825397
8935.761509,500,768.753602
8672.227448,500,779.833575
8782.586632,500,790.78743
8661.428187,500,801.911722
8071.458544,500,812.793681
9498.553447,500,823.925566
7960.456797,500,835.144329
9293.968306,500,846.019777
10387.619811,500,857.235862
11290.425544,500,868.358716
10960.100752,500,879.490728
10013.787667,500,890.573882
10363.043558,500,901.924145
10666.805416,500,912.728121
10917.585931,500,923.669647
11884.996255,500,934.452763
11297.056789,500,945.481375
11980.332275,500,956.443749
10205.603622,500,967.427048
10770.778679,500,978.58674
11409.567273,500,989.792654
13877.029361,500,1000.719151
9962.345042,500,1011.989548
11225.202202,500,1023.2904
10345.71832,500,1034.624063
11499.541218,500,1045.562472
13729.741095,500,1056.584108
11098.515133,500,1067.718569
12510.585824,500,1078.699972
11379.375542,500,1089.832493
11174.721923,500,1100.688559
13583.160345,500,1111.918996
13896.441231,500,1123.167742
9471.099356,500,1134.591448
11603.483712,500,1145.673951
13976.644044,500,1157.104916
11491.749793,500,1168.548595
11943.570448,500,1180.27383
10964.683881,500,1191.95222
12386.392554,500,1203.641418
14656.72447,500,1215.20851
12773.682584,500,1226.594217
15219.629771,500,1237.803447
12705.651796,500,1249.321632
12473.967214,500,1260.238516
12820.986374,500,1271.429995
13931.830557,500,1282.457094
14440.559789,500,1293.50919
12109.80877,500,1304.775821
11688.982214,500,1315.73982
11309.677855,500,1327.247213
14485.107099,500,1338.232518
11511.45989,500,1349.19659
15028.172565,500,1360.243472
14117.402673,500,1371.061232
13261.925738,500,1382.290404
13471.101343,500,1393.394866
15221.474224,500,1404.361729
