#{"env_id": "my_panda_free_space_traj", "t_start": 1586031692.7101948}
r,l,t
195.829145,500,16.186335
380.628864,500,26.907211
1026.326502,500,37.474583
1677.53961,500,48.924444
2204.077193,500,60.335137
2225.624546,500,72.078951
1889.37606,500,83.150457
2413.683091,500,93.936969
1678.585548,500,105.303707
3004.205142,500,116.405513
3597.85982,500,127.972325
2913.233212,500,139.299717
4770.255449,500,150.781467
5244.239829,500,161.98828
6484.661151,500,173.156439
6676.581747,500,184.441315
7132.9988,500,195.87306
8855.698577,500,206.985568
9113.239421,500,218.440066
9112.350278,500,230.125403
8495.263005,500,242.116848
9763.594929,500,254.037781
8718.728809,500,265.903823
9562.347143,500,278.045388
9313.980787,500,290.064405
9331.07421,500,302.007373
9933.924429,500,314.223328
9766.005111,500,326.17864
8982.869049,500,337.788681
12230.091581,500,349.42659
12420.67281,500,360.762088
13129.291489,500,372.048882
14308.241561,500,382.817909
13478.495373,500,393.662185
16773.948058,500,404.675189
13731.692741,500,415.658234
18223.422957,500,426.595978
18647.326835,500,437.739924
18040.257147,500,448.87387
20973.871541,500,460.100137
16830.754711,500,471.295921
16722.666708,500,482.206311
18085.113482,500,493.284919
21535.498327,500,504.246949
12620.123349,500,515.345614
21733.89911,500,526.17532
24006.874877,500,536.988706
19820.361081,500,547.977635
21787.87937,500,558.821125
20235.815149,500,569.629684
23524.546091,500,580.85827
21546.729893,500,591.747569
16355.082361,500,602.826842
20417.413269,500,613.552407
18039.946105,500,624.471651
14450.724896,500,635.519115
20995.940722,500,646.315609
23710.201354,500,657.433342
25069.335048,500,668.407679
19133.85113,500,679.254625
22340.456418,500,690.285362
20073.49953,500,701.158502
20140.360865,500,711.969371
25725.458907,500,723.05096
24472.356545,500,733.858715
22907.861681,500,744.963177
23481.382718,500,755.747544
30522.689895,500,766.622314
12444.84351,500,777.804446
12089.478161,500,788.693748
25367.00416,500,800.167957
26649.570159,500,810.922101
20873.592285,500,822.066318
23370.035777,500,833.138643
22177.82429,500,844.023952
28665.238433,500,854.928171
25088.307034,500,866.035219
27896.486742,500,877.161735
20088.340197,500,888.509948
28132.846226,500,899.385828
23662.079158,500,910.220562
24246.91197,500,921.201952
29451.912183,500,932.051879
15512.456057,500,942.782095
27276.536554,500,953.818962
18077.291151,500,964.531363
36186.591887,500,975.624437
27373.275382,500,986.337551
31495.82679,500,997.102213
33651.503284,500,1008.21617
15834.600035,500,1019.05658
23425.214341,500,1030.074418
12774.533946,500,1040.992476
6420.310773,500,1051.809422
27433.945743,500,1062.975335
21587.492792,500,1073.708649
24530.579873,500,1084.775544
19697.130415,500,1095.826457
21171.839691,500,1106.575951
11035.490747,500,1117.620001
4799.313019,500,1128.687822
9087.107967,500,1139.403204
29768.35827,500,1150.645698
15182.971937,500,1161.458453
34310.891224,500,1172.416965
30116.195738,500,1183.234715
31846.709636,500,1194.028646
32842.930547,500,1205.450777
18385.345449,500,1216.460943
28696.853247,500,1227.174414
36273.533354,500,1238.167469
33861.999635,500,1248.883737
16618.824233,500,1259.829806
28999.757235,500,1270.616427
23599.05648,500,1282.041188
20656.789703,500,1293.026099
30862.662362,500,1303.750538
31959.214302,500,1314.673914
31612.822544,500,1325.429546
24732.062983,500,1336.236103
31928.251419,500,1347.112656
29692.743864,500,1357.941427
24151.069101,500,1368.827979
25058.099493,500,1380.045681
