#{"t_start": 1586042570.2611215, "env_id": "my_panda_free_space_traj"}
r,l,t
172.911556,500,14.773251
315.498118,500,25.632563
1386.599739,500,35.914104
1253.325585,500,46.464586
1504.129207,500,56.958189
1795.922141,500,68.047001
3239.27729,500,79.596987
4743.635295,500,90.910466
8273.189291,500,102.197268
8517.770534,500,113.478822
12844.622897,500,124.539634
11974.774871,500,135.620891
19962.569761,500,146.496877
24917.056827,500,157.422087
25869.593802,500,168.416818
30151.712657,500,179.529691
31524.032646,500,190.503145
28753.199682,500,201.956592
33016.655201,500,212.805737
35476.86999,500,223.917432
30424.771282,500,235.520368
38181.329099,500,246.833344
37179.107543,500,257.958652
38318.441125,500,269.011024
41154.388265,500,280.386032
44386.26855,500,291.632068
42705.537783,500,302.673199
39057.18634,500,314.553836
42737.994314,500,325.632302
53537.825403,500,336.304004
42699.875215,500,347.516392
53458.47855,500,358.307874
54617.869484,500,369.399164
47238.056861,500,380.265158
50484.82469,500,391.392721
48786.920573,500,402.565738
48427.707898,500,413.442372
53053.749625,500,424.462085
58943.862799,500,434.750005
33416.745984,500,445.189386
58260.405643,500,456.235635
58152.502286,500,466.953378
54388.709291,500,477.889287
56173.634161,500,489.19733
57220.863449,500,499.742309
57687.836103,500,510.728532
58949.825798,500,521.449592
57867.860203,500,532.201564
61450.758261,500,542.890552
61664.693209,500,553.669061
61965.518107,500,564.464954
57340.944671,500,575.533792
59345.732236,500,586.661035
60549.706933,500,597.105114
59591.671833,500,607.832609
55264.003266,500,618.988117
58650.999033,500,630.122148
57719.329912,500,641.038424
59044.097055,500,652.060916
58754.838948,500,662.83619
59346.338651,500,673.755429
61042.558337,500,684.664958
61373.357589,500,695.395803
58266.247412,500,706.593673
43002.741765,500,718.260532
57399.806449,500,729.455768
57252.226871,500,740.503659
60477.115863,500,750.890041
60096.358441,500,761.445098
59188.550727,500,772.692165
53958.246577,500,784.017431
48814.723619,500,795.380743
60907.328433,500,805.868174
57348.326905,500,816.707502
54187.667074,500,827.663698
51972.105398,500,838.027501
57913.336974,500,848.927124
58338.049962,500,859.467767
59145.726431,500,870.086959
59407.785263,500,880.401049
59906.02822,500,890.618047
58376.276944,500,901.693053
60242.888644,500,912.546958
59422.116513,500,923.044242
59895.545602,500,933.583287
61482.073379,500,943.481136
62852.530841,500,953.858685
59659.404399,500,964.877195
61917.039745,500,975.296395
61925.349081,500,985.710536
61735.051449,500,996.438281
58737.636437,500,1006.890385
61166.318187,500,1017.410053
56982.49574,500,1027.646025
58610.341164,500,1037.874899
58570.182952,500,1048.753568
61270.702057,500,1059.561306
61676.793456,500,1069.952636
57407.657009,500,1081.187158
60684.681713,500,1091.621234
59007.651321,500,1102.453701
60678.336865,500,1112.381566
57603.944461,500,1122.81438
58870.739648,500,1133.213395
61039.709871,500,1143.760715
54535.369646,500,1154.687599
57998.061431,500,1165.247302
56320.523801,500,1175.476245
61072.220697,500,1185.901084
59913.53526,500,1196.114797
60762.034692,500,1206.644227
61234.467907,500,1217.124581
60944.28628,500,1227.90311
59542.77255,500,1238.450666
61347.750802,500,1248.451262
62025.109621,500,1258.436562
62244.702916,500,1268.705321
61006.09247,500,1278.887711
59659.515961,500,1288.977984
61537.571842,500,1299.033997
61271.340787,500,1309.216352
61560.761683,500,1319.930656
60774.772708,500,1330.619876
61108.847423,500,1341.169905
