#{"env_id": "my_panda_free_space_traj", "t_start": 1586215668.4063678}
r,l,t
275.520671,500,14.682488
222.678554,500,25.509235
212.357824,500,36.035471
311.377557,500,46.782842
340.595809,500,57.279389
1044.589121,500,67.639509
1602.871351,500,78.207645
1945.445358,500,88.706631
2138.727421,500,99.454473
3244.170678,500,110.625882
2953.015956,500,121.761852
2884.865724,500,133.148122
3863.011731,500,144.473318
3003.806392,500,155.692263
3179.072374,500,167.481385
3385.568269,500,178.872562
3786.413626,500,190.128511
3967.802365,500,201.709075
4081.162871,500,213.131064
4151.015128,500,224.905907
4369.286243,500,236.560093
6771.861732,500,248.193477
6148.278674,500,260.13644
6101.635565,500,271.726824
5826.330594,500,283.309355
4648.951483,500,294.897169
7404.52429,500,306.389706
9428.799027,500,318.30498
5028.052547,500,329.938998
5532.321014,500,341.771714
5403.761178,500,353.504671
6946.540569,500,365.266346
8917.574767,500,377.112224
8911.74737,500,388.845803
7780.015049,500,400.399481
6399.354479,500,412.469547
6922.662923,500,424.311504
5881.376015,500,436.328773
8620.759342,500,448.110191
8944.766712,500,459.796721
7933.703907,500,471.596728
9093.98516,500,483.372869
8020.293672,500,495.215308
6877.789425,500,506.907773
8488.899428,500,518.517121
9984.083338,500,530.532675
11246.844002,500,542.30211
9383.342795,500,553.766875
9020.083656,500,565.515697
9623.274896,500,576.868718
10303.332006,500,588.313647
11269.538385,500,599.701776
11009.131872,500,611.279878
9724.141084,500,623.268915
10020.99062,500,635.10239
11223.606432,500,646.612705
12071.234574,500,658.31672
13649.973947,500,669.950614
12732.786559,500,681.922322
12062.588483,500,693.635914
13279.366168,500,705.51847
13197.294585,500,717.42462
17994.295551,500,729.089305
19330.556387,500,740.808299
15015.470233,500,752.778261
18420.081306,500,764.456506
17312.056474,500,776.432094
17439.649589,500,788.285166
14507.312941,500,800.264046
19821.949852,500,812.493553
19941.418945,500,824.433536
20262.847235,500,836.559845
20660.242281,500,848.478233
19932.43276,500,860.423114
20778.843309,500,872.152551
23775.17076,500,884.177421
7595.289759,500,896.02031
24767.070217,500,908.13141
20205.395431,500,920.100363
26516.691447,500,932.092044
25918.88935,500,944.25154
9151.020584,500,955.766207
19037.567833,500,967.946115
26934.601557,500,979.578048
25333.108103,500,991.821373
24298.946541,500,1003.706571
23452.195477,500,1015.686552
33882.845227,500,1027.334848
8342.19743,500,1038.886858
20384.82004,500,1050.826211
8730.365276,500,1062.385141
23262.454236,500,1074.128906
27864.396536,500,1086.207959
21009.596508,500,1097.854831
23802.802683,500,1109.866618
23444.425628,500,1121.554735
8362.044699,500,1132.89816
7797.308439,500,1144.648069
8279.134831,500,1156.129975
22735.890442,500,1168.019288
25822.654323,500,1180.18801
24848.195947,500,1192.193661
25899.564425,500,1203.962483
24379.419054,500,1216.103722
26962.716533,500,1227.954996
26712.75379,500,1240.057031
30142.819523,500,1251.84545
28949.169005,500,1263.663569
29712.398664,500,1275.639234
27420.487595,500,1287.451478
27973.560872,500,1299.271551
24521.72358,500,1310.62358
28069.630823,500,1322.029352
28352.265601,500,1333.792819
23669.285937,500,1345.183539
27052.610764,500,1356.731857
27211.830618,500,1368.366947
29617.097774,500,1379.807492
26038.787912,500,1391.722914
29795.941664,500,1403.317732
29779.828897,500,1414.980058
30952.985724,500,1426.753715
32076.584087,500,1438.268569
32236.364195,500,1450.033616
